,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),World,256790.5,209040.9,343192.0081465834,251469.7,267224.0,74925.0,7957.0,1880.4
Capacity (MW),BRICS,236183.0,73858.8,269684.1430869262,194881.1,213436.0,56578.0,4364.0,70.0
Capacity (MW),EU27,100.0,11795.0,12611.901800991125,13059.2,1510.0,2121.0,385.0,14.0
Capacity (MW),G7,0.0,21738.9,28498.543155666823,30186.4,1608.0,7846.0,2213.0,272.3
Capacity (MW),G20,245386.0,111407.4,322756.181517965,238787.4,212990.0,61338.0,7293.0,1036.8
Capacity (MW),OECD,1150.0,44610.2,51500.59034969943,46220.1,7817.0,15917.0,2827.0,593.8
Capacity (MW),African Union,2570.0,18485.2,5601.74029315238,5517.0,14058.0,4800.0,60.0,268.0
Capacity (MW),Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Albania,0.0,0.0,124.8811911044101,234.0,0.0,0.0,0.0,0.0
Capacity (MW),Algeria,0.0,3736.0,92.97611111111111,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Angola,0.0,375.0,67.86,0.0,2172.0,0.0,0.0,0.0
Capacity (MW),Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Argentina,120.0,265.0,482.56600000000003,197.5,1645.0,0.0,102.0,0.0
Capacity (MW),Armenia,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Australia,0.0,750.0,2767.369540229885,2638.0,2250.0,0.0,73.0,0.0
Capacity (MW),Austria,0.0,0.0,104.97777777777777,70.0,840.0,0.0,0.0,0.0
Capacity (MW),Azerbaijan,0.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bahrain,0.0,681.0,100.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bangladesh,2640.0,2853.0,266.9,0.0,0.0,2400.0,0.0,0.0
Capacity (MW),Barbados,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
Capacity (MW),Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Belgium,0.0,1745.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Benin,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bhutan,0.0,0.0,16.091958158995816,0.0,2338.0,0.0,0.0,0.0
Capacity (MW),Bolivia,0.0,108.0,0.0,36.0,292.0,0.0,0.0,100.0
Capacity (MW),Bosnia and Herzegovina,0.0,0.0,95.69999999999999,216.0,159.0,0.0,0.0,0.0
Capacity (MW),Botswana,0.0,0.0,104.4,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Brazil,0.0,5082.9,4445.7830300000005,3350.7,0.0,1405.0,734.0,0.0
Capacity (MW),British Indian Ocean Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bulgaria,0.0,0.0,294.3933333333333,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Burkina Faso,0.0,0.0,18.089238845144358,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Cabo Verde,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Capacity (MW),Cambodia,265.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0
Capacity (MW),Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Canada,0.0,1166.0,673.0,773.0,1100.0,0.0,0.0,12.0
Capacity (MW),Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Chad,0.0,0.0,31.65616797900263,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Chile,0.0,0.0,2714.355204301075,1350.0,314.0,0.0,0.0,100.0
Capacity (MW),China,204208.0,42829.4,234223.3371762511,181400.4,184458.0,33904.0,3365.0,0.0
Capacity (MW),Colombia,0.0,0.0,1509.83431,41.9,1271.0,0.0,0.0,0.0
Capacity (MW),Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
Capacity (MW),Croatia,0.0,500.0,0.0,186.0,0.0,0.0,0.0,0.0
Capacity (MW),Cuba,0.0,0.0,39.29242,151.0,0.0,0.0,0.0,0.0
Capacity (MW),Curaçao,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0
Capacity (MW),Cyprus,0.0,420.0,0.0,16.0,0.0,0.0,0.0,0.0
Capacity (MW),Czech Republic,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Côte d'Ivoire,0.0,390.0,109.65511811023622,0.0,0.0,0.0,0.0,0.0
Capacity (MW),DR Congo,0.0,0.0,41.76,0.0,150.0,0.0,0.0,0.0
Capacity (MW),Denmark,0.0,0.0,48.591530612244895,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Dominican Republic,0.0,1342.0,338.8,48.0,191.0,0.0,0.0,0.0
Capacity (MW),Ecuador,0.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Egypt,0.0,2550.0,182.66666666666666,2362.0,2400.0,4800.0,0.0,0.0
Capacity (MW),El Salvador,0.0,0.0,25.51214,0.0,0.0,0.0,0.0,64.0
Capacity (MW),Equatorial Guinea,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0
Capacity (MW),Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Eswatini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Ethiopia,0.0,0.0,0.0,100.0,7860.0,0.0,0.0,70.0
Capacity (MW),Faroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Finland,0.0,0.0,259.22,2126.6,0.0,0.0,0.0,0.0
Capacity (MW),France,0.0,0.0,258.042,1450.2,0.0,1650.0,64.0,0.0
Capacity (MW),French Guiana,0.0,0.0,58.91062,0.0,0.0,0.0,120.0,0.0
Capacity (MW),French Polynesia,0.0,0.0,25.310557522123894,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Gabon,0.0,0.0,52.2,0.0,35.0,0.0,0.0,0.0
Capacity (MW),Georgia,0.0,0.0,0.0,0.0,755.0,0.0,0.0,0.0
Capacity (MW),Germany,0.0,1666.0,614.8551851851852,1310.0,210.0,0.0,0.0,8.0
Capacity (MW),Ghana,0.0,0.0,224.39238845144357,0.0,0.0,0.0,60.0,0.0
Capacity (MW),Greece,0.0,1717.0,2360.007,599.5,162.0,0.0,0.0,0.0
Capacity (MW),Guadeloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Guatemala,0.0,0.0,195.28390000000002,67.5,0.0,0.0,0.0,0.0
Capacity (MW),Guinea,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0
Capacity (MW),Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Guyana,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Haiti,0.0,0.0,11.173200000000001,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Honduras,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0
Capacity (MW),Hong Kong,0.0,770.0,0.0,0.0,0.0,0.0,180.0,0.0
Capacity (MW),Hungary,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Capacity (MW),Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
Capacity (MW),India,29480.0,370.0,28761.85105123675,6302.0,16718.0,5900.0,0.0,0.0
Capacity (MW),Indonesia,8583.0,2774.0,21.75,0.0,3433.0,0.0,0.0,715.0
Capacity (MW),Iran,650.0,12782.0,194.65857740585773,50.0,910.0,6357.0,0.0,0.0
Capacity (MW),Iraq,0.0,15808.0,291.6875,0.0,250.0,0.0,0.0,0.0
Capacity (MW),Ireland,0.0,779.0,210.90069387755102,553.7,0.0,0.0,0.0,0.0
Capacity (MW),Israel,0.0,2191.5,18.606,0.0,156.0,0.0,0.0,0.0
Capacity (MW),Italy,0.0,968.0,646.8517487001733,67.2,98.0,0.0,0.0,0.0
Capacity (MW),Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Japan,0.0,2805.2,820.8989830508475,1631.2,200.0,2756.0,1238.0,50.3
Capacity (MW),Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Kazakhstan,130.0,3253.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Kenya,0.0,0.0,70.97847769028871,300.0,60.0,0.0,0.0,168.0
Capacity (MW),Kiribati,0.0,0.0,7.021128318584071,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Kosovo,0.0,0.0,130.5,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Kuwait,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Kyrgyzstan,0.0,0.0,0.0,100.0,1860.0,0.0,0.0,0.0
Capacity (MW),Laos,660.0,0.0,64.0,850.0,4462.0,0.0,0.0,0.0
Capacity (MW),Latvia,0.0,0.0,335.14811224489796,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Lebanon,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Capacity (MW),Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Liberia,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Libya,0.0,7060.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Lithuania,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0
Capacity (MW),Luxembourg,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0
Capacity (MW),Macao,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
Capacity (MW),Madagascar,0.0,0.0,0.0,16.0,192.0,0.0,0.0,0.0
Capacity (MW),Malawi,0.0,0.0,52.54461942257218,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Malaysia,0.0,1200.0,290.8740740740741,0.0,1585.0,0.0,0.0,0.0
Capacity (MW),Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mali,0.0,0.0,267.8923884514436,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Martinique,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Capacity (MW),Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mauritius,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mayotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mexico,0.0,7418.8,4153.7425454545455,827.0,340.0,0.0,0.0,0.0
Capacity (MW),Micronesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mongolia,530.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
Capacity (MW),Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Morocco,0.0,457.0,852.9344444444444,798.0,335.0,0.0,0.0,0.0
Capacity (MW),Mozambique,0.0,500.0,0.0,120.0,0.0,0.0,0.0,0.0
Capacity (MW),Myanmar,0.0,200.0,0.0,0.0,1894.0,0.0,0.0,0.0
Capacity (MW),Namibia,0.0,0.0,142.72643307086614,50.0,0.0,0.0,0.0,0.0
Capacity (MW),Nauru,0.0,0.0,5.616902654867257,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Nepal,0.0,0.0,77.0,0.0,4872.0,0.0,0.0,0.0
Capacity (MW),Netherlands,0.0,0.0,280.8274748201439,282.0,0.0,0.0,0.0,0.0
Capacity (MW),New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),New Zealand,0.0,0.0,266.1711515151515,155.0,0.0,0.0,0.0,50.0
Capacity (MW),Nicaragua,0.0,0.0,58.6593,0.0,0.0,0.0,30.0,0.0
Capacity (MW),Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Nigeria,0.0,2302.7,0.0,0.0,182.0,0.0,0.0,0.0
Capacity (MW),Norfolk Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),North Korea,0.0,0.0,0.0,0.0,550.0,30.0,0.0,0.0
Capacity (MW),North Macedonia,0.0,0.0,88.20297776102525,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Northern Mariana Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Norway,0.0,0.0,0.0,372.4,60.0,0.0,0.0,0.0
Capacity (MW),Oman,0.0,132.0,2004.0,100.0,0.0,0.0,0.0,0.0
Capacity (MW),Pakistan,81.5,0.0,0.0,0.0,9869.0,0.0,0.0,0.0
Capacity (MW),Palau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Palestine,0.0,450.0,31.5875,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Panama,0.0,0.0,201.362,44.0,63.0,0.0,0.0,0.0
Capacity (MW),Papua New Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Peru,0.0,0.0,480.58799999999997,0.0,292.0,0.0,0.0,0.0
Capacity (MW),Philippines,635.0,2113.7,3468.7655240963854,402.8,60.0,0.0,0.0,5.6
Capacity (MW),Poland,100.0,2692.0,179.52848484848485,1566.0,0.0,0.0,0.0,0.0
Capacity (MW),Portugal,0.0,0.0,696.4018448275862,25.0,0.0,0.0,0.0,0.0
Capacity (MW),Puerto Rico,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Qatar,0.0,0.0,761.25,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Republic of the Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Romania,0.0,868.0,273.8931578947369,48.0,0.0,0.0,0.0,0.0
Capacity (MW),Russia,1045.0,6219.4,0.0,0.0,840.0,4212.0,265.0,0.0
Capacity (MW),Rwanda,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
Capacity (MW),Réunion,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0
Capacity (MW),Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Sao Tome and Principe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Saudi Arabia,0.0,9660.0,5437.3375,1670.0,0.0,0.0,0.0,0.0
Capacity (MW),Senegal,0.0,300.0,32.19,0.0,128.0,0.0,0.0,0.0
Capacity (MW),Serbia,0.0,0.0,0.0,167.5,0.0,0.0,0.0,0.0
Capacity (MW),Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Sierra Leone,0.0,83.5,42.50971128608924,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Singapore,0.0,2480.0,0.0,0.0,0.0,0.0,80.0,0.0
Capacity (MW),Slovakia,0.0,0.0,0.0,0.0,0.0,471.0,0.0,6.0
Capacity (MW),Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Somalia,0.0,0.0,90.44619422572178,0.0,0.0,0.0,0.0,0.0
Capacity (MW),South Africa,800.0,0.0,1823.6465853658538,1316.0,0.0,0.0,0.0,0.0
Capacity (MW),South Korea,1050.0,4248.0,795.0463414634146,667.6,0.0,2800.0,220.0,0.0
Capacity (MW),South Sudan,0.0,0.0,18.089238845144358,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Spain,0.0,0.0,5950.8234568690095,1315.0,200.0,0.0,146.0,0.0
Capacity (MW),Sri Lanka,0.0,130.0,47.32928870292887,0.0,0.0,0.0,0.0,0.0
