,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
0,World,Announced,1968815.601545718,392566.8,0.833755515522165,0.16624448447783507
3,World,Pre-construction,2913503.8750144793,551015.4,0.8409547310145368,0.15904526898546326
1,World,Construction,929001.8634683106,465831.4,0.6660307635324877,0.3339692364675122
2,World,Operating,3548109.7593222633,4279237.9,0.45329655890479237,0.5467034410952076
0,BRICS,Announced,685710.0335012788,161537.8,0.8093381964372338,0.1906618035627661
3,BRICS,Pre-construction,1330753.652341039,314172.0,0.8090053495409509,0.19099465045904906
1,BRICS,Construction,722962.3656519306,310041.8,0.6998639402346145,0.3001360597653855
2,BRICS,Operating,1767274.493902056,1985255.0,0.47095552394029583,0.5290444760597042
0,EU27,Announced,273548.7318012663,5235.0,0.9812220032848552,0.018777996715144844
3,EU27,Pre-construction,480383.8349124815,31758.9,0.9379881860367946,0.06201181396320536
1,EU27,Construction,30125.595881149624,11895.0,0.7169245283040815,0.2830754716959185
2,EU27,Operating,503925.41751072544,286869.2,0.6372393113865507,0.3627606886134493
0,G7,Announced,228837.32137655414,54280.6,0.8082756480547716,0.19172435194522852
3,G7,Pre-construction,335261.3307457677,64612.6,0.8384175735600042,0.16158242643999585
1,G7,Construction,70256.28018403212,21738.9,0.7636952288531601,0.2363047711468398
2,G7,Operating,956585.2269256272,1098488.21,0.46547496052339166,0.5345250394766082
0,G20,Announced,1373810.90707342,253463.1,0.8442406755726147,0.15575932442738522
3,G20,Pre-construction,2327052.218694044,398485.6,0.8537956078734814,0.14620439212651853
1,G20,Construction,828254.3503423617,356793.4,0.6989206553939098,0.30107934460609037
2,G20,Operating,3146430.071230618,3503548.9,0.4731488753337144,0.5268511246662856
0,OECD,Announced,711377.7758455412,82353.6,0.8962449986152168,0.10375500138478322
3,OECD,Pre-construction,1084242.530199157,85573.4,0.9268488334011391,0.07315116659886092
1,OECD,Construction,126796.57406964085,45760.2,0.7348107586808965,0.26518924131910343
2,OECD,Operating,1454754.471510114,1511134.9,0.49049519024015736,0.5095048097598427
0,African Union,Announced,272890.28350980626,33394.0,0.890970572772041,0.10902942722795905
3,African Union,Pre-construction,134555.47949289792,26491.0,0.8355071151917466,0.1644928848082534
1,African Union,Construction,31856.30852586979,21055.2,0.6020676675716857,0.3979323324283142
2,African Union,Operating,63188.25245240931,178919.4,0.2609923800935211,0.7390076199064789
0,Afghanistan,Announced,628.5522740046838,0.0,1.0,0.0
3,Afghanistan,Pre-construction,0.0,0.0,0.0,0.0
1,Afghanistan,Construction,0.0,0.0,0.0,0.0
2,Afghanistan,Operating,252.33275175644027,105.0,0.7061562381732964,0.29384376182670346
0,Albania,Announced,377.40024890190335,0.0,1.0,0.0
3,Albania,Pre-construction,1061.8622547584187,520.0,0.6712735268600146,0.3287264731399854
1,Albania,Construction,358.7578330893119,0.0,1.0,0.0
