,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
0,World,Announced,1737069.34,387477.8,0.8176186384831169,0.18238136151688306
3,World,Pre-construction,2744488.7,578125.2,0.8260028948894724,0.17399710511052754
1,World,Construction,860777.85,436539.4,0.6635060545136512,0.33649394548634887
2,World,Operating,3300307.5,4261418.9,0.4364489437226927,0.5635510562773073
0,BRICS,Announced,646182.94,156217.8,0.8053119941040932,0.19468800589590682
3,BRICS,Pre-construction,1184284.1,335901.8,0.7790389977962564,0.2209610022037436
1,BRICS,Construction,628077.35,278837.8,0.692542571375062,0.3074574286249381
2,BRICS,Operating,1620383.7,1958784.7,0.4527263092734055,0.5472736907265945
0,EU27,Announced,282806.2,5235.0,0.9818255166274824,0.018174483372517543
3,EU27,Pre-construction,498270.8,31758.9,0.9400809049002349,0.059919095099765174
1,EU27,Construction,37425.8,11895.0,0.7588238633598806,0.24117613664011936
2,EU27,Operating,496433.77,292943.5,0.6288929120039142,0.3711070879960858
0,G7,Announced,213479.9,54280.6,0.7972792850327064,0.20272071496729352
3,G7,Pre-construction,369254.0,64612.6,0.8510772666068327,0.1489227333931674
1,G7,Construction,72716.0,21738.9,0.7698488908463192,0.23015110915368078
2,G7,Operating,886495.33,1106305.21,0.4448490012954332,0.5551509987045667
0,G20,Announced,1337280.34,249143.1,0.8429529634282257,0.1570470365717743
3,G20,Pre-construction,2159557.0,423515.4,0.8360419940223124,0.16395800597768767
1,G20,Construction,741097.05,326966.4,0.6938698726185227,0.30613012738147716
2,G20,Operating,2911078.7,3485458.9,0.45510225719614317,0.5448977428038569
0,OECD,Announced,703017.3,83353.6,0.8940021814133764,0.1059978185866237
3,OECD,Pre-construction,1058081.5,88493.4,0.9228193465599152,0.0771806534400849
1,OECD,Construction,144030.6,45905.2,0.758312019113827,0.2416879808861731
2,OECD,Operating,1372043.6,1521712.2,0.4741393866061539,0.5258606133938462
0,African Union,Announced,160555.8,35544.0,0.8187453531314157,0.18125464686858428
3,African Union,Pre-construction,132042.1,25455.0,0.8383779764833765,0.16162202351662347
1,African Union,Construction,33775.2,20155.2,0.6262738640914958,0.37372613590850434
2,African Union,Operating,59972.1,178889.4,0.2510747860161642,0.7489252139838358
0,Afghanistan,Announced,3407.0,0.0,1.0,0.0
3,Afghanistan,Pre-construction,20.0,0.0,1.0,0.0
1,Afghanistan,Construction,0.0,0.0,0.0,0.0
2,Afghanistan,Operating,228.0,105.0,0.6846846846846847,0.3153153153153153
0,Albania,Announced,417.0,0.0,1.0,0.0
3,Albania,Pre-construction,1264.0,520.0,0.7085201793721974,0.2914798206278027
1,Albania,Construction,274.0,0.0,1.0,0.0
2,Albania,Operating,1801.5,0.0,1.0,0.0
0,Algeria,Announced,5981.0,0.0,1.0,0.0
3,Algeria,Pre-construction,1000.0,1200.0,0.45454545454545453,0.5454545454545454
1,Algeria,Construction,21.0,3736.0,0.005589566143199361,0.9944104338568006
2,Algeria,Operating,573.0,23915.6,0.023398642633715282,0.9766013573662847
0,Andorra,Announced,0.0,0.0,0.0,0.0
3,Andorra,Pre-construction,0.0,0.0,0.0,0.0
1,Andorra,Construction,0.0,0.0,0.0,0.0
2,Andorra,Operating,1.4,0.0,1.0,0.0
0,Angola,Announced,912.0,0.0,1.0,0.0
3,Angola,Pre-construction,807.0,1425.0,0.36155913978494625,0.6384408602150538
1,Angola,Construction,2218.9,375.0,0.8554300474189445,0.14456995258105554
2,Angola,Operating,3952.0,929.0,0.8096701495595164,0.1903298504404835
0,Argentina,Announced,5253.0,4015.7,0.5667461456299157,0.43325385437008423
3,Argentina,Pre-construction,4947.1,0.0,1.0,0.0
1,Argentina,Construction,2990.0,385.0,0.8859259259259259,0.11407407407407408
2,Argentina,Operating,18863.3,23305.2,0.44733153894494704,0.552668461055053
0,Armenia,Announced,1200.0,0.0,1.0,0.0
3,Armenia,Pre-construction,431.0,176.0,0.7100494233937397,0.2899505766062603
1,Armenia,Construction,0.0,0.0,0.0,0.0
2,Armenia,Operating,1259.0,1127.0,0.527661357921207,0.47233864207879295
0,Australia,Announced,181209.4,4595.0,0.9752696922139626,0.02473030778603736
3,Australia,Pre-construction,132908.2,1230.0,0.990830352576671,0.009169647423329073
1,Australia,Construction,8169.8,750.0,0.9159173972510596,0.08408260274894057
2,Australia,Operating,28667.0,39213.9,0.42231319855806276,0.5776868014419373
0,Austria,Announced,0.0,0.0,0.0,0.0
3,Austria,Pre-construction,2535.0,0.0,1.0,0.0
1,Austria,Construction,1072.0,0.0,1.0,0.0
2,Austria,Operating,14123.3,4756.0,0.7480838802286102,0.25191611977138983
0,Azerbaijan,Announced,240.0,0.0,1.0,0.0
3,Azerbaijan,Pre-construction,240.5,500.0,0.32478055367994596,0.675219446320054
