,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
0,World,Announced,1972017.6613331018,392566.8,0.833980639550224,0.16601936044977617
3,World,Pre-construction,2916969.686149142,551015.4,0.84111367658393,0.15888632341607
1,World,Construction,930204.1081465834,465831.4,0.6663183727909248,0.3336816272090751
2,World,Operating,3552290.304840485,4279237.9,0.4535883944904773,0.5464116055095228
0,BRICS,Announced,687205.4948851516,161537.8,0.8096741370759711,0.1903258629240289
3,BRICS,Pre-construction,1334400.1027292593,314172.0,0.809427807567604,0.19057219243239593
1,BRICS,Construction,723862.2430869262,310041.8,0.7001251691846484,0.2998748308153516
2,BRICS,Operating,1769374.4335168577,1985255.0,0.47125141504564766,0.5287485849543523
0,EU27,Announced,273595.57695257536,5235.0,0.9812251580970247,0.018774841902975334
3,EU27,Pre-construction,480468.5557703826,31758.9,0.9379984426015683,0.06200155739843168
1,EU27,Construction,30141.101800991124,11895.0,0.7170289467773737,0.2829710532226264
2,EU27,Operating,504411.0518141569,286869.2,0.6374619493633272,0.36253805063667277
0,G7,Announced,231210.55511307495,54280.6,0.809869416169825,0.19013058383017503
3,G7,Pre-construction,335031.2046861835,64612.6,0.8383245298879676,0.16167547011203248
1,G7,Construction,70316.24315566682,21738.9,0.7638491532924004,0.23615084670759948
2,G7,Operating,957219.2661996577,1098488.21,0.4656398234097239,0.5343601765902761
0,G20,Announced,1378069.998606719,253463.1,0.8446472828430818,0.15535271715691823
3,G20,Pre-construction,2330736.69003175,398485.6,0.8539929849410088,0.1460070150589911
1,G20,Construction,829373.381517965,356793.4,0.6992046940115763,0.3007953059884237
2,G20,Operating,3149865.38696874,3503548.9,0.4734209010760101,0.5265790989239899
0,OECD,Announced,713560.1231520277,82353.6,0.8965294885557972,0.10347051144420288
3,OECD,Pre-construction,1084027.5551581315,85573.4,0.9268353880675223,0.07316461193247775
1,OECD,Construction,126832.49034969944,45760.2,0.7348659441643631,0.2651340558356369
2,OECD,Operating,1456355.8455808456,1511134.9,0.4907701389632418,0.5092298610367582
0,African Union,Announced,272028.9717621798,33394.0,0.8906631030163555,0.10933689698364445
3,African Union,Pre-construction,134120.9062513497,26491.0,0.8350620410510358,0.16493795894896418
1,African Union,Construction,31856.74029315238,21055.2,0.6020709147435127,0.39792908525648735
2,African Union,Operating,63177.13795580735,178919.4,0.2609584527282245,0.7390415472717755
0,Afghanistan,Announced,628.5821556485356,0.0,1.0,0.0
3,Afghanistan,Pre-construction,0.0,0.0,0.0,0.0
1,Afghanistan,Construction,0.0,0.0,0.0,0.0
2,Afghanistan,Operating,252.34585774058579,105.0,0.7061670151603536,0.2938329848396465
0,Albania,Announced,377.95535996984546,0.0,1.0,0.0
3,Albania,Pre-construction,1063.669449679608,520.0,0.6716486511088529,0.32835134889114714
1,Albania,Construction,358.8811911044101,0.0,1.0,0.0
2,Albania,Operating,1773.42,0.0,1.0,0.0
0,Algeria,Announced,784.3133333333334,0.0,1.0,0.0
3,Algeria,Pre-construction,2621.0066666666667,1200.0,0.685946635354383,0.31405336464561695
1,Algeria,Construction,92.97611111111111,3736.0,0.024282238492245607,0.9757177615077544
2,Algeria,Operating,546.8055555555555,23915.6,0.02235289388501585,0.9776471061149842
0,Andorra,Announced,0.0,0.0,0.0,0.0
3,Andorra,Pre-construction,0.0,0.0,0.0,0.0
1,Andorra,Construction,0.0,0.0,0.0,0.0
2,Andorra,Operating,1.4,0.0,1.0,0.0
0,Angola,Announced,1044.9267741935485,0.0,1.0,0.0
3,Angola,Pre-construction,579.35,1425.0,0.28904632424476767,0.7109536757552324
1,Angola,Construction,2107.86,375.0,0.8489645006162249,0.15103549938377517
2,Angola,Operating,4040.955,929.0,0.8130767783611723,0.1869232216388277
0,Antigua and Barbuda,Announced,0.0,0.0,0.0,0.0
3,Antigua and Barbuda,Pre-construction,0.0,0.0,0.0,0.0
1,Antigua and Barbuda,Construction,0.0,0.0,0.0,0.0
2,Antigua and Barbuda,Operating,7.5,0.0,1.0,0.0
0,Argentina,Announced,6233.963,4015.7,0.6082115090027838,0.3917884909972162
3,Argentina,Pre-construction,3286.204,0.0,1.0,0.0
