Country,Type,Age Category,Capacity (MW),Capacity %
Afghanistan,Oil and gas,0-9 years,0.04,7.0933039332774115
Afghanistan,Oil and gas,10-19 years,0.1316,23.336969940482682
Afghanistan,Oil and gas,20-29 years,0.0,0.0
Afghanistan,Oil and gas,30-39 years,0.0,0.0
Afghanistan,Oil and gas,40-49 years,0.0,0.0
Afghanistan,Oil and gas,50+ years,0.0,0.0
Afghanistan,Utility-scale solar,0-9 years,0.06987211170784102,12.390603120090686
Afghanistan,Utility-scale solar,10-19 years,0.01044,1.8513523265854044
Afghanistan,Utility-scale solar,20-29 years,0.0,0.0
Afghanistan,Utility-scale solar,30-39 years,0.0,0.0
Afghanistan,Utility-scale solar,40-49 years,0.0,0.0
Afghanistan,Utility-scale solar,50+ years,0.0,0.0
Afghanistan,Hydropower,0-9 years,0.1,17.73325983319353
Afghanistan,Hydropower,10-19 years,0.0,0.0
Afghanistan,Hydropower,20-29 years,0.0,0.0
Afghanistan,Hydropower,30-39 years,0.0,0.0
Afghanistan,Hydropower,40-49 years,0.0,0.0
Afghanistan,Hydropower,50+ years,0.212,37.594510846370284
African Union,Coal,0-9 years,11.98,4.698488516459879
African Union,Coal,10-19 years,2.5143,0.9860942969060997
African Union,Coal,20-29 years,4.944,1.9390089503654124
African Union,Coal,30-39 years,15.284,5.994298704972686
African Union,Coal,40-49 years,12.0983,4.744885110074002
African Union,Coal,50+ years,6.092,2.3892480836622356
African Union,Oil and gas,0-9 years,51.5571,20.22040419799446
African Union,Oil and gas,10-19 years,49.8285,19.542457015227136
African Union,Oil and gas,20-29 years,11.4348,4.484664147580586
African Union,Oil and gas,30-39 years,10.884,4.268643490246187
African Union,Oil and gas,40-49 years,6.806,2.6692748616883084
African Union,Oil and gas,50+ years,0.395,0.15491677495840167
African Union,Utility-scale solar,0-9 years,13.298914125083073,5.215759206852161
African Union,Utility-scale solar,10-19 years,1.2465010760890425,0.48887070048073855
African Union,Utility-scale solar,20-29 years,0.0,0.0
African Union,Utility-scale solar,30-39 years,0.0,0.0
African Union,Utility-scale solar,40-49 years,0.0,0.0
African Union,Utility-scale solar,50+ years,0.0,0.0
African Union,Wind,0-9 years,8.7134,3.417346397272246
African Union,Wind,10-19 years,2.6022,1.0205681817639312
African Union,Wind,20-29 years,0.16,0.06275109871732727
African Union,Wind,30-39 years,0.0,0.0
African Union,Wind,40-49 years,0.0,0.0
African Union,Wind,50+ years,0.0,0.0
African Union,Hydropower,0-9 years,12.111,4.74986597853469
African Union,Hydropower,10-19 years,6.273,2.460235264086212
African Union,Hydropower,20-29 years,2.365,0.9275396779154936
African Union,Hydropower,30-39 years,2.131,0.8357661960414025
African Union,Hydropower,40-49 years,6.731,2.6398602841645613
African Union,Hydropower,50+ years,11.984,4.700057293927812
African Union,Nuclear,0-9 years,0.0,0.0
African Union,Nuclear,10-19 years,0.0,0.0
African Union,Nuclear,20-29 years,0.0,0.0
African Union,Nuclear,30-39 years,0.0,0.0
African Union,Nuclear,40-49 years,1.94,0.760857071947593
African Union,Nuclear,50+ years,0.0,0.0
African Union,Bioenergy,0-9 years,0.275,0.10785345092040623
African Union,Bioenergy,10-19 years,0.3594,0.14095465549379635
African Union,Bioenergy,20-29 years,0.0435,0.01706045496377335
African Union,Bioenergy,30-39 years,0.043,0.0168643577802817
African Union,Bioenergy,40-49 years,0.0245,0.009608761991090738
African Union,Bioenergy,50+ years,0.039700000000000006,0.015570116369236829
African Union,Geothermal,0-9 years,0.308,0.12079586503085497
African Union,Geothermal,10-19 years,0.3795,0.1488377622701606
African Union,Geothermal,20-29 years,0.129,0.050593073340845104
African Union,Geothermal,30-39 years,0.0,0.0
African Union,Geothermal,40-49 years,0.0,0.0
African Union,Geothermal,50+ years,0.0,0.0
Albania,Utility-scale solar,0-9 years,0.3204331756609924,15.58198824321129
Albania,Utility-scale solar,10-19 years,0.0,0.0
Albania,Utility-scale solar,20-29 years,0.0,0.0
