,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),World,227498.5,209040.9,289847.2,235654.65,250780.0,74925.0,7957.0,1614.0
Capacity (MW),BRICS,204979.0,73858.8,196062.5,172667.85,198285.0,56578.0,4364.0,120.0
Capacity (MW),EU27,100.0,11795.0,16836.1,16133.7,1950.0,2121.0,385.0,0.0
Capacity (MW),G7,0.0,21738.9,34436.7,26730.3,1300.0,7846.0,2213.0,190.0
Capacity (MW),G20,215559.0,111407.4,255299.4,218141.65,198162.0,61338.0,7293.0,863.0
Capacity (MW),OECD,1295.0,44610.2,65775.8,49203.8,9774.0,15917.0,2827.0,533.0
Capacity (MW),African Union,1670.0,18485.2,8098.2,4954.0,15610.0,4800.0,60.0,253.0
Capacity (MW),Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Albania,0.0,0.0,40.0,234.0,0.0,0.0,0.0,0.0
Capacity (MW),Algeria,0.0,3736.0,21.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Angola,0.0,375.0,178.9,0.0,2040.0,0.0,0.0,0.0
Capacity (MW),Argentina,120.0,265.0,387.0,921.0,1580.0,0.0,102.0,0.0
Capacity (MW),Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Australia,0.0,750.0,2099.2,3747.6,2250.0,0.0,73.0,0.0
Capacity (MW),Austria,0.0,0.0,120.0,112.0,840.0,0.0,0.0,0.0
Capacity (MW),Azerbaijan,0.0,1280.0,230.0,0.0,182.0,0.0,0.0,0.0
Capacity (MW),Bahrain,0.0,681.0,118.5,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bangladesh,3240.0,2853.0,235.0,0.0,0.0,2400.0,0.0,0.0
Capacity (MW),Barbados,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
Capacity (MW),Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Belgium,0.0,1745.0,0.0,24.0,0.0,0.0,0.0,0.0
Capacity (MW),Benin,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bhutan,0.0,0.0,17.0,0.0,2338.0,0.0,0.0,0.0
Capacity (MW),Bolivia,0.0,108.0,121.0,0.0,292.0,0.0,0.0,100.0
Capacity (MW),Bosnia and Herzegovina,0.0,0.0,110.0,300.0,159.0,0.0,0.0,0.0
Capacity (MW),Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Brazil,0.0,5082.9,6043.5,6857.8,142.0,1405.0,734.0,0.0
Capacity (MW),Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bulgaria,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Burkina Faso,0.0,0.0,76.6,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Cambodia,265.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0
Capacity (MW),Cameroon,0.0,0.0,30.0,0.0,420.0,0.0,0.0,0.0
Capacity (MW),Canada,0.0,1166.0,1044.0,1522.0,1100.0,0.0,0.0,10.0
Capacity (MW),Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Central African Republic,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Chad,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Chile,0.0,0.0,6307.3,1993.2,1094.0,0.0,0.0,0.0
Capacity (MW),China,173484.0,42829.4,179544.0,159340.05,171411.0,33904.0,3365.0,0.0
Capacity (MW),Colombia,0.0,0.0,3036.6,1351.4,2400.0,0.0,0.0,0.0
Capacity (MW),Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
Capacity (MW),Croatia,0.0,500.0,0.0,186.0,0.0,0.0,0.0,0.0
Capacity (MW),Cuba,0.0,0.0,2.2,151.0,0.0,0.0,0.0,0.0
Capacity (MW),Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Cyprus,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Czech Republic,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Côte d'Ivoire,0.0,390.0,20.0,0.0,112.0,0.0,0.0,0.0
Capacity (MW),DR Congo,0.0,0.0,600.0,0.0,150.0,0.0,0.0,0.0
Capacity (MW),Denmark,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Djibouti,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0
Capacity (MW),Dominican Republic,0.0,1342.0,716.4,98.0,191.0,0.0,0.0,0.0
Capacity (MW),Ecuador,0.0,996.0,258.0,110.0,0.0,0.0,0.0,0.0
Capacity (MW),Egypt,0.0,2550.0,1430.0,2512.0,2400.0,4800.0,0.0,0.0
Capacity (MW),El Salvador,0.0,0.0,44.4,0.0,0.0,0.0,0.0,64.0
Capacity (MW),Equatorial Guinea,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0
Capacity (MW),Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Estonia,0.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0
Capacity (MW),Eswatini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Ethiopia,0.0,0.0,0.0,100.0,7410.0,0.0,0.0,120.0
Capacity (MW),Faroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Finland,0.0,0.0,112.0,2519.2,0.0,0.0,0.0,0.0
Capacity (MW),France,0.0,0.0,427.7,1759.6,0.0,1650.0,64.0,0.0
Capacity (MW),French Guiana,0.0,0.0,59.2,0.0,0.0,0.0,120.0,0.0
Capacity (MW),Gabon,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Germany,0.0,1666.0,949.0,1669.0,0.0,0.0,0.0,0.0
