,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),World,2143346.1,2135891.8,925165.5648404849,1005067.0,1133406.0,396484.0,75994.33,13910.5
Capacity (MW),BRICS,1498558.7,486696.3,556236.9335168577,524384.0,549082.0,104848.0,34768.5,50.0
Capacity (MW),EU27,91417.5,195451.7,94152.45181415688,191293.5,104143.0,100745.0,13159.0,424.0
Capacity (MW),G7,288176.7,810311.51,207728.83619965773,287759.3,238584.0,199286.0,18649.83,4466.5
Capacity (MW),G20,1986289.2,1517259.7,847019.5469687397,959080.7,898845.0,364613.0,69883.33,8951.5
Capacity (MW),OECD,436172.9,1074962.0,306483.0055808456,438479.1,404295.0,264274.0,32428.83,8631.5
Capacity (MW),African Union,51952.6,126966.8,12573.037955807353,9676.6,37410.0,1940.0,761.0,814.0
Capacity (MW),Afghanistan,0.0,105.0,58.34585774058577,0.0,194.0,0.0,0.0,0.0
Capacity (MW),Albania,0.0,0.0,226.42,0.0,1547.0,0.0,0.0,0.0
Capacity (MW),Algeria,0.0,23915.6,436.80555555555554,10.0,100.0,0.0,0.0,0.0
Capacity (MW),Andorra,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Angola,0.0,929.0,420.955,50.0,3470.0,0.0,100.0,0.0
Capacity (MW),Antigua and Barbuda,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Argentina,375.0,22810.2,1696.3565,4666.1,11749.0,1763.0,162.0,0.0
Capacity (MW),Armenia,0.0,1127.0,156.2,0.0,811.0,448.0,0.0,0.0
Capacity (MW),Australia,22829.0,16810.9,11625.57267816092,14386.1,7377.0,0.0,256.0,0.0
Capacity (MW),Austria,0.0,4756.0,257.024,3014.0,10813.0,0.0,70.0,0.0
Capacity (MW),Azerbaijan,0.0,5860.9,287.9,50.0,954.0,0.0,37.0,0.0
Capacity (MW),Bahrain,0.0,8600.9,4.1,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bangladesh,6035.0,20001.9,953.742,60.0,230.0,0.0,42.0,0.0
Capacity (MW),Barbados,0.0,60.0,21.111,1.0,0.0,0.0,0.0,0.0
Capacity (MW),Belarus,0.0,9220.2,260.41163125,0.0,0.0,2388.0,0.0,0.0
Capacity (MW),Belgium,0.0,5364.0,480.765,3827.0,1308.0,4096.0,150.0,0.0
Capacity (MW),Belize,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Benin,0.0,127.4,21.75,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bermuda,0.0,114.0,6.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bhutan,0.0,0.0,0.0,0.0,2202.0,0.0,0.0,0.0
Capacity (MW),Bolivia,0.0,1945.2,171.30525,135.0,414.0,0.0,0.0,0.0
Capacity (MW),Bosnia and Herzegovina,2090.0,0.0,143.45,219.0,1881.0,0.0,0.0,0.0
Capacity (MW),Botswana,732.0,70.0,18.3,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Brazil,3101.0,21464.1,20165.20967,33763.4,106828.0,1990.0,13381.0,0.0
Capacity (MW),British Indian Ocean Territory,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Brunei,220.0,212.0,4.1,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bulgaria,4569.0,761.0,2227.066,608.0,2452.0,2080.0,0.0,0.0
Capacity (MW),Burkina Faso,0.0,165.9,189.4050971128609,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Burundi,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Cabo Verde,0.0,0.0,19.701942257217848,25.7,0.0,0.0,0.0,0.0
