,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),World,2125527.1,2108005.0,755143.9,925368.77,1133406.0,396484.0,75994.33,13910.5
Capacity (MW),BRICS,1472088.4,473602.5,464942.0,466693.2,549082.0,104848.0,34768.5,50.0
Capacity (MW),EU27,97491.8,196268.7,92030.4,185932.37,104143.0,100745.0,13159.0,424.0
Capacity (MW),G7,295993.7,811568.9,146821.2,278687.8,238584.0,199286.0,18649.83,4466.5
Capacity (MW),G20,1968199.2,1499537.2,684131.4,884654.47,898845.0,364613.0,69883.33,8951.5
Capacity (MW),OECD,446750.2,1071371.4,240120.0,422294.27,404295.0,264274.0,32428.83,8631.5
Capacity (MW),African Union,51922.6,125363.8,9977.5,9069.6,37410.0,1940.0,761.0,814.0
Capacity (MW),Afghanistan,0.0,105.0,34.0,0.0,194.0,0.0,0.0,0.0
Capacity (MW),Albania,0.0,0.0,254.5,0.0,1547.0,0.0,0.0,0.0
Capacity (MW),Algeria,0.0,23414.6,463.0,10.0,100.0,0.0,0.0,0.0
Capacity (MW),Andorra,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Angola,0.0,929.0,382.0,0.0,3470.0,0.0,100.0,0.0
Capacity (MW),Argentina,495.0,22652.2,1445.2,3744.1,11749.0,1763.0,162.0,0.0
Capacity (MW),Armenia,0.0,1346.0,0.0,0.0,811.0,448.0,0.0,0.0
Capacity (MW),Australia,22403.0,16277.9,9459.1,11574.9,7377.0,0.0,256.0,0.0
Capacity (MW),Austria,0.0,5191.0,268.3,2972.0,10813.0,0.0,70.0,0.0
Capacity (MW),Azerbaijan,0.0,5860.9,20.0,50.0,954.0,0.0,37.0,0.0
Capacity (MW),Bahrain,0.0,8600.9,4.1,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bangladesh,5435.0,19411.9,851.6,60.0,230.0,0.0,42.0,0.0
Capacity (MW),Barbados,0.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Belarus,0.0,8452.0,276.8,0.0,0.0,2388.0,0.0,0.0
Capacity (MW),Belgium,0.0,5702.0,484.1,3803.0,1308.0,4096.0,150.0,0.0
Capacity (MW),Benin,0.0,127.4,25.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bermuda,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bhutan,0.0,0.0,0.0,0.0,2202.0,0.0,0.0,0.0
Capacity (MW),Bolivia,0.0,1945.1,178.1,135.0,414.0,0.0,0.0,0.0
Capacity (MW),Bosnia and Herzegovina,2090.0,0.0,157.1,135.0,1881.0,0.0,0.0,0.0
Capacity (MW),Botswana,732.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Brazil,3177.0,21089.0,11707.6,26711.6,106828.0,1990.0,13381.0,0.0
Capacity (MW),Brunei,220.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Bulgaria,4569.0,761.0,2034.1,608.0,2452.0,2080.0,0.0,0.0
Capacity (MW),Burkina Faso,0.0,165.9,132.9,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Burundi,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Cabo Verde,0.0,0.0,0.0,25.7,0.0,0.0,0.0,0.0
Capacity (MW),Cambodia,1455.0,800.5,453.8,0.0,1298.0,0.0,0.0,0.0
Capacity (MW),Cameroon,0.0,364.0,0.0,100.0,883.0,0.0,0.0,0.0
Capacity (MW),Canada,3230.8,26830.5,3049.5,15267.0,76133.0,14629.0,1545.0,0.0
Capacity (MW),Cayman Islands,0.0,114.2,4.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Central African Republic,0.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Chad,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Chile,3826.0,6971.4,8117.2,4540.0,5551.0,0.0,910.0,81.0
Capacity (MW),China,1147231.0,139382.0,386875.3,395692.6,324725.0,58134.0,20090.5,0.0
Capacity (MW),Colombia,1646.0,4307.0,9674.5,1191.9,10586.0,0.0,71.0,0.0
Capacity (MW),Costa Rica,0.0,202.7,8.0,414.8,1363.0,0.0,0.0,248.0
Capacity (MW),Croatia,217.0,940.8,96.3,954.0,1562.0,0.0,0.0,0.0
Capacity (MW),Cuba,0.0,3708.0,121.0,11.2,0.0,0.0,60.0,0.0
Capacity (MW),Curaçao,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0
Capacity (MW),Cyprus,0.0,1853.0,18.0,156.0,0.0,0.0,0.0,0.0
Capacity (MW),Czech Republic,7403.6,1659.0,1293.6,140.0,1722.0,4164.0,30.0,0.0
Capacity (MW),Côte d'Ivoire,0.0,1279.0,38.0,0.0,824.0,0.0,0.0,0.0
Capacity (MW),DR Congo,0.0,0.0,0.0,0.0,2686.0,0.0,0.0,0.0
Capacity (MW),Denmark,1198.0,1584.2,2099.7,5003.3,0.0,0.0,2429.0,0.0
Capacity (MW),Djibouti,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Dominican Republic,1064.0,2993.1,592.6,471.5,268.0,0.0,30.0,0.0
Capacity (MW),Ecuador,0.0,1230.9,0.0,66.0,4495.0,0.0,73.0,0.0
Capacity (MW),Egypt,0.0,52107.5,2105.0,1641.0,2778.0,0.0,0.0,0.0
Capacity (MW),El Salvador,0.0,929.1999999999999,505.4,54.0,532.0,0.0,247.0,141.0
Capacity (MW),Equatorial Guinea,0.0,154.0,0.0,0.0,120.0,0.0,0.0,0.0
Capacity (MW),Eritrea,0.0,88.0,6.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Estonia,0.0,423.0,446.2,331.0,0.0,0.0,0.0,0.0
Capacity (MW),Eswatini,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
Capacity (MW),Ethiopia,0.0,0.0,0.0,564.0,4622.0,0.0,243.0,0.0
Capacity (MW),Faroe Islands,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
Capacity (MW),Fiji,0.0,0.0,0.0,10.0,80.0,0.0,0.0,0.0
Capacity (MW),Finland,1285.2,2861.0,50.2,7058.3,1576.0,4622.0,2391.0,0.0
