,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
0,World,Announced,2284113.4219874,572779.34,0.7995096814199125,0.20049031858008753
3,World,Pre-construction,3011290.7683836506,722679.098,0.806458240462472,0.193541759537528
1,World,Construction,1116375.3976086513,464049.85,0.7063765902865978,0.29362340971340206
2,World,Operating,4079961.4449011236,4435474.47,0.4791253772178143,0.5208746227821859
0,BRICS,Announced,1070309.7087262068,322009.9,0.7687241507037328,0.2312758492962673
3,BRICS,Pre-construction,1325636.017721458,315726.7,0.8076435533772254,0.19235644662277468
1,BRICS,Construction,890314.4977327974,290593.2,0.7539238667358131,0.24607613326418692
2,BRICS,Operating,2099714.352280098,2191672.42,0.48928573994845925,0.5107142600515407
0,EU27,Announced,176928.04536755042,14016.0,0.9265962969778898,0.07340370302211016
3,EU27,Pre-construction,545600.6062032859,26752.7,0.953258416243868,0.04674158375613209
1,EU27,Construction,32078.70579021436,13830.5,0.6987423380138718,0.3012576619861283
2,EU27,Operating,570212.9626692598,281485.81,0.6695007448257656,0.3304992551742345
0,G7,Announced,176877.95336673644,95000.6,0.6505770726540027,0.34942292734599734
3,G7,Pre-construction,397039.3151151823,195807.798,0.6697161988845559,0.330283801115444
1,G7,Construction,72765.78591555935,37618.3,0.6592054036776921,0.3407945963223079
2,G7,Operating,1039185.9994662303,1098442.71,0.48613961576410386,0.5138603842358962
0,G20,Announced,1612575.4010574492,451038.6,0.7814326711444697,0.2185673288555302
3,G20,Pre-construction,2380483.0382485576,526736.198,0.8188178616072677,0.18118213839273242
1,G20,Construction,979483.448918799,359064.4,0.7317507922559278,0.2682492077440723
2,G20,Operating,3628407.252436021,3630575.03,0.49985068309305397,0.5001493169069461
0,OECD,Announced,619870.2020446232,132584.7,0.8237971476566482,0.17620285234335184
3,OECD,Pre-construction,1152694.1929625631,220958.098,0.8391455396291244,0.16085446037087553
1,OECD,Construction,127819.89728061097,62067.4,0.6731355867987406,0.32686441320125936
2,OECD,Operating,1616787.1427812376,1517910.61,0.5157713024634528,0.48422869753654724
0,African Union,Announced,203298.23488796473,33403.0,0.8588811756059901,0.14111882439400997
3,African Union,Pre-construction,224886.45919789362,26944.0,0.8930073824833602,0.10699261751663981
1,African Union,Construction,60694.393919177804,16371.7,0.7875628675670311,0.212437132432969
2,African Union,Operating,72589.37292478816,188267.3,0.2782730152573769,0.7217269847426231
0,Afghanistan,Announced,564.0,320.0,0.6380090497737556,0.36199095022624433
3,Afghanistan,Pre-construction,0.0,3800.0,0.0,1.0
1,Afghanistan,Construction,120.84403866809882,50.0,0.7073354131065953,0.2926645868934047
2,Afghanistan,Operating,392.31211170784104,266.6,0.5953936871656574,0.40460631283434256
0,Albania,Announced,2911.8192430278887,110.2,0.9635343155890742,0.03646568441092585
3,Albania,Pre-construction,568.2625135820355,520.0,0.5221741137729621,0.477825886227038
1,Albania,Construction,237.0,0.0,1.0,0.0
2,Albania,Operating,2056.433175660992,0.0,1.0,0.0
0,Algeria,Announced,45.53125,0.0,1.0,0.0
3,Algeria,Pre-construction,1684.87125,0.0,1.0,0.0
1,Algeria,Construction,2255.315,4385.0,0.3396397610655518,0.6603602389344481
2,Algeria,Operating,602.00125,27580.6,0.021360741141664488,0.9786392588583355
0,Andorra,Announced,0.0,0.0,0.0,0.0
3,Andorra,Pre-construction,0.0,0.0,0.0,0.0
1,Andorra,Construction,0.0,0.0,0.0,0.0
2,Andorra,Operating,66.3,0.0,1.0,0.0
0,Angola,Announced,1177.3166666666666,0.0,1.0,0.0
3,Angola,Pre-construction,348.3,1800.0,0.1621281943862589,0.837871805613741
1,Angola,Construction,2193.75,0.0,1.0,0.0
2,Angola,Operating,4218.873066666667,929.0,0.8195371198999779,0.18046288010002215
0,Anguilla,Announced,0.0,0.0,0.0,0.0
3,Anguilla,Pre-construction,0.0,0.0,0.0,0.0
1,Anguilla,Construction,0.0,0.0,0.0,0.0
2,Anguilla,Operating,1.2,0.0,1.0,0.0
0,Antigua and Barbuda,Announced,0.0,0.0,0.0,0.0
3,Antigua and Barbuda,Pre-construction,0.0,0.0,0.0,0.0
1,Antigua and Barbuda,Construction,0.0,46.0,0.0,1.0
2,Antigua and Barbuda,Operating,10.299999999999999,0.0,1.0,0.0
0,Argentina,Announced,16426.633260869567,0.0,1.0,0.0
3,Argentina,Pre-construction,4194.110826086957,0.0,1.0,0.0
1,Argentina,Construction,2488.564130434783,260.0,0.9054051542327041,0.09459484576729588
2,Argentina,Operating,21886.885717391306,23555.2,0.48164351111672005,0.5183564888832799
0,Armenia,Announced,1400.0,0.0,1.0,0.0
3,Armenia,Pre-construction,176.0,126.0,0.5827814569536424,0.41721854304635764
1,Armenia,Construction,230.85935714285714,50.0,0.8219749539105873,0.17802504608941286
2,Armenia,Operating,1593.0995714285714,1127.0,0.5856769318896257,0.41432306811037434
0,Australia,Announced,220095.94235714286,4583.0,0.9796020047454425,0.02039799525455751
3,Australia,Pre-construction,155833.12735714286,2101.4,0.9866944864105109,0.013305513589489086
1,Australia,Construction,7283.166964285714,1120.0,0.8667169169956862,0.13328308300431374
2,Australia,Operating,35749.96932142857,42566.3,0.4564820264190854,0.5435179735809145
0,Austria,Announced,222.0,0.0,1.0,0.0
3,Austria,Pre-construction,2547.0,0.0,1.0,0.0
1,Austria,Construction,1054.76,0.0,1.0,0.0
2,Austria,Operating,15772.784,4826.0,0.7657143256611653,0.23428567433883477
0,Azerbaijan,Announced,3058.1642857142856,0.0,1.0,0.0
3,Azerbaijan,Pre-construction,1102.0035714285714,500.0,0.6878908331308339,0.31210916686916607
1,Azerbaijan,Construction,409.08214285714286,0.0,1.0,0.0
2,Azerbaijan,Operating,1574.5,7140.9,0.18065722743649174,0.8193427725635083
0,Bahrain,Announced,2216.9285714285716,0.0,1.0,0.0
3,Bahrain,Pre-construction,222.92842857142858,1200.0,0.156668757258045,0.8433312427419549
1,Bahrain,Construction,87.33214285714286,1800.0,0.04627280004087402,0.953727199959126
2,Bahrain,Operating,11.6,9281.9,0.0012481842147737665,0.9987518157852262
0,Bangladesh,Announced,2150.0023630504834,18050.0,0.10643574809591275,0.8935642519040873
3,Bangladesh,Pre-construction,1469.794522019334,1600.0,0.4787924766549169,0.521207523345083
1,Bangladesh,Construction,2448.3,4030.0,0.3779232205979964,0.6220767794020036
2,Bangladesh,Operating,1439.414865735768,27884.2,0.04908722448874146,0.9509127755112585
0,Barbados,Announced,9.59074074074074,0.0,1.0,0.0
3,Barbados,Pre-construction,109.74444444444444,0.0,1.0,0.0
1,Barbados,Construction,50.0,0.0,1.0,0.0
2,Barbados,Operating,25.19074074074074,183.0,0.1209983722192078,0.8790016277807922
0,Belarus,Announced,0.0,0.0,0.0,0.0
3,Belarus,Pre-construction,0.0,0.0,0.0,0.0
1,Belarus,Construction,0.0,0.0,0.0,0.0
2,Belarus,Operating,2646.670858369099,9230.2,0.22284243804032844,0.7771575619596715
0,Belgium,Announced,393.3578260869565,0.0,1.0,0.0
3,Belgium,Pre-construction,3921.547,900.0,0.8133379183071324,0.18666208169286744
1,Belgium,Construction,96.08277749360613,870.0,0.09945605048760124,0.9005439495123987
2,Belgium,Operating,10512.56735549872,6069.0,0.6339911740618766,0.36600882593812334
0,Belize,Announced,57.544444444444444,0.0,1.0,0.0
3,Belize,Pre-construction,0.0,0.0,0.0,0.0
1,Belize,Construction,0.0,0.0,0.0,0.0
2,Belize,Operating,31.7,0.0,1.0,0.0
0,Benin,Announced,27.0,140.0,0.16167664670658682,0.8383233532934131
3,Benin,Pre-construction,45.133419689119165,0.0,1.0,0.0
1,Benin,Construction,43.5,0.0,1.0,0.0
2,Benin,Operating,24.65,127.4,0.16211772443275235,0.8378822755672476
0,Bermuda,Announced,69.77729083665338,0.0,1.0,0.0
3,Bermuda,Pre-construction,60.0,0.0,1.0,0.0
1,Bermuda,Construction,0.0,0.0,0.0,0.0
2,Bermuda,Operating,6.0,114.0,0.05,0.95
0,Bhutan,Announced,1813.0504833512352,0.0,1.0,0.0
3,Bhutan,Pre-construction,5000.846562835661,0.0,1.0,0.0
1,Bhutan,Construction,2451.5321160042963,0.0,1.0,0.0
2,Bhutan,Operating,2341.138,0.0,1.0,0.0
0,Bolivia,Announced,2177.3444444444444,140.0,0.9395860203969103,0.060413979603089744
3,Bolivia,Pre-construction,1517.4518518518519,0.0,1.0,0.0
1,Bolivia,Construction,721.0225925925926,0.0,1.0,0.0
2,Bolivia,Operating,993.0930555555556,2431.7000000000003,0.2899716973977746,0.7100283026022254
0,Bosnia and Herzegovina,Announced,869.9444404201377,237.5,0.7855422887762222,0.21445771122377774
3,Bosnia and Herzegovina,Pre-construction,4122.872216588193,1050.0,0.7970179899992705,0.20298201000072943
1,Bosnia and Herzegovina,Construction,483.75,0.0,1.0,0.0
2,Bosnia and Herzegovina,Operating,2821.028877218399,1990.0,0.5863670639302914,0.4136329360697086
0,Botswana,Announced,562.6670984455959,615.0,0.47778111419454683,0.5222188858054532
3,Botswana,Pre-construction,3154.6900259067356,600.0,0.8401998578151325,0.15980014218486746
1,Botswana,Construction,0.0,0.0,0.0,0.0
2,Botswana,Operating,118.80000000000001,802.0,0.12901824500434406,0.870981754995656
0,Brazil,Announced,279408.9185185185,31041.9,0.9000102491333958,0.09998975086660414
3,Brazil,Pre-construction,136923.4436851852,10482.7,0.928885596367083,0.07111440363291686
1,Brazil,Construction,7898.436777777778,3312.9,0.7045044613621305,0.2954955386378694
2,Brazil,Operating,187260.56387037036,28251.2,0.8689111002915227,0.1310888997084772
0,Brunei,Announced,0.0,500.0,0.0,1.0
3,Brunei,Pre-construction,0.0,0.0,0.0,0.0
1,Brunei,Construction,30.0,0.0,1.0,0.0
2,Brunei,Operating,5.2,432.0,0.011893870082342179,0.9881061299176579
0,Bulgaria,Announced,2884.947253218884,240.0,0.9231987036732267,0.07680129632677338
3,Bulgaria,Pre-construction,3529.478240343348,42.0,0.9882401635475281,0.011759836452471929
1,Bulgaria,Construction,347.382660944206,0.0,1.0,0.0
2,Bulgaria,Operating,8597.787901287553,4876.0,0.6381121600159633,0.36188783998403673
0,Burkina Faso,Announced,321.0,0.0,1.0,0.0
3,Burkina Faso,Pre-construction,119.67145077720207,0.0,1.0,0.0
1,Burkina Faso,Construction,0.0,0.0,0.0,0.0
2,Burkina Faso,Operating,194.71541968911916,201.9,0.4909426361732073,0.5090573638267927
0,Burundi,Announced,6.525,0.0,1.0,0.0
3,Burundi,Pre-construction,0.0,0.0,0.0,0.0
1,Burundi,Construction,0.0,0.0,0.0,0.0
2,Burundi,Operating,16.0,30.0,0.34782608695652173,0.6521739130434783
0,Cabo Verde,Announced,24.08162694300518,0.0,1.0,0.0
3,Cabo Verde,Pre-construction,0.0,0.0,0.0,0.0
1,Cabo Verde,Construction,5.0,0.0,1.0,0.0
2,Cabo Verde,Operating,51.241753886010365,0.0,1.0,0.0
0,Cambodia,Announced,4737.5015576323985,0.0,1.0,0.0
3,Cambodia,Pre-construction,223.5202492211838,0.0,1.0,0.0
1,Cambodia,Construction,230.0,1165.0,0.16487455197132617,0.8351254480286738
2,Cambodia,Operating,1805.5050778816199,2255.5,0.44459562183641554,0.5554043781635845
0,Cameroon,Announced,1960.721761658031,500.0,0.7968075839411033,0.20319241605889674
3,Cameroon,Pre-construction,2230.0,350.0,0.8643410852713178,0.13565891472868216
1,Cameroon,Construction,26.026,0.0,1.0,0.0
2,Cameroon,Operating,1545.6797357512953,364.0,0.8093921230950293,0.19060787690497077
0,Canada,Announced,5341.394371134021,8991.0,0.37267983512174274,0.6273201648782573
3,Canada,Pre-construction,27106.98443298969,7438.0,0.7846865435870085,0.21531345641299166
1,Canada,Construction,2420.745587628866,470.0,0.8374121880488564,0.16258781195114355
2,Canada,Operating,117575.03659793815,32893.9,0.7813907591578556,0.21860924084214428
0,Cayman Islands,Announced,0.0,0.0,0.0,0.0
3,Cayman Islands,Pre-construction,0.0,0.0,0.0,0.0
1,Cayman Islands,Construction,0.0,0.0,0.0,0.0
2,Cayman Islands,Operating,4.9,153.7,0.030895334174022702,0.9691046658259773
0,Central African Republic,Announced,13.05,0.0,1.0,0.0
3,Central African Republic,Pre-construction,180.0,0.0,1.0,0.0
1,Central African Republic,Construction,45.13341968911917,0.0,1.0,0.0
2,Central African Republic,Operating,42.51137305699482,50.0,0.4595259118119912,0.5404740881880088
0,Chad,Announced,391.0673575129533,90.0,0.8129160114598367,0.1870839885401633
3,Chad,Pre-construction,0.0,0.0,0.0,0.0
1,Chad,Construction,56.1,0.0,1.0,0.0
2,Chad,Operating,111.92681347150258,89.0,0.5570526478656227,0.4429473521343773
0,Chile,Announced,18888.247786666667,0.0,1.0,0.0
3,Chile,Pre-construction,39800.25442666667,199.8,0.9950050067965207,0.004994993203479248
1,Chile,Construction,3386.386033333333,577.4,0.85433118863017,0.14566881136982998
2,Chile,Operating,26266.74623333333,10242.8,0.7194487180273884,0.28055128197261164
0,China,Announced,553425.9387962662,227009.0,0.7091250164297667,0.29087498357023334
3,China,Pre-construction,991612.5990517451,189811.0,0.8393370505275589,0.16066294947244106
1,China,Construction,674259.861187297,237219.6,0.7397422431318456,0.2602577568681545
2,China,Operating,1568325.1211298702,1419199.84,0.5249579975180311,0.475042002481969
0,Colombia,Announced,11246.124074074074,4011.0,0.7371064179247412,0.2628935820752588
3,Colombia,Pre-construction,24696.691944444443,0.0,1.0,0.0
1,Colombia,Construction,2330.768537037037,0.0,1.0,0.0
2,Colombia,Operating,14962.098648148149,5972.0,0.7147238053868495,0.2852761946131504
0,Cook Islands,Announced,0.0,0.0,0.0,0.0
3,Cook Islands,Pre-construction,0.0,0.0,0.0,0.0
1,Cook Islands,Construction,0.0,0.0,0.0,0.0
2,Cook Islands,Operating,1.0298697318007664,0.0,1.0,0.0
0,Costa Rica,Announced,992.387037037037,0.0,1.0,0.0
3,Costa Rica,Pre-construction,135.0,0.0,1.0,0.0
1,Costa Rica,Construction,55.0,0.0,1.0,0.0
2,Costa Rica,Operating,2393.7,546.7,0.814072915249626,0.18592708475037414
0,Croatia,Announced,1707.447237957262,0.0,1.0,0.0
3,Croatia,Pre-construction,2150.972010141253,0.0,1.0,0.0
1,Croatia,Construction,150.06742122419413,0.0,1.0,0.0
2,Croatia,Operating,3115.7,1637.8,0.6554538760913011,0.3445461239086988
0,Cuba,Announced,1414.6889814814815,200.0,0.876137137062458,0.12386286293754198
3,Cuba,Pre-construction,179.34685185185185,0.0,1.0,0.0
1,Cuba,Construction,196.1070740740741,0.0,1.0,0.0
2,Cuba,Operating,901.3977222222222,1242.0,0.42054617903002867,0.5794538209699714
0,Curaçao,Announced,0.0,0.0,0.0,0.0
3,Curaçao,Pre-construction,0.0,0.0,0.0,0.0
1,Curaçao,Construction,0.0,0.0,0.0,0.0
2,Curaçao,Operating,69.5,0.0,1.0,0.0
0,Cyprus,Announced,0.0,0.0,0.0,0.0
3,Cyprus,Pre-construction,149.64,185.0,0.44716710494860146,0.5528328950513985
1,Cyprus,Construction,16.0,420.0,0.03669724770642202,0.963302752293578
2,Cyprus,Operating,551.9,1853.0,0.2294897916753295,0.7705102083246704
0,Czech Republic,Announced,2100.0,1900.0,0.525,0.475
3,Czech Republic,Pre-construction,3612.0,1173.0,0.754858934169279,0.245141065830721
1,Czech Republic,Construction,184.4,109.0,0.6284935241990457,0.37150647580095436
2,Czech Republic,Operating,8941.31,8622.6,0.509072865893756,0.490927134106244
0,Côte d'Ivoire,Announced,699.1655699481865,0.0,1.0,0.0
3,Côte d'Ivoire,Pre-construction,333.52,372.0,0.4727293343916544,0.5272706656083457
1,Côte d'Ivoire,Construction,249.67341968911916,0.0,1.0,0.0
2,Côte d'Ivoire,Operating,969.06,1669.0,0.3673381196788549,0.6326618803211451
0,DR Congo,Announced,1568.447279792746,240.0,0.8672894683291488,0.13271053167085126
3,DR Congo,Pre-construction,6324.71,0.0,1.0,0.0
1,DR Congo,Construction,372.2936787564767,0.0,1.0,0.0
2,DR Congo,Operating,2780.8426943005184,0.0,1.0,0.0
0,Denmark,Announced,4055.343024691358,0.0,1.0,0.0
3,Denmark,Pre-construction,24402.806567901236,0.0,1.0,0.0
1,Denmark,Construction,0.0,0.0,0.0,0.0
2,Denmark,Operating,9971.896901234568,1614.2,0.8606778439917935,0.13932215600820647
0,Djibouti,Announced,67.56670984455958,50.0,0.5747095409397156,0.4252904590602844
3,Djibouti,Pre-construction,9092.783937823835,0.0,1.0,0.0
1,Djibouti,Construction,0.0,0.0,0.0,0.0
2,Djibouti,Operating,208.52694300518135,108.0,0.6587968184489366,0.34120318155106344
0,Dominican Republic,Announced,2394.8671249999998,145.0,0.9429103992989397,0.057089600701060304
3,Dominican Republic,Pre-construction,2259.308,0.0,1.0,0.0
1,Dominican Republic,Construction,474.6,1942.0,0.1963916245965406,0.8036083754034594
2,Dominican Republic,Operating,2235.387458333333,4057.1,0.35524702641607037,0.6447529735839296
0,Ecuador,Announced,7949.722222222223,587.0,0.931238245228132,0.06876175477186794
3,Ecuador,Pre-construction,3550.473722222222,530.0,0.8701131201718995,0.12988687982810057
1,Ecuador,Construction,0.0,241.25,0.0,1.0
2,Ecuador,Operating,5485.234740740741,1601.8,0.7739816356773526,0.22601836432264744
0,Egypt,Announced,28368.094736842104,125.0,0.9956129721550263,0.004387027844973704
3,Egypt,Pre-construction,47374.79789473684,0.0,1.0,0.0
1,Egypt,Construction,26303.018842105263,2250.0,0.9211992254674636,0.0788007745325364
