,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
0,World,Announced,2040893.1613331018,511697.34,0.7995380223609061,0.200461977639094
3,World,Pre-construction,2916331.5861491426,732378.098,0.7992775086541899,0.20072249134581016
1,World,Construction,952858.5081465833,495793.85,0.6577551217088948,0.3422448782911052
2,World,Operating,3679374.584840485,4389788.37,0.45597971009289406,0.5440202899071059
0,BRICS,Announced,769145.185230973,262312.9,0.7456872908788527,0.25431270912114734
3,BRICS,Pre-construction,1317813.2316917954,324896.7,0.8022190687887331,0.19778093121126694
1,BRICS,Construction,742613.4930869262,319757.2,0.6990154170472429,0.30098458295275715
2,BRICS,Operating,1839787.3035168578,2133102.52,0.4630854076613311,0.5369145923386689
0,EU27,Announced,275484.57695257536,14016.0,0.9515855887144017,0.048414411285598355
3,EU27,Pre-construction,484683.95577038254,26752.7,0.9476910782632463,0.052308921736753736
1,EU27,Construction,28335.501800991125,13830.5,0.6719987807884855,0.32800121921151437
2,EU27,Operating,523107.3418141569,289045.01,0.6441000147886766,0.3558999852113235
0,G7,Announced,193479.55511307495,95000.6,0.6706858398534804,0.3293141601465197
3,G7,Pre-construction,368713.9046861835,195807.798,0.6531438967389901,0.3468561032610099
1,G7,Construction,72480.24315566682,37618.3,0.6583215461188073,0.34167845388119267
2,G7,Operating,984632.5061996577,1105717.31,0.4710371912724925,0.5289628087275076
0,G20,Announced,1401324.998606719,391341.6,0.7816986157358232,0.21830138426417667
3,G20,Pre-construction,2329904.8900317503,535906.198,0.813000165908332,0.18699983409166804
1,G20,Construction,853677.281517965,388228.4,0.6873930075547495,0.31260699244525036
2,G20,Operating,3252043.94696874,3582731.93,0.47580842525169076,0.5241915747483092
0,OECD,Announced,673753.1231520277,132584.7,0.8355717712934292,0.16442822870657073
3,OECD,Pre-construction,1122981.8551581313,220958.098,0.8355893077806271,0.16441069221937293
1,OECD,Construction,130163.89034969943,62067.4,0.6771212434401835,0.32287875655981646
2,OECD,Operating,1506733.2055808455,1528865.41,0.49635455684003205,0.5036454431599678
0,African Union,Announced,278586.4717621798,32803.0,0.8946560401854148,0.10534395981458526
3,African Union,Pre-construction,150217.9062513497,26479.0,0.8501445183067672,0.14985548169323276
1,African Union,Construction,30535.74029315238,18136.7,0.6273722893127343,0.37262771068726575
2,African Union,Operating,68105.63795580735,187367.3,0.2665865061902898,0.7334134938097102
0,Afghanistan,Announced,628.5821556485356,160.0,0.7971042093028153,0.2028957906971847
3,Afghanistan,Pre-construction,0.0,3800.0,0.0,1.0
1,Afghanistan,Construction,0.0,50.0,0.0,1.0
2,Afghanistan,Operating,370.34585774058576,266.6,0.5814400913985056,0.4185599086014944
0,Albania,Announced,1787.9553599698454,110.2,0.941943635213426,0.058056364786573986
3,Albania,Pre-construction,725.6694496796081,520.0,0.5825537825193141,0.4174462174806859
1,Albania,Construction,358.8811911044101,0.0,1.0,0.0
2,Albania,Operating,1962.42,0.0,1.0,0.0
0,Algeria,Announced,784.3133333333334,0.0,1.0,0.0
3,Algeria,Pre-construction,2621.0066666666667,0.0,1.0,0.0
1,Algeria,Construction,92.97611111111111,4385.0,0.0207629761312061,0.9792370238687939
2,Algeria,Operating,618.8055555555555,27580.6,0.02194392198574714,0.9780560780142529
0,Andorra,Announced,0.0,0.0,0.0,0.0
3,Andorra,Pre-construction,0.0,0.0,0.0,0.0
1,Andorra,Construction,0.0,0.0,0.0,0.0
2,Andorra,Operating,64.4,0.0,1.0,0.0
0,Angola,Announced,1044.9267741935485,0.0,1.0,0.0
3,Angola,Pre-construction,579.35,1800.0,0.243490869355076,0.7565091306449241
1,Angola,Construction,2239.86,0.0,1.0,0.0
2,Angola,Operating,4150.955,929.0,0.8171243642906285,0.18287563570937143
0,Antigua and Barbuda,Announced,0.0,0.0,0.0,0.0
3,Antigua and Barbuda,Pre-construction,0.0,0.0,0.0,0.0
1,Antigua and Barbuda,Construction,0.0,46.0,0.0,1.0
2,Antigua and Barbuda,Operating,7.5,0.0,1.0,0.0
0,Argentina,Announced,7094.963,0.0,1.0,0.0
3,Argentina,Pre-construction,2475.204,0.0,1.0,0.0
1,Argentina,Construction,2387.066,260.0,0.9017780440684139,0.09822195593158616
2,Argentina,Operating,20505.4565,23555.2,0.46539153360095764,0.5346084663990425
0,Armenia,Announced,1200.0,0.0,1.0,0.0
3,Armenia,Pre-construction,376.0,126.0,0.749003984063745,0.250996015936255
1,Armenia,Construction,55.0,50.0,0.5238095238095238,0.47619047619047616
2,Armenia,Operating,1486.2,1127.0,0.5687279963263432,0.43127200367365687
0,Australia,Announced,191332.69977011494,4583.0,0.9766072856571595,0.023392714342840494
3,Australia,Pre-construction,188099.67574712643,2101.4,0.9889516923511315,0.011048307648868534
1,Australia,Construction,7728.369540229885,1120.0,0.8734230080572672,0.12657699194273275
2,Australia,Operating,34432.95267816092,42566.3,0.44718554376212843,0.5528144562378715
0,Austria,Announced,70.0,0.0,1.0,0.0
3,Austria,Pre-construction,2535.0,0.0,1.0,0.0
1,Austria,Construction,1014.9777777777778,0.0,1.0,0.0
2,Austria,Operating,15127.024,4826.0,0.7581319002072068,0.24186809979279333
0,Azerbaijan,Announced,420.5,0.0,1.0,0.0
3,Azerbaijan,Pre-construction,1166.4,500.0,0.699951992318771,0.30004800768122897
1,Azerbaijan,Construction,0.0,0.0,0.0,0.0
2,Azerbaijan,Operating,1560.9,7140.9,0.1793766806867545,0.8206233193132456
0,Bahrain,Announced,2200.9875,0.0,1.0,0.0
3,Bahrain,Pre-construction,82.2885,1200.0,0.06417315604093773,0.9358268439590621
1,Bahrain,Construction,100.0,1800.0,0.05263157894736842,0.9473684210526315
2,Bahrain,Operating,4.1,9281.9,0.0004415248761576566,0.9995584751238423
0,Bangladesh,Announced,2641.8377238493727,18050.0,0.12767535484798412,0.8723246451520158
3,Bangladesh,Pre-construction,1894.7820502092052,2800.0,0.4035931870628097,0.5964068129371902
1,Bangladesh,Construction,2666.9,4690.0,0.36250322826190384,0.6374967717380963
2,Bangladesh,Operating,1285.742,25904.2,0.04728741238212277,0.9527125876178772
0,Barbados,Announced,9.311,0.0,1.0,0.0
3,Barbados,Pre-construction,117.37700000000001,0.0,1.0,0.0
1,Barbados,Construction,30.0,0.0,1.0,0.0
2,Barbados,Operating,22.111,183.0,0.10780016673898524,0.8921998332610148
0,Belarus,Announced,0.0,0.0,0.0,0.0
3,Belarus,Pre-construction,5.9940375,0.0,1.0,0.0
1,Belarus,Construction,0.0,0.0,0.0,0.0
2,Belarus,Operating,2648.41163125,9230.2,0.22295632801754495,0.7770436719824549
0,Belgium,Announced,574.77,0.0,1.0,0.0
3,Belgium,Pre-construction,4564.0,900.0,0.835285505124451,0.16471449487554904
1,Belgium,Construction,0.0,870.0,0.0,1.0
2,Belgium,Operating,9977.165,6069.0,0.6217787863953786,0.3782212136046214
0,Belize,Announced,55.866,0.0,1.0,0.0
3,Belize,Pre-construction,0.0,0.0,0.0,0.0
1,Belize,Construction,0.0,0.0,0.0,0.0
2,Belize,Operating,37.5,0.0,1.0,0.0
0,Benin,Announced,45.2230971128609,140.0,0.24415473997449344,0.7558452600255066
3,Benin,Pre-construction,0.0,0.0,0.0,0.0
1,Benin,Construction,43.5,0.0,1.0,0.0
2,Benin,Operating,21.75,127.4,0.14582634931277236,0.8541736506872276
0,Bermuda,Announced,0.0,0.0,0.0,0.0
3,Bermuda,Pre-construction,60.0,0.0,1.0,0.0
1,Bermuda,Construction,0.0,0.0,0.0,0.0
2,Bermuda,Operating,6.0,114.0,0.05,0.95
0,Bhutan,Announced,1340.0,0.0,1.0,0.0
3,Bhutan,Pre-construction,4935.0,0.0,1.0,0.0
1,Bhutan,Construction,2354.091958158996,0.0,1.0,0.0
2,Bhutan,Operating,2326.0,0.0,1.0,0.0
0,Bolivia,Announced,739.4,140.0,0.8408005458267,0.15919945417329998
3,Bolivia,Pre-construction,1396.0898,0.0,1.0,0.0
1,Bolivia,Construction,428.0,0.0,1.0,0.0
2,Bolivia,Operating,998.30525,2431.7000000000003,0.2910506478087752,0.7089493521912248
0,Bosnia and Herzegovina,Announced,1796.3871579344138,237.5,0.8832285266793259,0.11677147332067406
3,Bosnia and Herzegovina,Pre-construction,2792.8402487749718,1050.0,0.7267645980509544,0.27323540194904566
1,Bosnia and Herzegovina,Construction,470.7,0.0,1.0,0.0
2,Bosnia and Herzegovina,Operating,2437.45,1990.0,0.5505313442274898,0.44946865577251016
0,Botswana,Announced,1018.7926509186352,615.0,0.6235752439857023,0.37642475601429776
3,Botswana,Pre-construction,2651.1706036745404,600.0,0.815451087272422,0.18454891272757803
1,Botswana,Construction,104.4,0.0,1.0,0.0
2,Botswana,Operating,18.3,802.0,0.022308911373887606,0.9776910886261124
0,Brazil,Announced,155769.29835,31041.9,0.83383276658907,0.16616723341093007
3,Brazil,Pre-construction,275405.21653,10482.7,0.9633328329254518,0.0366671670745482
1,Brazil,Construction,9624.98303,3312.9,0.7439380158007195,0.25606198419928056
2,Brazil,Operating,181430.60967,28251.2,0.8652663288033324,0.13473367119666751
0,Brunei,Announced,27.235158501440925,500.0,0.05165656740125477,0.9483434325987453
3,Brunei,Pre-construction,30.0,0.0,1.0,0.0
1,Brunei,Construction,0.0,0.0,0.0,0.0
2,Brunei,Operating,4.1,432.0,0.009401513414354504,0.9905984865856454
0,Bulgaria,Announced,3153.9766666666665,240.0,0.9292864908715734,0.07071350912842654
3,Bulgaria,Pre-construction,2840.0,42.0,0.9854267869535045,0.01457321304649549
1,Bulgaria,Construction,294.3933333333333,0.0,1.0,0.0
2,Bulgaria,Operating,7498.066,5330.0,0.5845047881730575,0.4154952118269426
0,Burkina Faso,Announced,141.53031496062994,0.0,1.0,0.0
3,Burkina Faso,Pre-construction,297.45417322834646,0.0,1.0,0.0
1,Burkina Faso,Construction,18.089238845144358,0.0,1.0,0.0
2,Burkina Faso,Operating,189.4050971128609,201.9,0.4840343213271059,0.5159656786728941
0,Burundi,Announced,6.525,0.0,1.0,0.0
3,Burundi,Pre-construction,0.0,0.0,0.0,0.0
1,Burundi,Construction,0.0,0.0,0.0,0.0
2,Burundi,Operating,16.0,30.0,0.34782608695652173,0.6521739130434783
0,Cabo Verde,Announced,34.305774278215225,0.0,1.0,0.0
3,Cabo Verde,Pre-construction,0.0,0.0,0.0,0.0
1,Cabo Verde,Construction,5.0,0.0,1.0,0.0
2,Cabo Verde,Operating,45.40194225721785,0.0,1.0,0.0
0,Cambodia,Announced,5789.206916426513,0.0,1.0,0.0
3,Cambodia,Pre-construction,538.8028818443804,0.0,1.0,0.0
1,Cambodia,Construction,230.0,1165.0,0.16487455197132617,0.8351254480286738
2,Cambodia,Operating,1792.9519654178675,2255.5,0.44287346885510226,0.5571265311448977
0,Cameroon,Announced,1962.551181102362,500.0,0.7969585347760468,0.20304146522395314
3,Cameroon,Pre-construction,2279.764,350.0,0.8669082092537581,0.13309179074624186
1,Cameroon,Construction,0.0,0.0,0.0,0.0
2,Cameroon,Operating,1529.3338582677166,364.0,0.807746532176297,0.19225346782370306
0,Canada,Announced,8642.1025,8991.0,0.49010674667149473,0.5098932533285052
3,Canada,Pre-construction,23227.9033875,7438.0,0.7574504847937442,0.24254951520625573
1,Canada,Construction,2558.0,470.0,0.844782034346103,0.15521796565389695
2,Canada,Operating,116470.82475,32893.9,0.7797746418703858,0.22022535812961422
0,Cayman Islands,Announced,0.0,0.0,0.0,0.0
