,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
0,World,Announced,2284659.5219874,572779.34,0.7995479981672743,0.2004520018327257
3,World,Pre-construction,3009736.2683836506,722679.098,0.8063776329641987,0.19362236703580132
1,World,Construction,1116558.3976086513,464049.85,0.7064105854805739,0.29358941451942605
2,World,Operating,4080414.7949011233,4435474.47,0.4791531063841869,0.520846893615813
0,BRICS,Announced,1070394.7087262068,322009.9,0.7687382690476875,0.23126173095231253
3,BRICS,Pre-construction,1325507.017721458,315726.7,0.807628434274232,0.192371565725768
1,BRICS,Construction,890384.4977327974,290593.2,0.7539384523874826,0.2460615476125175
2,BRICS,Operating,2099832.352280098,2191672.42,0.48929978264114726,0.5107002173588527
0,EU27,Announced,176967.04536755042,14016.0,0.9266112864991447,0.07338871350085525
3,EU27,Pre-construction,545620.6062032859,26752.7,0.9532600494990617,0.046739950500938335
1,EU27,Construction,32098.70579021436,13830.5,0.6988735214980201,0.30112647850198004
2,EU27,Operating,570238.5626692597,281485.81,0.6695106785334343,0.3304893214665657
0,G7,Announced,176425.95336673644,95000.6,0.6499951872002718,0.3500048127997281
3,G7,Pre-construction,397735.3151151823,195807.798,0.6701034959831101,0.32989650401688975
1,G7,Construction,72765.78591555935,37618.3,0.6592054036776921,0.3407945963223079
2,G7,Operating,1039216.5994662303,1098442.71,0.48614697153295244,0.5138530284670475
0,G20,Announced,1612422.001057449,451038.6,0.7814164226014982,0.21858357739850182
3,G20,Pre-construction,2380899.0382485576,526736.198,0.818843783624112,0.18115621637588802
1,G20,Construction,979554.448918799,359064.4,0.7317650201250222,0.2682349798749778
2,G20,Operating,3628722.102436021,3630575.03,0.4998723755530202,0.5001276244469799
0,OECD,Announced,619680.3020446233,132584.7,0.8237526674248562,0.17624733257514388
3,OECD,Pre-construction,1153071.1929625631,220958.098,0.8391896741551922,0.1608103258448078
1,OECD,Construction,127778.89728061097,62067.4,0.6730649957936317,0.32693500420636834
2,OECD,Operating,1617070.9927812377,1517910.61,0.5158151458836737,0.48418485411632617
0,African Union,Announced,203507.23488796473,33403.0,0.8590056693169194,0.14099433068308062
3,African Union,Pre-construction,225071.45919789362,26944.0,0.8930859238327821,0.10691407616721793
1,African Union,Construction,60789.393919177804,16371.7,0.7878244181303534,0.2121755818696466
2,African Union,Operating,72624.37292478816,188267.3,0.27836983875573856,0.7216301612442615
0,Afghanistan,Announced,564.0,320.0,0.6380090497737556,0.36199095022624433
3,Afghanistan,Pre-construction,0.0,3800.0,0.0,1.0
1,Afghanistan,Construction,120.84403866809882,50.0,0.7073354131065953,0.2926645868934047
2,Afghanistan,Operating,392.31211170784104,266.6,0.5953936871656574,0.40460631283434256
0,Albania,Announced,2911.8192430278887,110.2,0.9635343155890742,0.03646568441092585
3,Albania,Pre-construction,568.2625135820355,520.0,0.5221741137729621,0.477825886227038
1,Albania,Construction,237.0,0.0,1.0,0.0
2,Albania,Operating,2056.433175660992,0.0,1.0,0.0
0,Algeria,Announced,45.53125,0.0,1.0,0.0
3,Algeria,Pre-construction,1684.87125,0.0,1.0,0.0
1,Algeria,Construction,2255.315,4385.0,0.3396397610655518,0.6603602389344481
2,Algeria,Operating,602.00125,27580.6,0.021360741141664488,0.9786392588583355
0,Andorra,Announced,0.0,0.0,0.0,0.0
3,Andorra,Pre-construction,0.0,0.0,0.0,0.0
1,Andorra,Construction,0.0,0.0,0.0,0.0
2,Andorra,Operating,66.3,0.0,1.0,0.0
0,Angola,Announced,1177.3166666666666,0.0,1.0,0.0
3,Angola,Pre-construction,348.3,1800.0,0.1621281943862589,0.837871805613741
1,Angola,Construction,2193.75,0.0,1.0,0.0
2,Angola,Operating,4218.873066666667,929.0,0.8195371198999779,0.18046288010002215
0,Anguilla,Announced,0.0,0.0,0.0,0.0
3,Anguilla,Pre-construction,0.0,0.0,0.0,0.0
1,Anguilla,Construction,0.0,0.0,0.0,0.0
2,Anguilla,Operating,1.2,0.0,1.0,0.0
0,Antigua and Barbuda,Announced,0.0,0.0,0.0,0.0
3,Antigua and Barbuda,Pre-construction,0.0,0.0,0.0,0.0
1,Antigua and Barbuda,Construction,0.0,46.0,0.0,1.0
2,Antigua and Barbuda,Operating,10.299999999999999,0.0,1.0,0.0
0,Argentina,Announced,16516.633260869567,0.0,1.0,0.0
3,Argentina,Pre-construction,4194.110826086957,0.0,1.0,0.0
1,Argentina,Construction,2488.564130434783,260.0,0.9054051542327041,0.09459484576729588
2,Argentina,Operating,21886.885717391306,23555.2,0.48164351111672005,0.5183564888832799
0,Armenia,Announced,1400.0,0.0,1.0,0.0
3,Armenia,Pre-construction,176.0,126.0,0.5827814569536424,0.41721854304635764
1,Armenia,Construction,230.85935714285714,50.0,0.8219749539105873,0.17802504608941286
2,Armenia,Operating,1593.0995714285714,1127.0,0.5856769318896257,0.41432306811037434
0,Australia,Announced,220095.94235714286,4583.0,0.9796020047454425,0.02039799525455751
3,Australia,Pre-construction,155833.12735714286,2101.4,0.9866944864105109,0.013305513589489086
1,Australia,Construction,7283.166964285714,1120.0,0.8667169169956862,0.13328308300431374
2,Australia,Operating,35749.96932142857,42566.3,0.4564820264190854,0.5435179735809145
0,Austria,Announced,222.0,0.0,1.0,0.0
3,Austria,Pre-construction,2547.0,0.0,1.0,0.0
1,Austria,Construction,1054.76,0.0,1.0,0.0
2,Austria,Operating,15772.784,4826.0,0.7657143256611653,0.23428567433883477
0,Azerbaijan,Announced,3058.1642857142856,0.0,1.0,0.0
3,Azerbaijan,Pre-construction,1102.0035714285714,500.0,0.6878908331308339,0.31210916686916607
1,Azerbaijan,Construction,409.08214285714286,0.0,1.0,0.0
2,Azerbaijan,Operating,1574.5,7140.9,0.18065722743649174,0.8193427725635083
0,Bahrain,Announced,2216.9285714285716,0.0,1.0,0.0
3,Bahrain,Pre-construction,222.92842857142858,1200.0,0.156668757258045,0.8433312427419549
1,Bahrain,Construction,87.33214285714286,1800.0,0.04627280004087402,0.953727199959126
2,Bahrain,Operating,11.6,9281.9,0.0012481842147737665,0.9987518157852262
0,Bangladesh,Announced,2150.0023630504834,18050.0,0.10643574809591275,0.8935642519040873
3,Bangladesh,Pre-construction,1469.794522019334,1600.0,0.4787924766549169,0.521207523345083
1,Bangladesh,Construction,2448.3,4030.0,0.3779232205979964,0.6220767794020036
2,Bangladesh,Operating,1439.414865735768,27884.2,0.04908722448874146,0.9509127755112585
0,Barbados,Announced,9.59074074074074,0.0,1.0,0.0
3,Barbados,Pre-construction,109.74444444444444,0.0,1.0,0.0
1,Barbados,Construction,50.0,0.0,1.0,0.0
2,Barbados,Operating,25.19074074074074,183.0,0.1209983722192078,0.8790016277807922
0,Belarus,Announced,0.0,0.0,0.0,0.0
3,Belarus,Pre-construction,0.0,0.0,0.0,0.0
1,Belarus,Construction,0.0,0.0,0.0,0.0
2,Belarus,Operating,2646.670858369099,9230.2,0.22284243804032844,0.7771575619596715
0,Belgium,Announced,393.3578260869565,0.0,1.0,0.0
3,Belgium,Pre-construction,3921.547,900.0,0.8133379183071324,0.18666208169286744
1,Belgium,Construction,96.08277749360613,870.0,0.09945605048760124,0.9005439495123987
2,Belgium,Operating,10512.56735549872,6069.0,0.6339911740618766,0.36600882593812334
0,Belize,Announced,57.544444444444444,0.0,1.0,0.0
3,Belize,Pre-construction,0.0,0.0,0.0,0.0
1,Belize,Construction,0.0,0.0,0.0,0.0
2,Belize,Operating,31.7,0.0,1.0,0.0
0,Benin,Announced,27.0,140.0,0.16167664670658682,0.8383233532934131
3,Benin,Pre-construction,45.133419689119165,0.0,1.0,0.0
1,Benin,Construction,43.5,0.0,1.0,0.0
2,Benin,Operating,24.65,127.4,0.16211772443275235,0.8378822755672476
0,Bermuda,Announced,69.77729083665338,0.0,1.0,0.0
3,Bermuda,Pre-construction,60.0,0.0,1.0,0.0
1,Bermuda,Construction,0.0,0.0,0.0,0.0
2,Bermuda,Operating,6.0,114.0,0.05,0.95
0,Bhutan,Announced,1813.0504833512352,0.0,1.0,0.0
3,Bhutan,Pre-construction,5000.846562835661,0.0,1.0,0.0
1,Bhutan,Construction,2451.5321160042963,0.0,1.0,0.0
2,Bhutan,Operating,2341.138,0.0,1.0,0.0
0,Bolivia,Announced,2177.3444444444444,140.0,0.9395860203969103,0.060413979603089744
3,Bolivia,Pre-construction,1517.4518518518519,0.0,1.0,0.0
1,Bolivia,Construction,721.0225925925926,0.0,1.0,0.0
2,Bolivia,Operating,998.0930555555556,2431.7000000000003,0.2910067865286657,0.7089932134713344
0,Bosnia and Herzegovina,Announced,869.9444404201377,237.5,0.7855422887762222,0.21445771122377774
3,Bosnia and Herzegovina,Pre-construction,4122.872216588193,1050.0,0.7970179899992705,0.20298201000072943
1,Bosnia and Herzegovina,Construction,483.75,0.0,1.0,0.0
2,Bosnia and Herzegovina,Operating,2821.028877218399,1990.0,0.5863670639302914,0.4136329360697086
0,Botswana,Announced,562.6670984455959,615.0,0.47778111419454683,0.5222188858054532
3,Botswana,Pre-construction,3154.6900259067356,600.0,0.8401998578151325,0.15980014218486746
1,Botswana,Construction,0.0,0.0,0.0,0.0
2,Botswana,Operating,118.80000000000001,802.0,0.12901824500434406,0.870981754995656
0,Brazil,Announced,279408.9185185185,31041.9,0.9000102491333958,0.09998975086660414
3,Brazil,Pre-construction,136923.4436851852,10482.7,0.928885596367083,0.07111440363291686
1,Brazil,Construction,7898.436777777778,3312.9,0.7045044613621305,0.2954955386378694
2,Brazil,Operating,187260.56387037036,28251.2,0.8689111002915227,0.1310888997084772
0,Brunei,Announced,0.0,500.0,0.0,1.0
3,Brunei,Pre-construction,0.0,0.0,0.0,0.0
1,Brunei,Construction,30.0,0.0,1.0,0.0
