,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
0,World,Announced,2431903.269,572779.34,0.8093711002006203,0.19062889979937978
3,World,Pre-construction,2816360.8355,722679.098,0.7957979814923158,0.20420201850768405
1,World,Construction,1176822.7825,464049.85,0.71719325387676,0.28280674612324
2,World,Operating,4148541.591,4435474.47,0.48328679274590186,0.5167132072540981
0,BRICS,Announced,1238850.6815,322009.9,0.7936972053643986,0.2063027946356015
3,BRICS,Pre-construction,1115503.5945000001,315726.7,0.7794018885616875,0.22059811143831262
1,BRICS,Construction,954493.2075,290593.2,0.7666080054769211,0.23339199452307893
2,BRICS,Operating,2135479.728,2191672.42,0.49350696600465366,0.5064930339953463
0,EU27,Announced,178438.6795,14016.0,0.9271724645178088,0.07282753548219127
3,EU27,Pre-construction,548700.03,26752.7,0.9535101692887964,0.04648983071120368
1,EU27,Construction,32425.859,13830.5,0.7010032717879936,0.2989967282120065
2,EU27,Operating,580442.103,281485.81,0.6734230255749938,0.3265769744250063
0,G7,Announced,168803.809,95000.6,0.63988244032722,0.3601175596727802
3,G7,Pre-construction,402409.93200000003,195807.798,0.6726813864243042,0.32731861357569597
1,G7,Construction,71627.662,37618.3,0.6556550071846133,0.34434499281538666
2,G7,Operating,1051354.0105,1098442.71,0.48904810416469335,0.5109518958353068
0,G20,Announced,1774261.899,451038.6,0.7973133964591809,0.20268660354081913
3,G20,Pre-construction,2174959.8225,526736.198,0.8050349876510099,0.19496501234899016
1,G20,Construction,1050447.8075,359064.4,0.7452562680270366,0.2547437319729634
2,G20,Operating,3680498.031,3630575.03,0.5034142047674444,0.49658579523255564
0,OECD,Announced,614537.734,132584.7,0.8225395277047723,0.17746047229522757
3,OECD,Pre-construction,1164820.766,220958.098,0.8405531331584806,0.15944686684151937
1,OECD,Construction,127315.35800000001,62067.4,0.6722647792466937,0.3277352207533064
2,OECD,Operating,1640466.6325,1517910.61,0.5194017391036847,0.48059826089631535
0,African Union,Announced,205384.4675,33403.0,0.8601140991622602,0.13988590083773975
3,African Union,Pre-construction,234339.64250000002,26944.0,0.8968783512729849,0.10312164872701512
