,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
0,World,Announced,2040893.1613331018,468180.6,0.8134050073716247,0.18659499262837528
3,World,Pre-construction,2916331.5861491426,643049.864,0.8193366254765824,0.18066337452341763
1,World,Construction,952858.5081465833,489769.5,0.6605018776605956,0.33949812233940435
2,World,Operating,3679374.584840485,4326021.87,0.4596117888222439,0.5403882111777562
0,BRICS,Announced,769145.185230973,231716.0,0.7684833786949926,0.23151662130500736
3,BRICS,Pre-construction,1317813.2316917954,315545.55,0.8068118569312951,0.19318814306870483
1,BRICS,Construction,742613.4930869262,334875.6,0.6892074340719252,0.31079256592807475
2,BRICS,Operating,1839787.3035168578,2103204.04,0.46659684063011486,0.5334031593698851
0,EU27,Announced,275484.57695257536,10378.0,0.9636958425596166,0.036304157440383365
3,EU27,Pre-construction,484683.95577038254,29974.1,0.9417591939659192,0.05824080603408082
1,EU27,Construction,28335.501800991125,13587.0,0.67590197587686,0.3240980241231399
2,EU27,Operating,523107.3418141569,284408.21,0.6477984735265455,0.3522015264734545
0,G7,Announced,193479.55511307495,72576.8,0.7272126803016805,0.27278731969831954
3,G7,Pre-construction,368713.9046861835,133571.214,0.7340729218707905,0.26592707812920957
1,G7,Construction,72480.24315566682,21848.9,0.7683759306077462,0.23162406939225366
2,G7,Operating,984632.5061996577,1099558.61,0.4724290870191645,0.5275709129808355
0,G20,Announced,1401324.998606719,343519.6,0.8031230974527446,0.19687690254725537
3,G20,Pre-construction,2329904.8900317503,467568.964,0.8328602916784603,0.1671397083215396
1,G20,Construction,853677.281517965,382095.4,0.690804461277901,0.30919553872209893
2,G20,Operating,3252043.94696874,3545632.35,0.47840523803978585,0.5215947619602143
0,OECD,Announced,673753.1231520277,112127.9,0.8573220415091903,0.1426779584908096
3,OECD,Pre-construction,1122981.8551581313,155718.014,0.878221607934846,0.12177839206515396
1,OECD,Construction,130163.89034969943,44902.4,0.7435120153039954,0.2564879846960046
2,OECD,Operating,1506733.2055808455,1513749.01,0.498838628417846,0.5011613715821541
0,African Union,Announced,278586.4717621798,34164.0,0.8907627547050391,0.10923724529496097
3,African Union,Pre-construction,150217.9062513497,26991.0,0.8476882422505532,0.15231175774944677
1,African Union,Construction,30535.74029315238,20269.7,0.6010328838202791,0.3989671161797209
2,African Union,Operating,68105.63795580735,178769.4,0.2758708961413864,0.7241291038586136
0,Afghanistan,Announced,628.5821556485356,0.0,1.0,0.0
3,Afghanistan,Pre-construction,0.0,100.0,0.0,1.0
1,Afghanistan,Construction,0.0,50.0,0.0,1.0
2,Afghanistan,Operating,370.34585774058576,200.0,0.6493355789550288,0.3506644210449712
0,Albania,Announced,1787.9553599698454,0.0,1.0,0.0
3,Albania,Pre-construction,725.6694496796081,520.0,0.5825537825193141,0.4174462174806859
1,Albania,Construction,358.8811911044101,0.0,1.0,0.0
2,Albania,Operating,1962.42,0.0,1.0,0.0
0,Algeria,Announced,784.3133333333334,0.0,1.0,0.0
3,Algeria,Pre-construction,2621.0066666666667,0.0,1.0,0.0
1,Algeria,Construction,92.97611111111111,4645.0,0.01962359221125476,0.9803764077887452
2,Algeria,Operating,618.8055555555555,24178.6,0.024954447519487367,0.9750455524805126
0,Andorra,Announced,0.0,0.0,0.0,0.0
3,Andorra,Pre-construction,0.0,0.0,0.0,0.0
1,Andorra,Construction,0.0,0.0,0.0,0.0
2,Andorra,Operating,64.4,0.0,1.0,0.0
0,Angola,Announced,1044.9267741935485,0.0,1.0,0.0
3,Angola,Pre-construction,579.35,1425.0,0.28904632424476767,0.7109536757552324
1,Angola,Construction,2239.86,375.0,0.8565888804754366,0.14341111952456345
2,Angola,Operating,4150.955,929.0,0.8171243642906285,0.18287563570937143
0,Antigua and Barbuda,Announced,0.0,0.0,0.0,0.0
3,Antigua and Barbuda,Pre-construction,0.0,0.0,0.0,0.0
1,Antigua and Barbuda,Construction,0.0,0.0,0.0,0.0
2,Antigua and Barbuda,Operating,7.5,0.0,1.0,0.0
0,Argentina,Announced,7094.963,3205.7,0.688787022738245,0.31121297726175484
3,Argentina,Pre-construction,2475.204,0.0,1.0,0.0
1,Argentina,Construction,2387.066,260.0,0.9017780440684139,0.09822195593158616
2,Argentina,Operating,20505.4565,23387.2,0.46717282878515226,0.5328271712148478
0,Armenia,Announced,1200.0,0.0,1.0,0.0
3,Armenia,Pre-construction,376.0,126.0,0.749003984063745,0.250996015936255
