,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
0,World,Announced,1737069.34,376490.1,0.8218691687232605,0.17813083127673948
3,World,Pre-construction,2744488.7,540673.0,0.8354196689922447,0.16458033100775527
1,World,Construction,860777.85,437723.3,0.6629011071726814,0.33709889282731864
2,World,Operating,3300307.5,4233532.1,0.4380644764457157,0.5619355235542843
0,BRICS,Announced,646182.94,164220.8,0.7973592767476615,0.2026407232523384
3,BRICS,Pre-construction,1184284.1,326941.8,0.7836578899289642,0.21634211007103568
1,BRICS,Construction,628077.35,287211.2,0.6862069344142893,0.31379306558571063
2,BRICS,Operating,1620383.7,1945690.9,0.45438861542604864,0.5456113845739514
0,EU27,Announced,282806.2,12435.0,0.957881894532335,0.04211810546766508
3,EU27,Pre-construction,498270.8,30490.6,0.9423358059041375,0.057664194095862514
1,EU27,Construction,37425.8,10851.2,0.775230440996748,0.22476955900325207
2,EU27,Operating,496433.77,293760.5,0.6282426851817086,0.37175731481829144
0,G7,Announced,213479.9,21939.5,0.9068067457482264,0.09319325425177365
3,G7,Pre-construction,369254.0,48598.8,0.8836939706997297,0.11630602930027034
1,G7,Construction,72716.0,20423.5,0.780721391031732,0.21927860896826804
2,G7,Operating,886495.33,1107562.6,0.4445684935542469,0.555431506445753
0,G20,Announced,1337280.34,230748.4,0.8528417278882274,0.14715827211177265
3,G20,Pre-construction,2159557.0,398619.6,0.8441782322612129,0.15582176773878706
1,G20,Construction,741097.05,329505.0,0.6922245758823271,0.30777542411767284
2,G20,Operating,2911078.7,3467736.4,0.4563666847781809,0.5436333152218192
0,OECD,Announced,703017.3,52283.9,0.9307774170092673,0.0692225829907327
3,OECD,Pre-construction,1058081.5,70861.2,0.9372322439393957,0.06276775606060432
1,OECD,Construction,144030.6,45206.7,0.7611110494601223,0.23888895053987771
2,OECD,Operating,1372043.6,1518121.6,0.4747284342085359,0.5252715657914641
0,African Union,Announced,160555.8,38107.0,0.8081825082501606,0.19181749174983945
3,African Union,Pre-construction,132042.1,25372.0,0.8388200294636885,0.16117997053631156
1,African Union,Construction,33775.2,20833.2,0.6184982530160196,0.38150174698398054
2,African Union,Operating,59972.1,177286.4,0.2527711335947922,0.7472288664052078
0,Afghanistan,Announced,3407.0,0.0,1.0,0.0
3,Afghanistan,Pre-construction,20.0,0.0,1.0,0.0
1,Afghanistan,Construction,0.0,0.0,0.0,0.0
2,Afghanistan,Operating,228.0,105.0,0.6846846846846847,0.3153153153153153
0,Albania,Announced,417.0,0.0,1.0,0.0
3,Albania,Pre-construction,1264.0,520.0,0.7085201793721974,0.2914798206278027
1,Albania,Construction,274.0,0.0,1.0,0.0
2,Albania,Operating,1801.5,0.0,1.0,0.0
0,Algeria,Announced,5981.0,0.0,1.0,0.0
3,Algeria,Pre-construction,1000.0,0.0,1.0,0.0
1,Algeria,Construction,21.0,5357.0,0.003904797322424693,0.9960952026775753
2,Algeria,Operating,573.0,23414.6,0.023887341793259853,0.9761126582067402
0,Andorra,Announced,0.0,0.0,0.0,0.0
3,Andorra,Pre-construction,0.0,0.0,0.0,0.0
1,Andorra,Construction,0.0,0.0,0.0,0.0
2,Andorra,Operating,1.4,0.0,1.0,0.0
0,Angola,Announced,912.0,0.0,1.0,0.0
3,Angola,Pre-construction,807.0,1770.0,0.3131548311990687,0.6868451688009313
1,Angola,Construction,2218.9,0.0,1.0,0.0
2,Angola,Operating,3952.0,929.0,0.8096701495595164,0.1903298504404835
0,Argentina,Announced,5253.0,4015.7,0.5667461456299157,0.43325385437008423
3,Argentina,Pre-construction,4947.1,0.0,1.0,0.0
1,Argentina,Construction,2990.0,483.0,0.8609271523178808,0.1390728476821192
2,Argentina,Operating,18863.3,23147.2,0.4490139369919425,0.5509860630080575
0,Armenia,Announced,1200.0,0.0,1.0,0.0
3,Armenia,Pre-construction,431.0,176.0,0.7100494233937397,0.2899505766062603
1,Armenia,Construction,0.0,0.0,0.0,0.0
2,Armenia,Operating,1259.0,1346.0,0.4833013435700576,0.5166986564299424
0,Australia,Announced,181209.4,3236.4,0.9824533819691205,0.017546618030879535
3,Australia,Pre-construction,132908.2,1145.0,0.99145861493795,0.008541385062049992
1,Australia,Construction,8169.8,660.0,0.925253120115971,0.07474687988402909
2,Australia,Operating,28667.0,38680.9,0.42565543988750953,0.5743445601124906
0,Austria,Announced,0.0,0.0,0.0,0.0
3,Austria,Pre-construction,2535.0,0.0,1.0,0.0
1,Austria,Construction,1072.0,0.0,1.0,0.0
2,Austria,Operating,14123.3,5191.0,0.7312354058909719,0.26876459410902803
0,Azerbaijan,Announced,240.0,0.0,1.0,0.0
3,Azerbaijan,Pre-construction,240.5,500.0,0.32478055367994596,0.675219446320054
1,Azerbaijan,Construction,412.0,1280.0,0.24349881796690306,0.7565011820330969
2,Azerbaijan,Operating,1061.0,5860.9,0.15328161342983865,0.8467183865701614
0,Bahrain,Announced,0.0,0.0,0.0,0.0
3,Bahrain,Pre-construction,72.0,1800.0,0.038461538461538464,0.9615384615384616
1,Bahrain,Construction,118.5,681.0,0.14821763602251406,0.851782363977486
2,Bahrain,Operating,4.1,8600.9,0.0004764671702498547,0.9995235328297501
0,Bangladesh,Announced,1853.0,26205.0,0.06604177061800556,0.9339582293819945
3,Bangladesh,Pre-construction,1042.0,4310.0,0.19469357249626307,0.8053064275037369
1,Bangladesh,Construction,2635.0,6283.0,0.2954698362861628,0.7045301637138371
2,Bangladesh,Operating,1183.6,24846.9,0.04546973742340715,0.9545302625765929
0,Barbados,Announced,0.0,0.0,0.0,0.0
3,Barbados,Pre-construction,70.0,0.0,1.0,0.0
1,Barbados,Construction,30.0,0.0,1.0,0.0
2,Barbados,Operating,10.0,60.0,0.14285714285714285,0.8571428571428571
0,Belarus,Announced,0.0,50.0,0.0,1.0
3,Belarus,Pre-construction,6.6,0.0,1.0,0.0
1,Belarus,Construction,0.0,765.0,0.0,1.0
2,Belarus,Operating,2664.8,8452.0,0.2397092688543466,0.7602907311456535
0,Belgium,Announced,484.0,0.0,1.0,0.0
3,Belgium,Pre-construction,4564.0,1745.0,0.7234110001585037,0.27658899984149626
1,Belgium,Construction,24.0,0.0,1.0,0.0
2,Belgium,Operating,9841.1,5702.0,0.6331491143980287,0.36685088560197127
0,Benin,Announced,0.0,0.0,0.0,0.0
3,Benin,Pre-construction,128.0,144.0,0.47058823529411764,0.5294117647058824
1,Benin,Construction,25.0,0.0,1.0,0.0
2,Benin,Operating,25.0,127.4,0.16404199475065617,0.8359580052493438
0,Bermuda,Announced,0.0,0.0,0.0,0.0
3,Bermuda,Pre-construction,60.0,0.0,1.0,0.0
1,Bermuda,Construction,0.0,0.0,0.0,0.0
2,Bermuda,Operating,0.0,114.0,0.0,1.0
0,Bhutan,Announced,860.0,0.0,1.0,0.0
3,Bhutan,Pre-construction,4935.0,0.0,1.0,0.0
1,Bhutan,Construction,2355.0,0.0,1.0,0.0
2,Bhutan,Operating,2202.0,0.0,1.0,0.0
0,Bolivia,Announced,439.0,0.0,1.0,0.0
3,Bolivia,Pre-construction,915.0,0.0,1.0,0.0
1,Bolivia,Construction,513.0,0.0,1.0,0.0
2,Bolivia,Operating,727.1,1945.1,0.2720978968640072,0.7279021031359928
0,Bosnia and Herzegovina,Announced,1996.0,100.0,0.9522900763358778,0.04770992366412214
3,Bosnia and Herzegovina,Pre-construction,2815.0,1050.0,0.7283311772315654,0.2716688227684347
1,Bosnia and Herzegovina,Construction,569.0,0.0,1.0,0.0
2,Bosnia and Herzegovina,Operating,2173.1,2090.0,0.5097464286552039,0.490253571344796
0,Botswana,Announced,200.0,0.0,1.0,0.0
3,Botswana,Pre-construction,2720.0,600.0,0.8192771084337349,0.18072289156626506
1,Botswana,Construction,0.0,0.0,0.0,0.0
2,Botswana,Operating,0.0,802.0,0.0,1.0
0,Brazil,Announced,123279.5,17152.8,0.8778571596420482,0.12214284035795184
3,Brazil,Pre-construction,204431.2,17562.0,0.9208894686864283,0.07911053131357176
1,Brazil,Construction,15182.3,5381.4,0.7383058496282284,0.2616941503717716
2,Brazil,Operating,160618.2,24266.0,0.8687502772005395,0.1312497227994604
0,Brunei,Announced,30.0,0.0,1.0,0.0
3,Brunei,Pre-construction,0.0,0.0,0.0,0.0
1,Brunei,Construction,0.0,0.0,0.0,0.0
2,Brunei,Operating,0.0,432.0,0.0,1.0
0,Bulgaria,Announced,4278.5,0.0,1.0,0.0
3,Bulgaria,Pre-construction,2000.0,280.0,0.8771929824561403,0.12280701754385964
1,Bulgaria,Construction,371.0,0.0,1.0,0.0
2,Bulgaria,Operating,7174.1,5330.0,0.573739813341224,0.4262601866587759
0,Burkina Faso,Announced,150.0,0.0,1.0,0.0
3,Burkina Faso,Pre-construction,192.0,0.0,1.0,0.0
1,Burkina Faso,Construction,76.6,0.0,1.0,0.0
2,Burkina Faso,Operating,132.9,165.9,0.44477911646586343,0.5552208835341366
0,Burundi,Announced,0.0,0.0,0.0,0.0
3,Burundi,Pre-construction,0.0,0.0,0.0,0.0
1,Burundi,Construction,0.0,0.0,0.0,0.0
2,Burundi,Operating,14.0,0.0,1.0,0.0
0,Cabo Verde,Announced,13.0,0.0,1.0,0.0
3,Cabo Verde,Pre-construction,0.0,0.0,0.0,0.0
1,Cabo Verde,Construction,0.0,0.0,0.0,0.0
2,Cabo Verde,Operating,25.7,0.0,1.0,0.0
0,Cambodia,Announced,6000.0,800.0,0.8823529411764706,0.11764705882352941
3,Cambodia,Pre-construction,570.0,0.0,1.0,0.0
1,Cambodia,Construction,230.0,265.0,0.46464646464646464,0.5353535353535354
2,Cambodia,Operating,1751.8,2255.5,0.4371521972400369,0.562847802759963
0,Cameroon,Announced,135.0,85.0,0.6136363636363636,0.38636363636363635
3,Cameroon,Pre-construction,2113.0,265.0,0.8885618166526493,0.11143818334735071
1,Cameroon,Construction,450.0,0.0,1.0,0.0
2,Cameroon,Operating,983.0,364.0,0.7297698589458055,0.2702301410541945
0,Canada,Announced,7232.0,1475.0,0.8305960721258757,0.16940392787412425
3,Canada,Pre-construction,14733.9,3501.0,0.8080055278614086,0.19199447213859136
1,Canada,Construction,3676.0,2066.0,0.6401950539881575,0.35980494601184254
2,Canada,Operating,110623.5,30061.3,0.7863216210990811,0.21367837890091895
0,Cayman Islands,Announced,0.0,0.0,0.0,0.0
3,Cayman Islands,Pre-construction,0.0,0.0,0.0,0.0
1,Cayman Islands,Construction,0.0,0.0,0.0,0.0
2,Cayman Islands,Operating,4.0,114.2,0.0338409475465313,0.9661590524534687
0,Central African Republic,Announced,15.0,0.0,1.0,0.0
3,Central African Republic,Pre-construction,180.0,0.0,1.0,0.0
1,Central African Republic,Construction,25.0,0.0,1.0,0.0
2,Central African Republic,Operating,15.0,50.0,0.23076923076923078,0.7692307692307693
0,Chad,Announced,530.0,90.0,0.8548387096774194,0.14516129032258066
3,Chad,Pre-construction,60.0,0.0,1.0,0.0
1,Chad,Construction,130.0,0.0,1.0,0.0
2,Chad,Operating,0.0,60.0,0.0,1.0
0,Chile,Announced,12494.2,375.0,0.9708606595592577,0.029139340440742234
3,Chile,Pre-construction,29582.5,326.4,0.9890868604328477,0.010913139567152251
1,Chile,Construction,9394.5,68.4,0.9927717718669753,0.007228228133024761
2,Chile,Operating,19199.2,10797.4,0.6400458718654781,0.35995412813452193
0,China,Announced,411128.44,113782.0,0.7832354029765536,0.21676459702344653
3,China,Pre-construction,788729.0,243859.8,0.7638364855400329,0.236163514459967
1,China,Construction,547564.05,221110.4,0.7123484460814328,0.28765155391856717
2,China,Operating,1185517.4,1286613.0,0.4795529394404114,0.5204470605595887
0,Colombia,Announced,7529.8,4016.0,0.6521678878899687,0.3478321121100314
3,Colombia,Pre-construction,27222.0,0.0,1.0,0.0
1,Colombia,Construction,6788.0,0.0,1.0,0.0
2,Colombia,Operating,21523.4,5953.0,0.7833413402046847,0.21665865979531523
0,Costa Rica,Announced,93.0,0.0,1.0,0.0
3,Costa Rica,Pre-construction,55.0,0.0,1.0,0.0
1,Costa Rica,Construction,55.0,0.0,1.0,0.0
2,Costa Rica,Operating,2033.8,202.7,0.9093673150011178,0.09063268499888218
0,Croatia,Announced,1461.0,483.0,0.7515432098765432,0.24845679012345678
3,Croatia,Pre-construction,1570.0,0.0,1.0,0.0
1,Croatia,Construction,186.0,500.0,0.27113702623906705,0.7288629737609329
2,Croatia,Operating,2612.3,1157.8,0.692899392589056,0.30710060741094397
0,Cuba,Announced,1291.0,0.0,1.0,0.0
3,Cuba,Pre-construction,424.0,0.0,1.0,0.0
1,Cuba,Construction,153.2,0.0,1.0,0.0
2,Cuba,Operating,192.2,3708.0,0.049279524126967844,0.9507204758730322
0,Curaçao,Announced,0.0,0.0,0.0,0.0
3,Curaçao,Pre-construction,0.0,0.0,0.0,0.0
1,Curaçao,Construction,0.0,0.0,0.0,0.0
2,Curaçao,Operating,47.0,0.0,1.0,0.0
0,Cyprus,Announced,72.0,0.0,1.0,0.0
3,Cyprus,Pre-construction,16.0,105.0,0.1322314049586777,0.8677685950413223
1,Cyprus,Construction,0.0,420.0,0.0,1.0
2,Cyprus,Operating,174.0,1853.0,0.08584114454859398,0.9141588554514061
0,Czech Republic,Announced,3637.0,1093.0,0.7689217758985201,0.2310782241014799
3,Czech Republic,Pre-construction,1200.0,892.0,0.5736137667304015,0.42638623326959846
1,Czech Republic,Construction,0.0,50.0,0.0,1.0
2,Czech Republic,Operating,7349.6,9062.6,0.4478132121226892,0.5521867878773108
0,Côte d'Ivoire,Announced,383.2,0.0,1.0,0.0
3,Côte d'Ivoire,Pre-construction,261.0,0.0,1.0,0.0
1,Côte d'Ivoire,Construction,132.0,762.0,0.1476510067114094,0.8523489932885906
2,Côte d'Ivoire,Operating,862.0,1279.0,0.40261560018682857,0.5973843998131714
0,DR Congo,Announced,5491.0,200.0,0.9648567914250571,0.035143208574942894
3,DR Congo,Pre-construction,1127.0,0.0,1.0,0.0
1,DR Congo,Construction,750.0,0.0,1.0,0.0
2,DR Congo,Operating,2686.0,0.0,1.0,0.0
0,Denmark,Announced,15972.0,0.0,1.0,0.0
3,Denmark,Pre-construction,15739.9,0.0,1.0,0.0
1,Denmark,Construction,77.0,0.0,1.0,0.0
2,Denmark,Operating,9532.0,2782.2,0.7740657127543811,0.22593428724561884
0,Djibouti,Announced,5000.0,50.0,0.9900990099009901,0.009900990099009901
3,Djibouti,Pre-construction,5070.0,0.0,1.0,0.0
1,Djibouti,Construction,59.0,0.0,1.0,0.0
2,Djibouti,Operating,0.0,108.0,0.0,1.0
0,Dominican Republic,Announced,1243.3,0.0,1.0,0.0
3,Dominican Republic,Pre-construction,2056.7,0.0,1.0,0.0
1,Dominican Republic,Construction,1005.4,1342.0,0.4283036551077788,0.5716963448922212
2,Dominican Republic,Operating,1362.1,4057.1,0.251347062297018,0.748652937702982
0,Ecuador,Announced,8161.4,187.0,0.9776004982990752,0.02239950170092473
3,Ecuador,Pre-construction,2100.8,0.0,1.0,0.0
1,Ecuador,Construction,368.0,0.0,1.0,0.0
2,Ecuador,Operating,4634.0,1230.9,0.7901242987945234,0.2098757012054767
0,Egypt,Announced,15200.0,125.0,0.9918433931484503,0.008156606851549755
3,Egypt,Pre-construction,49683.0,0.0,1.0,0.0
1,Egypt,Construction,11142.0,2550.0,0.8137598597721297,0.18624014022787028
2,Egypt,Operating,6524.0,52107.5,0.11127124497923471,0.8887287550207653
0,El Salvador,Announced,39.6,0.0,1.0,0.0
3,El Salvador,Pre-construction,0.0,0.0,0.0,0.0
1,El Salvador,Construction,108.4,0.0,1.0,0.0
2,El Salvador,Operating,1479.4,929.1999999999999,0.6142157269783277,0.38578427302167234
0,Equatorial Guinea,Announced,0.0,0.0,0.0,0.0
3,Equatorial Guinea,Pre-construction,0.0,0.0,0.0,0.0
1,Equatorial Guinea,Construction,200.0,0.0,1.0,0.0
2,Equatorial Guinea,Operating,120.0,154.0,0.43795620437956206,0.5620437956204379
0,Eritrea,Announced,0.0,0.0,0.0,0.0
3,Eritrea,Pre-construction,30.0,0.0,1.0,0.0
1,Eritrea,Construction,0.0,0.0,0.0,0.0
2,Eritrea,Operating,6.0,88.0,0.06382978723404255,0.9361702127659575
0,Estonia,Announced,7279.0,0.0,1.0,0.0
3,Estonia,Pre-construction,6399.0,0.0,1.0,0.0
1,Estonia,Construction,357.0,0.0,1.0,0.0
2,Estonia,Operating,777.2,423.0,0.6475587402099651,0.352441259790035
0,Eswatini,Announced,120.0,250.0,0.32432432432432434,0.6756756756756757
3,Eswatini,Pre-construction,100.0,300.0,0.25,0.75
1,Eswatini,Construction,0.0,0.0,0.0,0.0
2,Eswatini,Operating,70.0,0.0,1.0,0.0
0,Ethiopia,Announced,3704.0,0.0,1.0,0.0
3,Ethiopia,Pre-construction,1030.0,0.0,1.0,0.0
1,Ethiopia,Construction,7630.0,0.0,1.0,0.0
2,Ethiopia,Operating,5429.0,0.0,1.0,0.0
0,Faroe Islands,Announced,156.0,0.0,1.0,0.0
3,Faroe Islands,Pre-construction,0.0,0.0,0.0,0.0
1,Faroe Islands,Construction,0.0,0.0,0.0,0.0
2,Faroe Islands,Operating,37.0,0.0,1.0,0.0
0,Fiji,Announced,0.0,0.0,0.0,0.0
3,Fiji,Pre-construction,0.0,0.0,0.0,0.0
1,Fiji,Construction,0.0,0.0,0.0,0.0
2,Fiji,Operating,90.0,0.0,1.0,0.0
0,Finland,Announced,41047.3,0.0,1.0,0.0
3,Finland,Pre-construction,10207.7,0.0,1.0,0.0
1,Finland,Construction,2631.2,0.0,1.0,0.0
2,Finland,Operating,15697.5,4146.2,0.7910571113250049,0.20894288867499508
0,France,Announced,17670.2,0.0,1.0,0.0
3,France,Pre-construction,12906.5,0.0,1.0,0.0
1,France,Construction,3901.3,0.0,1.0,0.0
2,France,Operating,117835.3,14047.1,0.8934876829660364,0.1065123170339636
0,French Guiana,Announced,5.0,0.0,1.0,0.0
3,French Guiana,Pre-construction,0.0,0.0,0.0,0.0
1,French Guiana,Construction,179.2,0.0,1.0,0.0
2,French Guiana,Operating,137.0,0.0,1.0,0.0
0,Gabon,Announced,20.0,120.0,0.14285714285714285,0.8571428571428571
3,Gabon,Pre-construction,953.0,0.0,1.0,0.0
1,Gabon,Construction,60.0,0.0,1.0,0.0
2,Gabon,Operating,160.0,496.0,0.24390243902439024,0.7560975609756098
0,Georgia,Announced,1845.0,0.0,1.0,0.0
3,Georgia,Pre-construction,280.0,650.0,0.3010752688172043,0.6989247311827957
1,Georgia,Construction,0.0,0.0,0.0,0.0
2,Georgia,Operating,2458.7,1167.0,0.678131119507957,0.32186888049204293
0,Germany,Announced,8846.0,7735.0,0.5335022013147579,0.46649779868524216
3,Germany,Pre-construction,14300.8,6137.0,0.699723062169118,0.300276937830882
