Country,Parent,Capacity (GW),Type
World,Drax Power Ltd,2.58,Bioenergy
World,Suzano SA,1.55,Bioenergy
World,Ørsted A/S,1.402,Bioenergy
World,International Paper Co,1.3088,Bioenergy
World,National Bio Energy Group Ltd,1.062,Bioenergy
World,Chongqing Sanfeng Environment Group Corp Ltd,0.9296,Bioenergy
World,Klabin SA,0.785,Bioenergy
World,Metsä Fibre Oy,0.725,Bioenergy
World,Kaidi Ecological and Environmental Technology Co Ltd,0.66,Bioenergy
World,Dynagreen Environmental Protection Group Co Ltd,0.639,Bioenergy
World,Stora Enso Oyj,0.607,Bioenergy
World,RWE AG,0.593,Bioenergy
World,Arauco Bioenergía SA,0.579,Bioenergy
World,Energetický a průmyslový holding AS,0.57,Bioenergy
World,Bracell SP Celulose Ltda,0.569,Bioenergy
World,natural person(s),0.54684,Bioenergy
World,Nine Dragons Global (China) Investment Group Co Ltd,0.54,Bioenergy
World,China National Environmental Protection Group,0.537,Bioenergy
World,PT Riau Prima Energy,0.535,Bioenergy
World,Huaneng Power International Inc,76.78053999999999,Coal
World,NTPC Ltd,62.267199999999995,Coal
World,China Energy Investment Corp,59.86594,Coal
World,China Shenhua Energy Co Ltd,55.01240833333333,Coal
World,Eskom Holdings SOC Ltd,44.531800000000004,Coal
World,China Resources Power Holdings Co Ltd,42.75312,Coal
World,GD POWER Development Co Ltd,41.800995,Coal
World,China Huadian Corp Ltd,40.455059999999996,Coal
World,Datang International Power Generation Co Ltd,38.692260000000005,Coal
World,Huadian Power International Co Ltd,38.033265,Coal
World,China Datang Corp Ltd,37.85448,Coal
World,Korea Electric Power Corp,35.344,Coal
World,State Power Investment Corp Ltd,34.30711,Coal
World,Zhejiang Zheneng Electric Power Co Ltd,32.47026,Coal
World,China Huaneng Group Co Ltd,25.794670000000004,Coal
World,Beijing Jingneng Power Co Ltd,20.80211,Coal
World,PT PLN (Persero),19.34584,Coal
World,Adani Power Ltd,17.298,Coal
World,Guangdong Electric Power Development Co Ltd,16.63405,Coal
World,Energy Development CORP (EDC),1.172,Geothermal
World,TO BE DELETED] Corp,1.163,Geothermal
World,Ormat Technology Inc,0.97466,Geothermal
World,Comision Federal De Electricidad,0.915,Geothermal
World,Contact Energy Ltd,0.7795,Geothermal
World,AboitizPower Corp,0.692,Geothermal
World,Pertamina Geothermal Energy,0.67,Geothermal
World,Kenya Electricity Generating Company PLC,0.6345,Geothermal
World,Star Energy Geothermal,0.5229,Geothermal
World,Orkuveita Reykjavikur,0.423,Geothermal
World,Enel Green Power,0.4,Geothermal
World,CalEnergy Operating Corp,0.381,Geothermal
World,Sarulla Operations Ltd,0.33,Geothermal
World,Zorlu Enerji,0.306,Geothermal
World,Atlantica Sustainable Infrastructure,0.27,Geothermal
World,Mogan Enerji Yatirim Holding,0.258,Geothermal
World,KS Orka Renewables Pte Ltd,0.22640000000000002,Geothermal
World,Tohoku Electric Power Co Inc,0.2041,Geothermal
World,Mighty River Power,0.204,Geothermal
World,China Yangzi River Three Gorges Group Co Ltd,39.444300000000005,Hydropower
World,Hydro Québec,36.791,Hydropower
World,PJSC RusHydro,27.991,Hydropower
World,State Grid Xinyuan Co Ltd,27.407,Hydropower
World,Corporación Eléctrica Nacional SA,16.01,Hydropower
World,EuroSibEnergo JSC,15.002,Hydropower
World,Eletrobras Furnas,14.95548,Hydropower
World,US Bureau of Reclamation,14.738,Hydropower
World,EDF Energy Ltd,14.363,Hydropower
World,Itaipú Binational,14.0,Hydropower
World,Elektrik Üretim AS (EÜAŞ),13.522,Hydropower
World,State Power Investment Group Upper Yellow River Hydropower Development Co Ltd,12.835,Hydropower
World,BC Hydro,12.0,Hydropower
World,Statkraft,11.99867,Hydropower
World,China Huaneng Group Co Ltd,11.952,Hydropower
World,Vietnam Electricity (EVN),11.447,Hydropower
