Country,Type,Age Category,Capacity (GW),Capacity %
World,Coal,0-9 years,597.6256,6.9471901027518825
World,Coal,10-19 years,837.5892,9.736683636731538
World,Coal,20-29 years,322.1688,3.745100442108656
World,Coal,30-39 years,157.8351,1.8347782367202037
World,Coal,40-49 years,177.1165,2.0589178171652183
World,Coal,50+ years,130.12609999999998,1.5126707323610329
World,Oil and gas,0-9 years,547.69594,6.366775140966833
World,Oil and gas,10-19 years,636.45034,7.398514225195625
World,Oil and gas,20-29 years,570.96835,6.637308826972227
World,Oil and gas,30-39 years,174.66379999999998,2.030406031249388
World,Oil and gas,40-49 years,115.7071,1.3450548636773967
World,Oil and gas,50+ years,149.7513,1.7408068684377442
World,Utility-scale solar,0-9 years,988.7484596650205,11.493857547427687
World,Utility-scale solar,10-19 years,135.35428288759965,1.5734465431899354
World,Utility-scale solar,20-29 years,0.38429199999999997,0.0044672610727631585
World,Utility-scale solar,30-39 years,0.0,0.0
World,Utility-scale solar,40-49 years,0.005,5.812326398628073e-05
World,Utility-scale solar,50+ years,0.0,0.0
World,Wind,0-9 years,681.5198,7.92243104945545
World,Wind,10-19 years,349.5079,4.0629079873981215
World,Wind,20-29 years,38.8648,0.45178980603480073
World,Wind,30-39 years,1.0865,0.012630185264218802
World,Wind,40-49 years,0.2112,0.002455126670780498
World,Wind,50+ years,0.023,0.0002673670143368914
World,Hydropower,0-9 years,176.007,2.0460202648866628
World,Hydropower,10-19 years,296.357,3.4450472290364402
World,Hydropower,20-29 years,108.237,1.2582175448166135
World,Hydropower,30-39 years,107.818,1.2533468152945633
World,Hydropower,40-49 years,187.326,2.177599709898805
World,Hydropower,50+ years,393.992,4.580020204896544
World,Nuclear,0-9 years,59.068,0.686644991428326
World,Nuclear,10-19 years,42.396,0.4928387799924716
World,Nuclear,20-29 years,31.115,0.361701071786625
World,Nuclear,30-39 years,87.893,1.0217256083092345
World,Nuclear,40-49 years,142.686,1.6586752090292904
World,Nuclear,50+ years,38.183,0.44386411775763146
World,Bioenergy,0-9 years,43.89580600000001,0.5102735040057131
World,Bioenergy,10-19 years,32.211079,0.37444260959998876
World,Bioenergy,20-29 years,11.464345,0.13326903017295952
World,Bioenergy,30-39 years,8.369489999999999,0.09729241534010734
World,Bioenergy,40-49 years,5.6176,0.06530264955386614
World,Bioenergy,50+ years,6.4015,0.07441521488163523
World,Geothermal,0-9 years,3.6763600000000003,0.04273640855772061
World,Geothermal,10-19 years,3.71125,0.043141992693816876
World,Geothermal,20-29 years,2.52895,0.02939816569162093
World,Geothermal,30-39 years,2.5345999999999997,0.02946384497992543
World,Geothermal,40-49 years,2.948,0.03426947644631112
World,Geothermal,50+ years,0.6432,0.007476976679195154
BRICS,Coal,0-9 years,511.8368,11.783018793697195
BRICS,Coal,10-19 years,740.1809,17.039738946937195
BRICS,Coal,20-29 years,253.4039,5.833622975323706
BRICS,Coal,30-39 years,90.8043,2.090410016334344
BRICS,Coal,40-49 years,40.0076,0.9210168215546828
BRICS,Coal,50+ years,23.251099999999997,0.5352646552067628
BRICS,Oil and gas,0-9 years,200.30914,4.611326034332277
BRICS,Oil and gas,10-19 years,163.48068,3.763496342674847
BRICS,Oil and gas,20-29 years,73.4469,1.690824503120523
BRICS,Oil and gas,30-39 years,38.8044,0.8933178983577255
BRICS,Oil and gas,40-49 years,35.3544,0.8138952877946409
BRICS,Oil and gas,50+ years,33.4153,0.7692551764488795
BRICS,Utility-scale solar,0-9 years,600.4222239834014,13.822347961986878
BRICS,Utility-scale solar,10-19 years,67.9425170910187,1.5641078479987494
BRICS,Utility-scale solar,20-29 years,0.0,0.0
BRICS,Utility-scale solar,30-39 years,0.0,0.0
BRICS,Utility-scale solar,40-49 years,0.0,0.0
BRICS,Utility-scale solar,50+ years,0.0,0.0
BRICS,Wind,0-9 years,420.4687,9.679629511323586
BRICS,Wind,10-19 years,165.8376,3.8177551076859615
BRICS,Wind,20-29 years,1.7265,0.039745836851352245
BRICS,Wind,30-39 years,0.145,0.0033380517483035475
BRICS,Wind,40-49 years,0.0,0.0
BRICS,Wind,50+ years,0.0,0.0
BRICS,Hydropower,0-9 years,128.843,2.9661006993563723
BRICS,Hydropower,10-19 years,227.761,5.243296581002512
BRICS,Hydropower,20-29 years,74.714,1.719994471191388
BRICS,Hydropower,30-39 years,41.891,0.9643746606081648
BRICS,Hydropower,40-49 years,58.566,1.348250611663073
BRICS,Hydropower,50+ years,76.274,1.7559073037938262
BRICS,Nuclear,0-9 years,41.808,0.962463913745343
BRICS,Nuclear,10-19 years,33.384,0.7685346176921768
BRICS,Nuclear,20-29 years,10.087,0.23221329644922678
BRICS,Nuclear,30-39 years,8.22,0.1892330025590011
BRICS,Nuclear,40-49 years,13.492,0.3105999599180101
BRICS,Nuclear,50+ years,1.321,0.03041080247937232
BRICS,Bioenergy,0-9 years,32.1871,0.7409807270884214
BRICS,Bioenergy,10-19 years,18.7409,0.43143513110194454
BRICS,Bioenergy,20-29 years,4.248,0.09779340570202394
