Country,Type,Age Category,Capacity (GW),Capacity %
World,Coal,0-9 years,597.6256,6.942440889460166
World,Coal,10-19 years,837.5892,9.730027479830564
World,Coal,20-29 years,322.1688,3.742540229917049
World,Coal,30-39 years,157.8351,1.8335239521734585
World,Coal,40-49 years,177.1165,2.0575103071188243
World,Coal,50+ years,130.12609999999998,1.5116366457962687
World,Oil and gas,0-9 years,580.47884,6.743252019797019
World,Oil and gas,10-19 years,633.1788,7.355451960992504
World,Oil and gas,20-29 years,565.2868000000001,6.5667705576737205
World,Oil and gas,30-39 years,172.20759999999999,2.000485059066748
World,Oil and gas,40-49 years,115.32469999999999,1.3396931337023161
World,Oil and gas,50+ years,150.0327,1.7428857653288454
World,Utility-scale solar,0-9 years,988.7484596650205,11.486000157572224
World,Utility-scale solar,10-19 years,135.35428288759965,1.572370909282384
World,Utility-scale solar,20-29 years,0.38429199999999997,0.004464207179699842
World,Utility-scale solar,30-39 years,0.0,0.0
World,Utility-scale solar,40-49 years,0.005,5.808352996809513e-05
World,Utility-scale solar,50+ years,0.0,0.0
World,Wind,0-9 years,679.9846,7.899181178388637
World,Wind,10-19 years,346.879,4.029591358360574
World,Wind,20-29 years,37.8879,0.44013259501563834
World,Wind,30-39 years,0.961,0.011163654459867884
World,Wind,40-49 years,0.1846,0.0021444439264220725
World,Wind,50+ years,0.023,0.0002671842378532376
World,Hydropower,0-9 years,176.007,2.044621571818904
World,Hydropower,10-19 years,296.357,3.442692138150954
World,Hydropower,20-29 years,108.237,1.2573574066313427
World,Hydropower,30-39 years,107.818,1.2524900068200162
World,Hydropower,40-49 years,187.326,2.1761110669606776
World,Hydropower,50+ years,393.992,4.576889227837948
World,Nuclear,0-9 years,65.306,0.7586406016192841
World,Nuclear,10-19 years,42.416,0.4927342014253446
World,Nuclear,20-29 years,31.193,0.3623599100589583
World,Nuclear,30-39 years,87.893,1.021027139897157
World,Nuclear,40-49 years,142.674,1.6574019109336011
World,Nuclear,50+ years,38.319,0.4451405569694875
World,Bioenergy,0-9 years,43.89580600000001,0.509924672654938
World,Bioenergy,10-19 years,32.211079,0.374186634480236
World,Bioenergy,20-29 years,11.464345,0.13317792527441633
World,Bioenergy,30-39 years,8.369489999999999,0.09722590464653451
World,Bioenergy,40-49 years,5.6176,0.06525800758975425
World,Bioenergy,50+ years,6.4015,0.0743643434181522
World,Geothermal,0-9 years,3.6763600000000003,0.04270719324670125
World,Geothermal,10-19 years,3.71125,0.04311250011881861
World,Geothermal,20-29 years,2.52895,0.029378068622562835
World,Geothermal,30-39 years,2.5345999999999997,0.029443703011426785
World,Geothermal,40-49 years,2.948,0.034246049269188894
World,Geothermal,50+ years,0.6432,0.007471865295095758
BRICS,Coal,0-9 years,511.8368,11.752847572612126
BRICS,Coal,10-19 years,740.1809,16.99610753634529
BRICS,Coal,20-29 years,253.4039,5.818685586900836
BRICS,Coal,30-39 years,90.8043,2.0850573793008693
BRICS,Coal,40-49 years,40.0076,0.9186584953368668
BRICS,Coal,50+ years,23.251099999999997,0.5338940736491823
BRICS,Oil and gas,0-9 years,215.4893,4.948086765994328
BRICS,Oil and gas,10-19 years,163.7546,3.760149432620065
BRICS,Oil and gas,20-29 years,71.0539,1.6315467276671485
BRICS,Oil and gas,30-39 years,38.4838,0.8836688479900049
BRICS,Oil and gas,40-49 years,36.624900000000004,0.8409846010723767
BRICS,Oil and gas,50+ years,33.8061,0.7762590347635863
BRICS,Utility-scale solar,0-9 years,600.4222239834014,13.786954899854198
BRICS,Utility-scale solar,10-19 years,67.9425170910187,1.5601028434656066
BRICS,Utility-scale solar,20-29 years,0.0,0.0
BRICS,Utility-scale solar,30-39 years,0.0,0.0
BRICS,Utility-scale solar,40-49 years,0.0,0.0
BRICS,Utility-scale solar,50+ years,0.0,0.0
BRICS,Wind,0-9 years,420.30740000000003,9.651140374902536
BRICS,Wind,10-19 years,165.63670000000002,3.803366400248054
BRICS,Wind,20-29 years,1.701,0.03905853139323555
BRICS,Wind,30-39 years,0.145,0.00332950443975259
BRICS,Wind,40-49 years,0.0,0.0
BRICS,Wind,50+ years,0.0,0.0
BRICS,Hydropower,0-9 years,128.843,2.958505796765813
BRICS,Hydropower,10-19 years,227.761,5.2298707634654455
BRICS,Hydropower,20-29 years,74.714,1.715590308356379
BRICS,Hydropower,30-39 years,41.891,0.9619053136943154
BRICS,Hydropower,40-49 years,58.566,1.3447983242658632
BRICS,Hydropower,50+ years,76.274,1.7514111837082
BRICS,Nuclear,0-9 years,46.69,1.0721004296003338
BRICS,Nuclear,10-19 years,33.404,0.7670259745206586
BRICS,Nuclear,20-29 years,10.165,0.23340974227644878
BRICS,Nuclear,30-39 years,8.22,0.18874845858459507
BRICS,Nuclear,40-49 years,13.48,0.30952910239906833
BRICS,Nuclear,50+ years,1.457,0.033455779094617395
BRICS,Bioenergy,0-9 years,32.1871,0.7390833955362798
BRICS,Bioenergy,10-19 years,18.7409,0.4303304121031677
BRICS,Bioenergy,20-29 years,4.248,0.09754299903495862
BRICS,Bioenergy,30-39 years,0.9773999999999999,0.022443156133890904
BRICS,Bioenergy,40-49 years,0.6377999999999999,0.014645227114994493
BRICS,Bioenergy,50+ years,0.6703,0.015391495351490763
BRICS,Geothermal,0-9 years,1.0045,0.023065429032630872
BRICS,Geothermal,10-19 years,0.67345,0.01546382596518194
BRICS,Geothermal,20-29 years,0.52895,0.012145802575221602
BRICS,Geothermal,30-39 years,0.275,0.00631457738573767
BRICS,Geothermal,40-49 years,0.03,0.0006888629875350185
BRICS,Geothermal,50+ years,0.012,0.0002755451950140074
EU27,Coal,0-9 years,6.874,0.8027485787440953
EU27,Coal,10-19 years,14.6,1.7049940718160885
EU27,Coal,20-29 years,8.983600000000001,1.0491085440799324
EU27,Coal,30-39 years,9.494,1.1087132683439687
EU27,Coal,40-49 years,20.2602,2.365994581767693
EU27,Coal,50+ years,18.4161,2.1506398168474155
EU27,Oil and gas,0-9 years,24.1095,2.8155174366061635
EU27,Oil and gas,10-19 years,68.5588,8.006325176083893
EU27,Oil and gas,20-29 years,71.0395,8.296022353751988
EU27,Oil and gas,30-39 years,14.2623,1.6655573253741502
EU27,Oil and gas,40-49 years,5.6833,0.6636981375583818
EU27,Oil and gas,50+ years,14.2466,1.663723872844869
EU27,Utility-scale solar,0-9 years,97.71653953660626,11.41137812522576
EU27,Utility-scale solar,10-19 years,17.49562305675863,2.043146136609749
EU27,Utility-scale solar,20-29 years,0.375492,0.04385011191879224
EU27,Utility-scale solar,30-39 years,0.0,0.0
EU27,Utility-scale solar,40-49 years,0.005,0.0005839020793890713
EU27,Utility-scale solar,50+ years,0.0,0.0
EU27,Wind,0-9 years,85.8696,10.027887599261561
EU27,Wind,10-19 years,73.8271,8.621559441052982
EU27,Wind,20-29 years,25.4085,2.967215196831444
