Country,Type,Age Category,Capacity (MW),Capacity %
Afghanistan,Oil and gas,0-9 years,0.04,7.560781246984782
Afghanistan,Oil and gas,10-19 years,0.1316,24.874970302579932
Afghanistan,Oil and gas,20-29 years,0.0,0.0
Afghanistan,Oil and gas,30-39 years,0.0,0.0
Afghanistan,Oil and gas,40-49 years,0.0,0.0
Afghanistan,Oil and gas,50+ years,0.0,0.0
Afghanistan,Utility-scale solar,0-9 years,0.035005857740585775,6.6167908184909505
Afghanistan,Utility-scale solar,10-19 years,0.01044,1.973363905463028
Afghanistan,Utility-scale solar,20-29 years,0.0,0.0
Afghanistan,Utility-scale solar,30-39 years,0.0,0.0
Afghanistan,Utility-scale solar,40-49 years,0.0,0.0
Afghanistan,Utility-scale solar,50+ years,0.0,0.0
Afghanistan,Hydropower,0-9 years,0.1,18.901953117461957
Afghanistan,Hydropower,10-19 years,0.0,0.0
Afghanistan,Hydropower,20-29 years,0.0,0.0
Afghanistan,Hydropower,30-39 years,0.0,0.0
Afghanistan,Hydropower,40-49 years,0.0,0.0
Afghanistan,Hydropower,50+ years,0.212,40.07214060901935
African Union,Coal,0-9 years,11.08,4.441220595906913
African Union,Coal,10-19 years,2.5143,1.0078123595928474
African Union,Coal,20-29 years,4.944,1.981714316440774
African Union,Coal,30-39 years,15.284,6.126319096375564
African Union,Coal,40-49 years,12.0983,4.849388008615577
African Union,Coal,50+ years,6.092,2.4418696633813095
African Union,Oil and gas,0-9 years,51.5571,20.665744980616633
African Union,Oil and gas,10-19 years,49.8285,19.972866467793104
African Union,Oil and gas,20-29 years,11.4348,4.583435854700032
African Union,Oil and gas,30-39 years,10.884,4.362657487892674
African Union,Oil and gas,40-49 years,6.806,2.728063842576033
African Union,Oil and gas,50+ years,0.395,0.15832871257971393
African Union,Utility-scale solar,0-9 years,10.943890330687323,4.386663459927351
African Union,Utility-scale solar,10-19 years,1.3008746592407656,0.5214324304434543
African Union,Utility-scale solar,20-29 years,0.0,0.0
African Union,Utility-scale solar,30-39 years,0.0,0.0
African Union,Utility-scale solar,40-49 years,0.0,0.0
African Union,Utility-scale solar,50+ years,0.0,0.0
African Union,Wind,0-9 years,6.365399999999999,2.5514571824174963
African Union,Wind,10-19 years,2.6022,1.0430455085441306
African Union,Wind,20-29 years,0.214,0.0857780873216678
African Union,Wind,30-39 years,0.0,0.0
African Union,Wind,40-49 years,0.0,0.0
African Union,Wind,50+ years,0.0,0.0
African Union,Hydropower,0-9 years,12.111,4.854478577349153
African Union,Hydropower,10-19 years,6.273,2.514420288639356
African Union,Hydropower,20-29 years,2.365,0.9479681145595531
African Union,Hydropower,30-39 years,2.131,0.854173383562963
African Union,Hydropower,40-49 years,6.731,2.6980014287950747
African Union,Hydropower,50+ years,11.984,4.803572890013397
African Union,Nuclear,0-9 years,0.0,0.0
African Union,Nuclear,10-19 years,0.0,0.0
African Union,Nuclear,20-29 years,0.0,0.0
African Union,Nuclear,30-39 years,0.0,0.0
African Union,Nuclear,40-49 years,1.94,0.7776144364674558
African Union,Nuclear,50+ years,0.0,0.0
African Union,Bioenergy,0-9 years,0.275,0.1102288505301806
African Union,Bioenergy,10-19 years,0.3594,0.14405908683835236
African Union,Bioenergy,20-29 years,0.0435,0.01743619999295584
African Union,Bioenergy,30-39 years,0.043,0.017235783901082782
African Union,Bioenergy,40-49 years,0.0245,0.009820388501779725
African Union,Bioenergy,50+ years,0.039700000000000006,0.015913037694720616
African Union,Geothermal,0-9 years,0.308,0.12345631259380226
African Union,Geothermal,10-19 years,0.3795,0.1521158137316492
African Union,Geothermal,20-29 years,0.129,0.05170735170324835
African Union,Geothermal,30-39 years,0.0,0.0
African Union,Geothermal,40-49 years,0.0,0.0
African Union,Geothermal,50+ years,0.0,0.0
Albania,Utility-scale solar,0-9 years,0.19302,10.006117095727365
Albania,Utility-scale solar,10-19 years,0.0,0.0
Albania,Utility-scale solar,20-29 years,0.0,0.0
Albania,Utility-scale solar,30-39 years,0.0,0.0
Albania,Utility-scale solar,40-49 years,0.0,0.0
Albania,Utility-scale solar,50+ years,0.0,0.0
Albania,Hydropower,0-9 years,0.341,17.677369856196414
Albania,Hydropower,10-19 years,0.045,2.33279074348633
Albania,Hydropower,20-29 years,0.0,0.0
Albania,Hydropower,30-39 years,0.0,0.0
Albania,Hydropower,40-49 years,1.1,57.02377372966584
Albania,Hydropower,50+ years,0.25,12.959948574924054
Algeria,Oil and gas,0-9 years,10.643600000000001,40.48411516911806
Algeria,Oil and gas,10-19 years,9.498,36.12669828594492
Algeria,Oil and gas,20-29 years,1.947,7.405630823619156
Algeria,Oil and gas,30-39 years,2.496,9.49381332088003
Algeria,Oil and gas,40-49 years,0.7,2.6625277742852647
Algeria,Oil and gas,50+ years,0.395,1.5024263869181136
Algeria,Utility-scale solar,0-9 years,0.38280555555555557,1.4560434625962393
Algeria,Utility-scale solar,10-19 years,0.0464,0.17648755532405183
Algeria,Utility-scale solar,20-29 years,0.0,0.0
Algeria,Utility-scale solar,30-39 years,0.0,0.0
Algeria,Utility-scale solar,40-49 years,0.0,0.0
Algeria,Utility-scale solar,50+ years,0.0,0.0
Algeria,Wind,0-9 years,0.0,0.0
Algeria,Wind,10-19 years,0.01,0.03803611106121807
Algeria,Wind,20-29 years,0.0,0.0
Algeria,Wind,30-39 years,0.0,0.0
Algeria,Wind,40-49 years,0.0,0.0
Algeria,Wind,50+ years,0.0,0.0
Algeria,Hydropower,0-9 years,0.0,0.0
Algeria,Hydropower,10-19 years,0.0,0.0
Algeria,Hydropower,20-29 years,0.0,0.0
Algeria,Hydropower,30-39 years,0.0,0.0
Algeria,Hydropower,40-49 years,0.0,0.0
Algeria,Hydropower,50+ years,0.172,0.6542211102529507
American Samoa,Oil and gas,0-9 years,0.023,94.60889469218255
American Samoa,Oil and gas,10-19 years,0.0,0.0
American Samoa,Oil and gas,20-29 years,0.0,0.0
American Samoa,Oil and gas,30-39 years,0.0,0.0
American Samoa,Oil and gas,40-49 years,0.0,0.0
American Samoa,Oil and gas,50+ years,0.0,0.0
American Samoa,Utility-scale solar,0-9 years,0.0013106106194690267,5.391105307817447
American Samoa,Utility-scale solar,10-19 years,0.0,0.0
American Samoa,Utility-scale solar,20-29 years,0.0,0.0
American Samoa,Utility-scale solar,30-39 years,0.0,0.0
American Samoa,Utility-scale solar,40-49 years,0.0,0.0
