Country,Type,Age Category,Capacity (MW),Capacity %
Afghanistan,Oil and gas,0-9 years,0.04,6.605587005489243
Afghanistan,Oil and gas,10-19 years,0.1316,21.732381248059607
Afghanistan,Oil and gas,20-29 years,0.0,0.0
Afghanistan,Oil and gas,30-39 years,0.0,0.0
Afghanistan,Oil and gas,40-49 years,0.0,0.0
Afghanistan,Oil and gas,50+ years,0.0,0.0
Afghanistan,Utility-scale solar,0-9 years,0.06950800000000001,11.47852853943866
Afghanistan,Utility-scale solar,10-19 years,0.01044,1.724058208432692
Afghanistan,Utility-scale solar,20-29 years,0.0,0.0
Afghanistan,Utility-scale solar,30-39 years,0.0,0.0
Afghanistan,Utility-scale solar,40-49 years,0.0,0.0
Afghanistan,Utility-scale solar,50+ years,0.0,0.0
Afghanistan,Hydropower,0-9 years,0.142,23.44983386948681
Afghanistan,Hydropower,10-19 years,0.0,0.0
Afghanistan,Hydropower,20-29 years,0.0,0.0
Afghanistan,Hydropower,30-39 years,0.0,0.0
Afghanistan,Hydropower,40-49 years,0.0,0.0
Afghanistan,Hydropower,50+ years,0.212,35.00961112909299
African Union,Coal,0-9 years,11.98,4.595292776171755
African Union,Coal,10-19 years,2.5143,0.9644361124481339
African Union,Coal,20-29 years,4.944,1.8964213259927507
African Union,Coal,30-39 years,15.284,5.86264230308924
African Union,Coal,40-49 years,12.0983,4.640670333385537
African Union,Coal,50+ years,6.092,2.3367715853454367
African Union,Oil and gas,0-9 years,51.5571,19.776291251282537
African Union,Oil and gas,10-19 years,49.8285,19.113234231842593
African Union,Oil and gas,20-29 years,11.4348,4.386164761015757
African Union,Oil and gas,30-39 years,10.884,4.174888695814138
African Union,Oil and gas,40-49 years,6.806,2.6106479661623507
African Union,Oil and gas,50+ years,0.395,0.15151424428946936
African Union,Utility-scale solar,0-9 years,13.3770855,5.131187342602832
African Union,Utility-scale solar,10-19 years,1.2482754999999999,0.4788139722723026
African Union,Utility-scale solar,20-29 years,0.0,0.0
African Union,Utility-scale solar,30-39 years,0.0,0.0
African Union,Utility-scale solar,40-49 years,0.0,0.0
African Union,Utility-scale solar,50+ years,0.0,0.0
African Union,Wind,0-9 years,8.7134,3.3422891549161076
African Union,Wind,10-19 years,2.6022,0.9981528265571069
African Union,Wind,20-29 years,0.16,0.06137285844636734
African Union,Wind,30-39 years,0.0,0.0
African Union,Wind,40-49 years,0.0,0.0
African Union,Wind,50+ years,0.0,0.0
African Union,Hydropower,0-9 years,17.122,6.5676630144918855
African Union,Hydropower,10-19 years,6.239,2.3931578990430364
African Union,Hydropower,20-29 years,2.365,0.9071675639103672
African Union,Hydropower,30-39 years,2.211,0.8480961876557388
African Union,Hydropower,40-49 years,6.9,2.6467045204995916
African Union,Hydropower,50+ years,12.369,4.744505538269485
African Union,Nuclear,0-9 years,0.0,0.0
