Country,Type,Age Category,Capacity (MW),Capacity %
Afghanistan,Oil and gas,0-9 years,0.0,0.0
Afghanistan,Oil and gas,10-19 years,0.105,22.705360690872688
Afghanistan,Oil and gas,20-29 years,0.0,0.0
Afghanistan,Oil and gas,30-39 years,0.0,0.0
Afghanistan,Oil and gas,40-49 years,0.0,0.0
Afghanistan,Oil and gas,50+ years,0.0,0.0
Afghanistan,Utility-scale solar,0-9 years,0.035005857740585775,7.569720250413122
Afghanistan,Utility-scale solar,10-19 years,0.01044,2.257561577263913
Afghanistan,Utility-scale solar,20-29 years,0.0,0.0
Afghanistan,Utility-scale solar,30-39 years,0.0,0.0
Afghanistan,Utility-scale solar,40-49 years,0.0,0.0
Afghanistan,Utility-scale solar,50+ years,0.0,0.0
Afghanistan,Hydropower,0-9 years,0.1,21.62415303892637
Afghanistan,Hydropower,10-19 years,0.0,0.0
Afghanistan,Hydropower,20-29 years,0.0,0.0
Afghanistan,Hydropower,30-39 years,0.0,0.0
Afghanistan,Hydropower,40-49 years,0.0,0.0
Afghanistan,Hydropower,50+ years,0.212,45.843204442523906
African Union,Coal,0-9 years,11.08,4.560921469333524
African Union,Coal,10-19 years,2.5143,1.0349751669986715
African Union,Coal,20-29 years,4.944,2.0351259697098323
African Union,Coal,30-39 years,15.284,6.291437160405558
African Union,Coal,40-49 years,12.0983,4.980089910869834
African Union,Coal,50+ years,6.092,2.5076835371100925
African Union,Oil and gas,0-9 years,48.6516,20.026726259695565
African Union,Oil and gas,10-19 years,47.8674,19.703921691441835
African Union,Oil and gas,20-29 years,11.114799999999999,4.575246385139733
African Union,Oil and gas,30-39 years,9.863,4.059961051627846
African Union,Oil and gas,40-49 years,6.466,2.661635218475683
African Union,Oil and gas,50+ years,0.395,0.16259602711071677
African Union,Utility-scale solar,0-9 years,10.943890330687323,4.504893895962398
African Union,Utility-scale solar,10-19 years,1.3008746592407656,0.5354862059786227
African Union,Utility-scale solar,20-29 years,0.0,0.0
African Union,Utility-scale solar,30-39 years,0.0,0.0
African Union,Utility-scale solar,40-49 years,0.0,0.0
African Union,Utility-scale solar,50+ years,0.0,0.0
African Union,Wind,0-9 years,6.365399999999999,2.620224686001409
African Union,Wind,10-19 years,2.6022,1.0711579284747017
African Union,Wind,20-29 years,0.214,0.08808999949795795
African Union,Wind,30-39 years,0.0,0.0
African Union,Wind,40-49 years,0.0,0.0
African Union,Wind,50+ years,0.0,0.0
African Union,Hydropower,0-9 years,12.111,4.985317681868078
African Union,Hydropower,10-19 years,6.273,2.5821895647228517
African Union,Hydropower,20-29 years,2.365,0.973517985105937
African Union,Hydropower,30-39 years,2.131,0.8771952753745251
African Union,Hydropower,40-49 years,6.731,2.7707186290689485
African Union,Hydropower,50+ years,11.984,4.933039971885645
African Union,Nuclear,0-9 years,0.0,0.0
African Union,Nuclear,10-19 years,0.0,0.0
African Union,Nuclear,20-29 years,0.0,0.0
African Union,Nuclear,30-39 years,0.0,0.0
African Union,Nuclear,40-49 years,1.94,0.7985728926450393
African Union,Nuclear,50+ years,0.0,0.0
African Union,Bioenergy,0-9 years,0.275,0.11319976570999268
African Union,Bioenergy,10-19 years,0.3594,0.14794180289516862
African Union,Bioenergy,20-29 years,0.0435,0.01790614475776248
African Union,Bioenergy,30-39 years,0.043,0.01770032700192613
African Union,Bioenergy,40-49 years,0.0245,0.010085070035981167
African Union,Bioenergy,50+ years,0.039700000000000006,0.01634192981340622
African Union,Geothermal,0-9 years,0.308,0.12678373759519182
African Union,Geothermal,10-19 years,0.3795,0.15621567667978992
African Union,Geothermal,20-29 years,0.129,0.05310098100577839
African Union,Geothermal,30-39 years,0.0,0.0
African Union,Geothermal,40-49 years,0.0,0.0
African Union,Geothermal,50+ years,0.0,0.0
Albania,Utility-scale solar,0-9 years,0.19302,10.006117095727365
Albania,Utility-scale solar,10-19 years,0.0,0.0
Albania,Utility-scale solar,20-29 years,0.0,0.0
Albania,Utility-scale solar,30-39 years,0.0,0.0
Albania,Utility-scale solar,40-49 years,0.0,0.0
Albania,Utility-scale solar,50+ years,0.0,0.0
Albania,Hydropower,0-9 years,0.341,17.677369856196414
Albania,Hydropower,10-19 years,0.045,2.33279074348633
Albania,Hydropower,20-29 years,0.0,0.0
Albania,Hydropower,30-39 years,0.0,0.0
Albania,Hydropower,40-49 years,1.1,57.02377372966584
Albania,Hydropower,50+ years,0.25,12.959948574924054
Algeria,Oil and gas,0-9 years,9.6706,39.77247516088163
Algeria,Oil and gas,10-19 years,8.691,35.74365412934278
Algeria,Oil and gas,20-29 years,1.947,8.00746687260734
Algeria,Oil and gas,30-39 years,2.496,10.26535044377397
Algeria,Oil and gas,40-49 years,0.504,2.0728111473005133
Algeria,Oil and gas,50+ years,0.395,1.6245246094914738
Algeria,Utility-scale solar,0-9 years,0.38280555555555557,1.5743722674684948
Algeria,Utility-scale solar,10-19 years,0.0464,0.19083023260861867
Algeria,Utility-scale solar,20-29 years,0.0,0.0
Algeria,Utility-scale solar,30-39 years,0.0,0.0
Algeria,Utility-scale solar,40-49 years,0.0,0.0
Algeria,Utility-scale solar,50+ years,0.0,0.0
Algeria,Wind,0-9 years,0.0,0.0
Algeria,Wind,10-19 years,0.01,0.04112720530358161
