Country,Type,Age Category,Capacity (GW),Capacity %
World,Coal,0-9 years,597.6256,6.938633322778018
World,Coal,10-19 years,837.5892,9.724691067315359
World,Coal,20-29 years,322.1688,3.7404876418269337
World,Coal,30-39 years,157.8351,1.8325183599296964
World,Coal,40-49 years,177.1165,2.0563818700434067
World,Coal,50+ years,130.12609999999998,1.5108075919491144
World,Oil and gas,0-9 years,580.47884,6.739553697819386
World,Oil and gas,10-19 years,633.1788,7.351417879281942
World,Oil and gas,20-29 years,565.2868000000001,6.563169026572077
World,Oil and gas,30-39 years,172.20759999999999,1.9993878973652193
World,Oil and gas,40-49 years,115.32469999999999,1.3389583819022781
World,Oil and gas,50+ years,150.0327,1.7419298834025143
World,Utility-scale solar,0-9 years,988.7484596650205,11.479700685641893
World,Utility-scale solar,10-19 years,135.35428288759965,1.5715085458598517
World,Utility-scale solar,20-29 years,0.38429199999999997,0.00446175879493283
World,Utility-scale solar,30-39 years,0.0,0.0
World,Utility-scale solar,40-49 years,0.005,5.805167418177884e-05
World,Utility-scale solar,50+ years,0.0,0.0
World,Wind,0-9 years,679.9846,7.894848889565442
World,Wind,10-19 years,346.879,4.027381337700253
World,Wind,20-29 years,37.8879,0.4398912052463637
World,Wind,30-39 years,0.961,0.011157531777737893
World,Wind,40-49 years,0.1846,0.0021432678107912747
World,Wind,50+ years,0.023,0.00026703770123618264
World,Hydropower,0-9 years,176.007,2.04350020354247
World,Hydropower,10-19 years,296.357,3.4408040010978866
World,Hydropower,20-29 years,108.237,1.2566678116826393
World,Hydropower,30-39 years,107.818,1.2518030813862062
World,Hydropower,40-49 years,187.326,2.174917583555181
World,Hydropower,50+ years,393.992,4.574379042845482
World,Nuclear,0-9 years,65.306,0.7582245268230499
World,Nuclear,10-19 years,42.416,0.4924639624188663
World,Nuclear,20-29 years,31.193,0.3621611745504455
World,Nuclear,30-39 years,87.893,1.0204671597718176
World,Nuclear,40-49 years,142.674,1.6564929124422227
World,Nuclear,50+ years,38.319,0.44489642059431667
World,Bioenergy,0-9 years,48.235800000000005,0.5600337890994896
World,Bioenergy,10-19 years,31.4073,0.36464926930587654
World,Bioenergy,20-29 years,12.031799999999999,0.13969322668406534
World,Bioenergy,30-39 years,8.122,0.09429913954088155
World,Bioenergy,40-49 years,5.736700000000001,0.06660500785572214
World,Bioenergy,50+ years,6.3839,0.07411921656181159
World,Geothermal,0-9 years,3.6763600000000003,0.04268377057898489
World,Geothermal,10-19 years,3.71125,0.04308885516142535
World,Geothermal,20-29 years,2.52895,0.029361956284401917
World,Geothermal,30-39 years,2.5345999999999997,0.02942755467622733
World,Geothermal,40-49 years,2.948,0.034227267097576806
World,Geothermal,50+ years,0.6432,0.00746776736674403
BRICS,Coal,0-9 years,511.8368,11.746358893007795
BRICS,Coal,10-19 years,740.1809,16.98672408304661
BRICS,Coal,20-29 years,253.4039,5.815473124026756
BRICS,Coal,30-39 years,90.8043,2.083906231104031
BRICS,Coal,40-49 years,40.0076,0.918151309260879
BRICS,Coal,50+ years,23.251099999999997,0.5335993137992686
BRICS,Oil and gas,0-9 years,215.4893,4.945354955726169
BRICS,Oil and gas,10-19 years,163.7546,3.7580734757269
BRICS,Oil and gas,20-29 years,71.0539,1.630645960094871
BRICS,Oil and gas,30-39 years,38.4838,0.8831809794972408
BRICS,Oil and gas,40-49 years,36.624900000000004,0.8405202983070409
BRICS,Oil and gas,50+ years,33.8061,0.7758304666114488
BRICS,Utility-scale solar,0-9 years,600.4222239834014,13.779343201283975
BRICS,Utility-scale solar,10-19 years,67.9425170910187,1.559241519651228
BRICS,Utility-scale solar,20-29 years,0.0,0.0
BRICS,Utility-scale solar,30-39 years,0.0,0.0
BRICS,Utility-scale solar,40-49 years,0.0,0.0
BRICS,Utility-scale solar,50+ years,0.0,0.0
BRICS,Wind,0-9 years,420.30740000000003,9.645812035764104
BRICS,Wind,10-19 years,165.63670000000002,3.8012665835154182
BRICS,Wind,20-29 years,1.701,0.0390369674025124
BRICS,Wind,30-39 years,0.145,0.003327666239485184
BRICS,Wind,40-49 years,0.0,0.0
BRICS,Wind,50+ years,0.0,0.0
BRICS,Hydropower,0-9 years,128.843,2.9568724227171694
BRICS,Hydropower,10-19 years,227.761,5.226983381871621
BRICS,Hydropower,20-29 years,74.714,1.7146431408061797
BRICS,Hydropower,30-39 years,41.891,0.9613742512984403
BRICS,Hydropower,40-49 years,58.566,1.3440558688392363
BRICS,Hydropower,50+ years,76.274,1.7504442396585718
BRICS,Nuclear,0-9 years,46.69,1.0715085291142292
BRICS,Nuclear,10-19 years,33.404,0.7666025038880212
BRICS,Nuclear,20-29 years,10.165,0.23328087809908202
BRICS,Nuclear,30-39 years,8.22,0.18864425164529802
BRICS,Nuclear,40-49 years,13.48,0.30935821316041573
BRICS,Nuclear,50+ years,1.457,0.03343730835124078
BRICS,Bioenergy,0-9 years,34.5184,0.7921773401451405
BRICS,Bioenergy,10-19 years,17.8734,0.4101842052745827
BRICS,Bioenergy,20-29 years,4.601100000000001,0.1055925871344502
BRICS,Bioenergy,30-39 years,1.0024,0.023004500954896194
BRICS,Bioenergy,40-49 years,0.6442,0.014784017872250726
BRICS,Bioenergy,50+ years,0.6703,0.01538299779535806
BRICS,Geothermal,0-9 years,1.0045,0.023052694741812877
BRICS,Geothermal,10-19 years,0.67345,0.015455288475733084
BRICS,Geothermal,20-29 years,0.52895,0.01213909694741854
BRICS,Geothermal,30-39 years,0.275,0.00631109114385121
BRICS,Geothermal,40-49 years,0.03,0.000688482670238314
BRICS,Geothermal,50+ years,0.012,0.00027539306809532557
EU27,Coal,0-9 years,6.874,0.8017672259086882
EU27,Coal,10-19 years,14.6,1.7029097320725703
EU27,Coal,20-29 years,8.983600000000001,1.0478260184278865
EU27,Coal,30-39 years,9.494,1.1073578764586973
EU27,Coal,40-49 years,20.2602,2.3631021749134717
EU27,Coal,50+ years,18.4161,2.14801067923436
EU27,Oil and gas,0-9 years,24.1095,2.812075492150934
EU27,Oil and gas,10-19 years,68.5588,7.996537516384722
EU27,Oil and gas,20-29 years,71.0395,8.28588054188831
EU27,Oil and gas,30-39 years,14.2623,1.6635211966944259
EU27,Oil and gas,40-49 years,5.6833,0.6628867726224684
EU27,Oil and gas,50+ years,14.2466,1.6616899855441836
EU27,Utility-scale solar,0-9 years,97.71653953660626,11.397427819269923
EU27,Utility-scale solar,10-19 years,17.49562305675863,2.0406484090429813
EU27,Utility-scale solar,20-29 years,0.375492,0.04379650555584887
EU27,Utility-scale solar,30-39 years,0.0,0.0
EU27,Utility-scale solar,40-49 years,0.005,0.0005831882644084144
EU27,Utility-scale solar,50+ years,0.0,0.0
EU27,Wind,0-9 years,85.8696,10.015628597888957
EU27,Wind,10-19 years,73.8271,8.611019663061292
EU27,Wind,20-29 years,25.4085,2.96358780324424
EU27,Wind,30-39 years,0.343,0.04000671493841723
EU27,Wind,40-49 years,0.0,0.0
EU27,Wind,50+ years,0.023,0.0026826660162787065
EU27,Hydropower,0-9 years,3.289,0.38362124032785505
EU27,Hydropower,10-19 years,4.587,0.5350169137682794
EU27,Hydropower,20-29 years,3.213,0.37475677870884716
EU27,Hydropower,30-39 years,11.851,1.382272824300824
EU27,Hydropower,40-49 years,16.731,1.9514645703634366
EU27,Hydropower,50+ years,80.5135,9.390905665289376
EU27,Nuclear,0-9 years,3.841,0.448005224718544
EU27,Nuclear,10-19 years,0.705,0.08222954528158645
