Country,Status,Non-fossil (GW),Fossil (GW),Non-fossil share (%),Fossil share (%)
World,Announced,2425.8885219874,638.2753399999999,79.16967340036383,20.830326599636155
World,Pre-construction,2812.664268383651,693.128098,80.2290602077217,19.77093979227829
World,Construction,1175.1953976086513,481.54634999999996,70.93413317464439,29.065866825355624
World,Operating,4142.991794901123,4459.41567,48.160841157606605,51.839158842393395
BRICS,Announced,1235.591708726207,382.42490000000004,76.36458748707986,23.635412512920144
BRICS,Pre-construction,1112.1880177214582,284.12170000000003,79.65195712713088,20.348042872869115
BRICS,Construction,953.4724977327973,308.2282,75.5704185189191,24.429581481080902
BRICS,Operating,2123.549352280098,2220.3018199999997,48.886328468878965,51.11367153112104
EU27,Announced,177.52404536755043,14.016,92.682470147115,7.317529852885013
EU27,Pre-construction,548.874606203286,26.7527,95.35242687209279,4.647573127907197
EU27,Construction,32.26570579021436,13.8305,69.99644599179562,30.003554008204382
EU27,Operating,577.9937626692597,279.09981,67.43648314491554,32.563516855084465
G7,Announced,303.567025945581,102.9016,74.68399934666132,25.316000653338666
G7,Pre-construction,876.466561790772,213.192098,80.43496501547232,19.565034984527678
G7,Construction,98.49022614377459,47.9468,67.25773442508662,32.74226557491337
G7,Operating,1375.0472191802724,1248.31981,52.415357968798425,47.584642031201575
G20,Announced,1953.3758459454136,546.0716000000001,78.15230718750124,21.847692812498764
G20,Pre-construction,2387.5519966316365,510.42019799999997,82.38698773764874,17.61301226235126
G20,Construction,1100.086347837977,394.93109999999996,73.58351231478065,26.41648768521936
G20,Operating,3726.276822657105,3793.61863,49.55224239640792,50.44775760359208
OECD,Announced,614.8143020446233,134.18470000000002,82.08479588975398,17.91520411024602
OECD,Pre-construction,1164.4761929625631,222.85809799999998,83.93623660485058,16.063763395149422
OECD,Construction,127.20689728061096,62.06739999999999,67.20769756287554,32.79230243712447
OECD,Operating,1639.3336927812377,1511.7819100000002,52.02391468387669,47.97608531612332
African Union,Announced,202.40423488796472,33.018,85.97498659558941,14.025013404410574
African Union,Pre-construction,232.1204591978936,24.894,90.31416361643984,9.685836383560176
African Union,Construction,54.93439391917781,18.3517,74.95882367500877,25.04117632499125
African Union,Operating,78.23537292478815,188.2873,29.354115380219802,70.64588461978019
Afghanistan,Announced,0.337,0.675,33.300395256917,66.699604743083
Afghanistan,Pre-construction,0.227,3.8,5.636950583560964,94.36304941643903
Afghanistan,Construction,0.12084403866809881,0.05,70.73354131065952,29.266458689340467
Afghanistan,Operating,0.43431211170784106,0.2666,61.96384745722213,38.03615254277786
Albania,Announced,2.7018192430278885,0.1102,96.08110789877313,3.918892101226887
Albania,Pre-construction,0.5682625135820355,0.52,52.21741137729621,47.7825886227038
Albania,Construction,0.237,0.0,100.0,0.0
Albania,Operating,2.090433175660993,0.0,100.0,0.0
Algeria,Announced,0.04553125,0.0,100.0,0.0
Algeria,Pre-construction,1.6848712499999998,0.0,100.0,0.0
Algeria,Construction,2.255315,4.385,33.96397610655519,66.03602389344482
Algeria,Operating,0.6260012500000001,27.580599999999997,2.2193430695589393,97.78065693044105
Andorra,Announced,0.0,0.0,0.0,0.0
Andorra,Pre-construction,0.0,0.0,0.0,0.0
Andorra,Construction,0.0,0.0,0.0,0.0
Andorra,Operating,0.0663,0.0,100.0,0.0
Angola,Announced,1.1773166666666666,0.0,100.0,0.0
Angola,Pre-construction,0.7883,1.8,30.456284047444264,69.54371595255573
Angola,Construction,2.19375,0.0,100.0,0.0
Angola,Operating,4.292873066666667,0.929,82.2094488291915,17.79055117080849
Anguilla,Announced,0.0,0.0,0.0,0.0
Anguilla,Pre-construction,0.0,0.0,0.0,0.0
Anguilla,Construction,0.0,0.0,0.0,0.0
Anguilla,Operating,0.0012,0.0,100.0,0.0
Antigua and Barbuda,Announced,0.0,0.0,0.0,0.0
Antigua and Barbuda,Pre-construction,0.0,0.0,0.0,0.0
Antigua and Barbuda,Construction,0.0,0.046,0.0,100.0
Antigua and Barbuda,Operating,0.010299999999999998,0.0,100.0,0.0
