Country,Status,Non-fossil (GW),Fossil (GW),Non-fossil share (%),Fossil share (%)
World,Announced,2464.2699219874,648.065,79.17753017447832,20.82246982552168
World,Pre-construction,2796.88136838365,728.5002539999999,79.3355632940688,20.6644367059312
World,Construction,1184.4025976086514,522.3966,69.39320098510034,30.60679901489966
World,Operating,4143.922694901124,4464.36954,48.13873160695179,51.861268393048206
BRICS,Announced,1254.9867087262069,353.86220000000003,78.00525592672543,21.99474407327457
BRICS,Pre-construction,1084.287617721458,287.7621,79.02684601853335,20.97315398146666
BRICS,Construction,959.5094977327973,305.6463,75.84121255676742,24.15878744323258
BRICS,Operating,2128.2566522800985,2226.7458,48.86924119103151,51.130758808968494
EU27,Announced,178.0557453675504,15.812,91.84392433613837,8.156075663861625
EU27,Pre-construction,547.8544062032859,26.329804,95.4143977608374,4.585602239162606
EU27,Construction,34.76600579021436,16.3379,68.03003655519328,31.96996344480673
EU27,Operating,576.1507626692597,280.1572,67.28312567283602,32.716874327163985
G7,Announced,325.913725945581,147.6248,68.82517642989727,31.174823570102728
G7,Pre-construction,880.0614617907719,276.678154,76.0812070216116,23.91879297838839
G7,Construction,101.6038261437746,72.5417,58.34420693638174,41.655793063618276
G7,Operating,1371.7978191802724,1257.0407999999998,52.182656218281984,47.81734378171802
G20,Announced,1998.183545945414,555.2431,78.25498136468222,21.74501863531778
G20,Pre-construction,2365.0431966316364,583.361554,80.21433272093913,19.78566727906087
G20,Construction,1109.531947837977,419.2973,72.57396137646128,27.426038623538716
G20,Operating,3727.422922657105,3805.3404,49.48280946841557,50.51719053158443
OECD,Announced,638.3313020446233,170.15390000000002,78.95398708972182,21.04601291027818
OECD,Pre-construction,1168.002692962563,289.059054,80.16150965444109,19.838490345558903
OECD,Construction,130.31059728061098,89.2698,59.34527803685573,40.654721963144276
OECD,Operating,1635.7922927812378,1519.2059,51.84764595187396,48.15235404812604
African Union,Announced,202.67023488796474,34.861,85.3236143800445,14.676385619955509
African Union,Pre-construction,234.24445919789363,24.994,90.35868363153615,9.641316368463851
African Union,Construction,54.929393919177805,18.5507,74.75411501187753,25.24588498812247
African Union,Operating,78.18827292478815,185.13039999999998,29.693402316029864,70.30659768397012
Afghanistan,Announced,0.337,0.675,33.300395256917,66.699604743083
Afghanistan,Pre-construction,0.227,3.7,5.7804940157881335,94.21950598421188
Afghanistan,Construction,0.12084403866809881,0.1,54.719176210009635,45.280823789990365
Afghanistan,Operating,0.43431211170784106,0.2,68.46978067918111,31.53021932081889
Albania,Announced,2.7018192430278885,0.0,100.0,0.0
Albania,Pre-construction,0.5682625135820355,0.52,52.21741137729621,47.7825886227038
Albania,Construction,0.237,0.0,100.0,0.0
Albania,Operating,2.090433175660993,0.1102,94.99235032813228,5.007649671867726
Algeria,Announced,0.04553125,0.0,100.0,0.0
Algeria,Pre-construction,1.6848712499999998,0.0,100.0,0.0
Algeria,Construction,2.255315,4.094,35.52060340367425,64.47939659632574
Algeria,Operating,0.6260012500000001,26.4576,2.311366366021949,97.68863363397806
Andorra,Announced,0.0,0.0,0.0,0.0
Andorra,Pre-construction,0.0,0.0,0.0,0.0
Andorra,Construction,0.0,0.0,0.0,0.0
Andorra,Operating,0.0663,0.0,100.0,0.0
Angola,Announced,1.1773166666666666,0.148,88.83285755605579,11.167142443944215
Angola,Pre-construction,0.7883,1.8,30.456284047444264,69.54371595255573
Angola,Construction,2.19375,0.0,100.0,0.0
Angola,Operating,4.292873066666667,0.929,82.2094488291915,17.79055117080849
Anguilla,Announced,0.0,0.0,0.0,0.0
Anguilla,Pre-construction,0.0,0.0,0.0,0.0
Anguilla,Construction,0.0,0.0,0.0,0.0
Anguilla,Operating,0.0012,0.0,100.0,0.0
Antigua and Barbuda,Announced,0.0,0.0,0.0,0.0
Antigua and Barbuda,Pre-construction,0.0,0.0,0.0,0.0
Antigua and Barbuda,Construction,0.0,0.0,0.0,0.0
Antigua and Barbuda,Operating,0.010299999999999998,0.0,100.0,0.0
Argentina,Announced,13.758633260869566,0.0,100.0,0.0
Argentina,Pre-construction,3.9241108260869564,0.0,100.0,0.0
Argentina,Construction,1.2035641304347826,0.0,100.0,0.0
Argentina,Operating,19.587085717391304,23.5412,45.415868939796255,54.58413106020373
Armenia,Announced,1.4,0.0,100.0,0.0
Armenia,Pre-construction,0.176,0.126,58.27814569536424,41.72185430463576
Armenia,Construction,0.23085935714285713,0.05,82.19749539105872,17.802504608941284
Armenia,Operating,1.6710995714285715,1.127,59.7226627848483,40.27733721515169
Australia,Announced,217.95594235714287,5.3921,97.58578586895433,2.414214131045665
Australia,Pre-construction,157.95012735714286,2.1561999999999997,98.65326996403442,1.3467300359655676
Australia,Construction,7.283166964285714,0.835,89.71442686910213,10.285573130897887
Australia,Operating,35.935369321428574,39.962300000000006,47.34713152948263,52.652868470517376
Austria,Announced,0.222,0.0,100.0,0.0
Austria,Pre-construction,2.547,0.0,100.0,0.0
Austria,Construction,0.60476,0.0,100.0,0.0
Austria,Operating,16.764784,4.826,77.64787049882024,22.352129501179764
Azerbaijan,Announced,3.0581642857142857,0.0,100.0,0.0
Azerbaijan,Pre-construction,1.1020035714285714,0.5,68.78908331308338,31.210916686916608
Azerbaijan,Construction,0.42708214285714285,0.0,100.0,0.0
Azerbaijan,Operating,1.5085,7.140899999999999,17.440516105163365,82.55948389483663
Bahrain,Announced,2.2169285714285714,0.0,100.0,0.0
Bahrain,Pre-construction,0.22292842857142858,1.2,15.666875725804502,84.3331242741955
Bahrain,Construction,0.08733214285714286,1.8,4.627280004087402,95.3727199959126
Bahrain,Operating,0.0116,9.2819,0.12481842147737665,99.87518157852263
Bangladesh,Announced,2.150002363050483,15.45,12.215920877171058,87.78407912282896
Bangladesh,Pre-construction,1.469794522019334,2.4,37.98120323071744,62.018796769282545
Bangladesh,Construction,2.4483,2.316,51.38845160884075,48.61154839115924
Bangladesh,Operating,1.439414865735768,27.7547,4.930496685224613,95.06950331477539
Barbados,Announced,0.00959074074074074,0.0,100.0,0.0
Barbados,Pre-construction,0.10974444444444444,0.0,100.0,0.0
Barbados,Construction,0.05,0.0,100.0,0.0
Barbados,Operating,0.02419074074074074,0.11,18.027131087589527,81.97286891241046
Belarus,Announced,0.0,0.0,0.0,0.0
Belarus,Pre-construction,1.2,0.175,87.27272727272727,12.727272727272727
Belarus,Construction,0.0,0.0,0.0,0.0
Belarus,Operating,2.686670858369099,9.215200000000001,22.573517141466027,77.42648285853396
Belgium,Announced,0.3933578260869565,0.0,100.0,0.0
Belgium,Pre-construction,3.917547,0.9,81.31829331400398,18.681706685996005
Belgium,Construction,0.09608277749360614,0.87,9.945605048760124,90.05439495123987
Belgium,Operating,10.512567355498721,6.069,63.39911740618766,36.60088259381234
Belize,Announced,0.05754444444444445,0.0,100.0,0.0
Belize,Pre-construction,0.0,0.0,0.0,0.0
Belize,Construction,0.0,0.0,0.0,0.0
Belize,Operating,0.0317,0.0,100.0,0.0
Benin,Announced,0.027,0.2,11.894273127753303,88.1057268722467
Benin,Pre-construction,0.045133419689119166,0.0,100.0,0.0
Benin,Construction,0.0435,0.0,100.0,0.0
Benin,Operating,0.02465,0.1274,16.211772443275237,83.78822755672476
Bermuda,Announced,0.06977729083665338,0.0,100.0,0.0
Bermuda,Pre-construction,0.06,0.0,100.0,0.0
Bermuda,Construction,0.0,0.0,0.0,0.0
Bermuda,Operating,0.006,0.114,5.0,95.0
Bhutan,Announced,0.47305048335123523,0.0,100.0,0.0
Bhutan,Pre-construction,9.83084656283566,0.0,100.0,0.0
Bhutan,Construction,1.3135321160042965,0.0,100.0,0.0
Bhutan,Operating,3.479138,0.0,100.0,0.0
Bolivia,Announced,2.1773444444444445,0.14,93.95860203969102,6.0413979603089745
Bolivia,Pre-construction,1.377451851851852,0.0,100.0,0.0
Bolivia,Construction,0.7210225925925926,0.0,100.0,0.0
Bolivia,Operating,1.1610930555555556,1.9452,37.37873519302885,62.621264806971155
Bosnia and Herzegovina,Announced,0.8909444404201377,0.2375,78.95332800686448,21.046671993135526
Bosnia and Herzegovina,Pre-construction,4.162872216588193,1.05,79.85755344896558,20.14244655103442
