,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
0,World,Announced,1991954.6613331018,447624.8,0.8165155892256133,0.18348441077438676
3,World,Pre-construction,2904633.686149142,556818.4,0.8391373371227394,0.16086266287726064
1,World,Construction,946648.1081465834,483588.9,0.6618819837233315,0.3381180162766684
2,World,Operating,3635247.304840485,4292733.8,0.45853380031657226,0.5414661996834277
0,BRICS,Announced,742577.4948851516,210955.8,0.7787640965117967,0.2212359034882034
3,BRICS,Pre-construction,1288568.1027292593,315268.0,0.8034287920919686,0.19657120790803137
1,BRICS,Construction,739013.2430869262,331233.8,0.6905071570722415,0.30949284292775847
2,BRICS,Operating,1802871.4335168577,2005233.0,0.4734301448376696,0.5265698551623303
0,EU27,Announced,275238.57695257536,5235.0,0.9813351401694244,0.018664859830575677
3,EU27,Pre-construction,483096.5557703826,31758.9,0.9383149199565557,0.06168508004344421
1,EU27,Construction,29701.101800991124,11895.0,0.7140357032274459,0.2859642967725542
2,EU27,Operating,516795.0518141569,284024.8,0.645332468523879,0.35466753147612096
0,G7,Announced,189549.55511307495,55280.6,0.7742083691673167,0.22579163083268325
3,G7,Pre-construction,369784.2046861835,64612.6,0.8512590348203013,0.14874096517969873
1,G7,Construction,70624.24315566682,21738.9,0.7646366368957178,0.23536336310428213
2,G7,Operating,973795.2661996577,1092342.61,0.47131185068384884,0.5286881493161512
0,G20,Announced,1390075.998606719,309831.1,0.8177364514484677,0.18226354855153218
3,G20,Pre-construction,2325162.69003175,399681.6,0.8533194716989341,0.1466805283010659
1,G20,Construction,844201.381517965,375102.4,0.6923634571747014,0.3076365428252986
2,G20,Operating,3211737.38696874,3519290.3,0.4771540894396644,0.5228459105603355
0,OECD,Announced,668634.1231520277,83353.6,0.8891556372082572,0.1108443627917428
3,OECD,Pre-construction,1125229.5551581315,85573.4,0.9293250816448296,0.07067491835517041
1,OECD,Construction,124875.49034969944,44710.2,0.7363562933417086,0.2636437066582914
2,OECD,Operating,1490245.8455808456,1503725.3,0.4977489004129097,0.5022510995870902
0,African Union,Announced,257214.9717621798,35069.0,0.8800173687644621,0.11998263123553793
3,African Union,Pre-construction,150076.9062513497,26491.0,0.8499670718058508,0.15003292819414912
1,African Union,Construction,30304.74029315238,21055.2,0.5900462523939654,0.40995374760603465
2,African Union,Operating,67407.13795580735,178979.4,0.2735828771939549,0.7264171228060451
0,Afghanistan,Announced,628.5821556485356,0.0,1.0,0.0
3,Afghanistan,Pre-construction,0.0,0.0,0.0,0.0
1,Afghanistan,Construction,0.0,0.0,0.0,0.0
2,Afghanistan,Operating,370.34585774058576,105.0,0.779108204499591,0.22089179550040905
0,Albania,Announced,1787.9553599698454,0.0,1.0,0.0
3,Albania,Pre-construction,725.669449679608,520.0,0.582553782519314,0.4174462174806859
1,Albania,Construction,358.8811911044101,0.0,1.0,0.0
2,Albania,Operating,1962.42,0.0,1.0,0.0
0,Algeria,Announced,784.3133333333334,0.0,1.0,0.0
3,Algeria,Pre-construction,2621.0066666666667,1200.0,0.685946635354383,0.31405336464561695
1,Algeria,Construction,92.97611111111111,3736.0,0.024282238492245607,0.9757177615077544
2,Algeria,Operating,618.8055555555555,23915.6,0.02522195021820831,0.9747780497817917
0,Andorra,Announced,0.0,0.0,0.0,0.0
3,Andorra,Pre-construction,0.0,0.0,0.0,0.0
1,Andorra,Construction,0.0,0.0,0.0,0.0
2,Andorra,Operating,46.4,0.0,1.0,0.0
0,Angola,Announced,1044.9267741935485,0.0,1.0,0.0
3,Angola,Pre-construction,579.35,1425.0,0.28904632424476767,0.7109536757552324
1,Angola,Construction,2239.86,375.0,0.8565888804754366,0.14341111952456345
2,Angola,Operating,4150.955,929.0,0.8171243642906285,0.18287563570937143
0,Antigua and Barbuda,Announced,0.0,0.0,0.0,0.0
3,Antigua and Barbuda,Pre-construction,0.0,0.0,0.0,0.0
1,Antigua and Barbuda,Construction,0.0,0.0,0.0,0.0
2,Antigua and Barbuda,Operating,7.5,0.0,1.0,0.0
0,Argentina,Announced,5894.963,4015.7,0.5948101554860659,0.4051898445139341
3,Argentina,Pre-construction,3625.2039999999997,0.0,1.0,0.0
1,Argentina,Construction,2427.066,385.0,0.8630899843744777,0.13691001562552232
2,Argentina,Operating,20437.4565,23335.2,0.4669000726515194,0.5330999273484807
0,Armenia,Announced,1200.0,0.0,1.0,0.0
3,Armenia,Pre-construction,376.0,176.0,0.6811594202898551,0.3188405797101449
1,Armenia,Construction,55.0,0.0,1.0,0.0
2,Armenia,Operating,1486.2,1127.0,0.5687279963263432,0.43127200367365687
0,Australia,Announced,191181.69977011494,4595.0,0.9765293826824359,0.023470617317564064
3,Australia,Pre-construction,188040.67574712643,1230.0,0.993501370483596,0.006498629516403965
1,Australia,Construction,7728.369540229885,750.0,0.9115395953854986,0.08846040461450141
