Country,Status,Non-fossil (GW),Fossil (GW),Non-fossil share (%),Fossil share (%)
World,Announced,2463.8869219874,648.065,79.1749674723084,20.825032527691604
World,Pre-construction,2795.8742683836504,728.5002539999999,79.32965837276308,20.670341627236915
World,Construction,1182.9342976086511,522.3966,69.36684834992754,30.63315165007246
World,Operating,4148.646484901124,4464.36954,48.16717480737242,51.832825192627574
BRICS,Announced,1254.5277087262068,353.86220000000003,77.9989790982805,22.001020901719503
BRICS,Pre-construction,1082.982617721458,287.7621,79.00687879517515,20.993121204824856
BRICS,Construction,959.0136977327974,305.6463,75.83174129426538,24.168258705734615
BRICS,Operating,2130.662352280098,2226.7458,48.89747018913497,51.10252981086503
EU27,Announced,178.73774536755042,15.812,91.87251570536502,8.127484294634977
EU27,Pre-construction,548.0389062032859,26.329804,95.41587075823105,4.584129241768952
EU27,Construction,34.78500579021436,16.3379,68.04191829970804,31.958081700291974
EU27,Operating,577.1988726692597,280.1572,67.3231217540958,32.676878245904206
G7,Announced,326.324725945581,147.6248,68.85221064300625,31.147789356993744
G7,Pre-construction,880.1913617907718,276.678154,76.0838927620218,23.91610723797819
G7,Construction,100.7118261437746,72.5417,58.1297410710122,41.87025892898781
G7,Operating,1373.6201091802725,1257.0407999999998,52.21577985922556,47.784220140774444
G20,Announced,1997.905545945414,555.2431,78.25261365483883,21.74738634516116
G20,Pre-construction,2364.112096631636,583.361554,80.20808247513979,19.791917524860214
G20,Construction,1107.821147837977,419.2973,72.54323653848715,27.45676346151286
G20,Operating,3731.8639326571056,3805.3404,49.51257479497712,50.48742520502289
OECD,Announced,638.7983020446233,170.15390000000002,78.96613674207985,21.033863257920153
OECD,Pre-construction,1168.0385929625634,289.059054,80.16199843554982,19.838001564450174
OECD,Construction,129.16559728061097,89.2698,59.13217312241733,40.867826877582665
OECD,Operating,1637.6546027812376,1519.2059,51.87605221511819,48.12394778488181
African Union,Announced,202.25923488796474,34.861,85.29817583199038,14.701824168009628
African Union,Pre-construction,234.34595919789362,24.994,90.36245703234343,9.637542967656564
African Union,Construction,54.896393919177804,18.5507,74.74277195989069,25.257228040109315
African Union,Operating,78.32727292478815,185.13039999999998,29.730496005386414,70.26950399461359
Afghanistan,Announced,0.337,0.675,33.300395256917,66.699604743083
Afghanistan,Pre-construction,0.227,3.7,5.7804940157881335,94.21950598421188
Afghanistan,Construction,0.12084403866809881,0.1,54.719176210009635,45.280823789990365
Afghanistan,Operating,0.43431211170784106,0.2,68.46978067918111,31.53021932081889
Albania,Announced,2.7018192430278885,0.0,100.0,0.0
Albania,Pre-construction,0.5682625135820355,0.52,52.21741137729621,47.7825886227038
Albania,Construction,0.237,0.0,100.0,0.0
Albania,Operating,2.090433175660993,0.1102,94.99235032813228,5.007649671867726
Algeria,Announced,0.04553125,0.0,100.0,0.0
Algeria,Pre-construction,1.6848712499999998,0.0,100.0,0.0
Algeria,Construction,2.255315,4.094,35.52060340367425,64.47939659632574
Algeria,Operating,0.6260012500000001,26.4576,2.311366366021949,97.68863363397806
Andorra,Announced,0.0,0.0,0.0,0.0
Andorra,Pre-construction,0.0,0.0,0.0,0.0
Andorra,Construction,0.0,0.0,0.0,0.0
Andorra,Operating,0.0663,0.0,100.0,0.0
Angola,Announced,1.1773166666666666,0.148,88.83285755605579,11.167142443944215
Angola,Pre-construction,0.7883,1.8,30.456284047444264,69.54371595255573
Angola,Construction,2.19375,0.0,100.0,0.0
Angola,Operating,4.292873066666667,0.929,82.2094488291915,17.79055117080849
Anguilla,Announced,0.0,0.0,0.0,0.0
Anguilla,Pre-construction,0.0,0.0,0.0,0.0
Anguilla,Construction,0.0,0.0,0.0,0.0
Anguilla,Operating,0.0012,0.0,100.0,0.0
Antigua and Barbuda,Announced,0.0,0.0,0.0,0.0
Antigua and Barbuda,Pre-construction,0.0,0.0,0.0,0.0
Antigua and Barbuda,Construction,0.0,0.0,0.0,0.0
Antigua and Barbuda,Operating,0.010299999999999998,0.0,100.0,0.0
Argentina,Announced,13.758633260869566,0.0,100.0,0.0
Argentina,Pre-construction,3.9241108260869564,0.0,100.0,0.0
Argentina,Construction,1.1415641304347826,0.0,100.0,0.0
Argentina,Operating,19.6110857173913,23.5412,45.44622698743305,54.55377301256695
Armenia,Announced,1.4,0.0,100.0,0.0
Armenia,Pre-construction,0.176,0.126,58.27814569536424,41.72185430463576
Armenia,Construction,0.23085935714285713,0.05,82.19749539105872,17.802504608941284
Armenia,Operating,1.6710995714285715,1.127,59.7226627848483,40.27733721515169
Australia,Announced,217.95594235714287,5.3921,97.58578586895433,2.414214131045665
Australia,Pre-construction,157.87612735714285,2.1561999999999997,98.65264722721426,1.3473527727857295
Australia,Construction,7.2101669642857145,0.835,89.6210979373486,10.378902062651411
Australia,Operating,35.97338932142857,39.962300000000006,47.373494127585545,52.626505872414455
Austria,Announced,0.152,0.0,100.0,0.0
Austria,Pre-construction,2.617,0.0,100.0,0.0
Austria,Construction,0.60476,0.0,100.0,0.0
Austria,Operating,16.764784,4.826,77.64787049882024,22.352129501179764
Azerbaijan,Announced,3.0581642857142857,0.0,100.0,0.0
Azerbaijan,Pre-construction,1.1020035714285714,0.5,68.78908331308338,31.210916686916608
Azerbaijan,Construction,0.42708214285714285,0.0,100.0,0.0
Azerbaijan,Operating,1.5085,7.140899999999999,17.440516105163365,82.55948389483663
Bahrain,Announced,2.1919285714285714,0.0,100.0,0.0
Bahrain,Pre-construction,0.24792842857142858,1.2,17.122975395685998,82.87702460431402
Bahrain,Construction,0.08733214285714286,1.8,4.627280004087402,95.3727199959126
Bahrain,Operating,0.0116,9.2819,0.12481842147737665,99.87518157852263
Bangladesh,Announced,2.150002363050483,15.45,12.215920877171058,87.78407912282896
Bangladesh,Pre-construction,1.4107945220193339,2.4,37.02100740062353,62.97899259937646
Bangladesh,Construction,2.5183,2.316,52.09234015265912,47.90765984734088
Bangladesh,Operating,1.439414865735768,27.7547,4.930496685224613,95.06950331477539
