Country,Type,Parent,Capacity (GW)
World,Bioenergy,Drax Group PLC,2.58
World,Bioenergy,Suzano SA,1.6085
World,Bioenergy,Ørsted A/S,1.402
World,Bioenergy,natural person(s),1.3382051488511488
World,Bioenergy,International Paper Co,1.3088
World,Bioenergy,Raizen SA,1.2485
World,Bioenergy,Stora Enso Oyj,1.0702653636363637
World,Bioenergy,Chongqing Sanfeng Environment Group Corp Ltd,0.9256
World,Bioenergy,UPM-Kymmene Oyj,0.8875773636363636
World,Bioenergy,Paper Excellence BV,0.88
World,Bioenergy,Kaidi Ecological and Environmental Technology Co Ltd,0.84
World,Bioenergy,KKR & Co. Inc,0.8045583333333334
World,Bioenergy,Korea Electric Power Corp,0.7851099999999999
World,Bioenergy,Klabin SA,0.785
World,Bioenergy,Empresas Copec SA,0.749688
World,Bioenergy,State Power Investment Corp Ltd,0.7346541458541459
World,Bioenergy,Energetický a průmyslový holding AS,0.6635
World,Bioenergy,Nine Dragons Global Investments Ltd,0.6426000000000001
World,Bioenergy,Dynagreen Environmental Protection Group Co Ltd,0.639
World,Bioenergy,Westrock Co,0.612
World,Bioenergy,Others,76.82883205138774
World,Coal,Huaneng Power International Inc,75.8031421978022
World,Coal,NTPC Ltd,62.8792
World,Coal,China Energy Investment Corp,61.33545066933067
World,Coal,China Shenhua Energy Co Ltd,56.46280630869131
World,Coal,Eskom Holdings SOC Ltd,44.531800000000004
World,Coal,China Resources Power Holdings Co Ltd,42.86216315684315
World,Coal,GD POWER Development Co Ltd,41.664594720279716
World,Coal,China Huadian Corp Ltd,40.05495147499207
World,Coal,Datang International Power Generation Co Ltd,39.36522023976024
World,Coal,China Datang Corp Ltd,38.963211572079004
World,Coal,Huadian Power International Co Ltd,38.0314027245509
World,Coal,Korea Electric Power Corp,35.688451190612724
World,Coal,State Power Investment Corp Ltd,35.540597252747254
World,Coal,Zhejiang Zheneng Electric Power Co Ltd,33.407786073926076
World,Coal,China Huaneng Group Co Ltd,25.958717552447553
World,Coal,Beijing Jingneng Power Co Ltd,20.80166844155844
World,Coal,PT PLN (Persero),19.44597802197802
World,Coal,Guangdong Electric Power Development Co Ltd,18.60405
World,Coal,Adani Power Ltd,17.886
World,Coal,An Hui Wenergy Co Ltd,15.880536463536464
World,Coal,Others,1428.5349600427346
World,Geothermal,Energy Development CORP (EDC),1.194
World,Geothermal,Calpine Corp,1.163
World,Geothermal,Ormat Technology Inc,1.02466
World,Geothermal,Comision Federal De Electricidad,0.915
World,Geothermal,Contact Energy Ltd,0.7795
World,Geothermal,Pertamina Geothermal Energy,0.725
World,Geothermal,AboitizPower Corp,0.692
World,Geothermal,Kenya Electricity Generating Company PLC,0.6345
World,Geothermal,Star Energy Geothermal,0.629525
World,Geothermal,Orkuveita Reykjavikur,0.423
World,Geothermal,Enel Green Power,0.4
World,Geothermal,CalEnergy Operating Corp,0.381
World,Geothermal,Sarulla Operations Ltd,0.33
World,Geothermal,Zorlu Enerji,0.306
World,Geothermal,Atlantica Sustainable Infrastructure,0.27
World,Geothermal,Mogan Enerji Yatirim Holding,0.258
World,Geothermal,HS Orka,0.2486
World,Geothermal,KS Orka Renewables Pte Ltd,0.22640000000000002
World,Geothermal,Tohoku Electric Power Co Inc,0.2041
World,Geothermal,Mighty River Power,0.204
World,Geothermal,Others,4.527115
World,Hydropower,China Yangzi River Three Gorges Group Co Ltd,39.444300000000005
World,Hydropower,Hydro Quebec,36.791
World,Hydropower,State Grid Xinyuan Co Ltd,30.372
World,Hydropower,PJSC RusHydro,27.991
World,Hydropower,Corporación Eléctrica Nacional SA,16.01
World,Hydropower,En+ Generatsiya JSC,15.002
World,Hydropower,Eletrobras Furnas,14.95548
World,Hydropower,US Bureau of Reclamation,14.739
World,Hydropower,Itaipú Binational,14.0
World,Hydropower,EDF Energy Ltd,13.986
World,Hydropower,Elektrik Üretim AS (EÜAŞ),13.58
World,Hydropower,BC Hydro,13.1
World,Hydropower,State Power Investment Group Upper Yellow River Hydropower Development Co Ltd,12.835
World,Hydropower,Enel SpA,12.0224
World,Hydropower,China Huaneng Group Co Ltd,11.952
World,Hydropower,Comisión Federal de Electricidad EPE,11.577
World,Hydropower,Vietnam Electricity (EVN),11.447
World,Hydropower,Statkraft,11.27567
World,Hydropower,Norte Energia SA,11.233
World,Hydropower,Companhia Hidro Elétrica do São Francisco SA (CHESF),11.14712
World,Hydropower,Others,894.22108
World,Nuclear,Electricité de France SA,65.69
World,Nuclear,Rosatom,28.576
World,Nuclear,Korea Hydro & Nuclear Power Co,27.071
World,Nuclear,China National Nuclear Power Co Ltd,23.573
World,Nuclear,Exelon Corp,18.845
World,Nuclear,Ontario Power Generation Inc,13.924
World,Nuclear,"SE NNEGC ""Energoatom""",13.835
World,Nuclear,CGNPC Nuclear Power Investment Co Ltd,8.886
World,Nuclear,Tennessee Valley Authority,8.624
World,Nuclear,China General Nuclear Power Co Ltd,8.496
World,Nuclear,Nuclear Power Corporation Of India Ltd,8.24
World,Nuclear,Georgia Power Co,6.79
World,Nuclear,Kansai Electric Power Co,6.578
World,Nuclear,EDF Energy Ltd,6.534
World,Nuclear,Emirates Nuclear Energy Corp,5.668
World,Nuclear,Duke Energy Corp,5.112
World,Nuclear,PSEG Power Inc,5.106
World,Nuclear,Guangxi Fangchenggang CGN Nuclear Power Industry Investment Co Ltd,4.532
World,Nuclear,CGN Ninghe Investment Co Ltd,4.356
World,Nuclear,Arizona Public Service Co,4.242
World,Nuclear,Others,126.658
World,Oil and gas,Saudi Electricity Co,64.49975
