Country,Parent,Capacity (GW),Type
Others,0.354,Afghanistan,Hydropower
Others,0.2666,Afghanistan,Oil/Gas
Others,0.079948,Afghanistan,Utility-Scale Solar
Others,1.352,African Union,Bioenergy
Others,52.89260000000001,African Union,Coal
Others,0.8515,African Union,Geothermal
Others,47.14705,African Union,Hydropower
Others,1.94,African Union,Nuclear
Others,134.217459,African Union,Oil/Gas
Others,14.73790945,African Union,Utility-Scale Solar
Others,11.970600000000001,African Union,Wind
Others,1.77,Albania,Hydropower
Others,0.3223565,Albania,Utility-Scale Solar
Others,0.196,Algeria,Hydropower
Others,27.580599999999997,Algeria,Oil/Gas
Others,0.42356,Algeria,Utility-Scale Solar
Others,0.01,Algeria,Wind
Others,0.023,American Samoa,Oil/Gas
Others,0.0013089999999999998,American Samoa,Utility-Scale Solar
Others,0.018,Andorra,Bioenergy
Others,0.045,Andorra,Hydropower
Others,0.0033,Andorra,Utility-Scale Solar
Others,0.1,Angola,Bioenergy
Others,3.654,Angola,Hydropower
Others,0.929,Angola,Oil/Gas
Others,0.49041399999999996,Angola,Utility-Scale Solar
Others,0.05,Angola,Wind
Others,0.0012,Anguilla,Utility-Scale Solar
Others,0.010299999999999998,Antigua and Barbuda,Utility-Scale Solar
Others,0.23,Argentina,Bioenergy
Others,0.525,Argentina,Coal
Others,12.1662,Argentina,Hydropower
Others,1.763,Argentina,Nuclear
Others,22.194542000000002,Argentina,Oil/Gas
Others,2.7550185000000003,Argentina,Utility-Scale Solar
Others,4.9798,Argentina,Wind
Others,0.96,Armenia,Hydropower
Others,0.448,Armenia,Nuclear
Others,1.0254,Armenia,Oil/Gas
Others,0.26759700000000003,Armenia,Utility-Scale Solar
Others,0.194,Aruba,Oil/Gas
Others,0.0088,Aruba,Utility-Scale Solar
Others,0.03,Aruba,Wind
Others,0.47428,Australia,Bioenergy
Others,22.629,Australia,Coal
Others,8.201,Australia,Hydropower
Others,19.82371,Australia,Oil/Gas
Others,12.9785575,Australia,Utility-Scale Solar
Others,14.3206,Australia,Wind
Others,0.255,Austria,Bioenergy
Others,12.912870000000002,Austria,Hydropower
Others,4.826573000000001,Austria,Oil/Gas
Others,0.826784,Austria,Utility-Scale Solar
Others,3.09,Austria,Wind
Others,0.037,Azerbaijan,Bioenergy
Others,1.211,Azerbaijan,Hydropower
Others,7.140899999999999,Azerbaijan,Oil/Gas
Others,0.3015,Azerbaijan,Utility-Scale Solar
Others,0.05,Azerbaijan,Wind
Others,59.54116,BRICS,Bioenergy
Others,1628.740213,BRICS,Coal
Others,2.328165,BRICS,Geothermal
Others,613.76875,BRICS,Hydropower
Others,108.312,BRICS,Nuclear
Others,550.5162842,BRICS,Oil/Gas
Others,715.8456946499999,BRICS,Utility-Scale Solar
Others,628.420365,BRICS,Wind
Others,0.24630000000000002,Bahamas,Oil/Gas
Others,0.0035,Bahamas,Utility-Scale Solar
Others,8.743882,Bahrain,Oil/Gas
Others,0.0116,Bahrain,Utility-Scale Solar
Others,0.042,Bangladesh,Bioenergy
Others,7.23,Bangladesh,Coal
Others,0.23,Bangladesh,Hydropower
Others,20.23338,Bangladesh,Oil/Gas
Others,1.10666,Bangladesh,Utility-Scale Solar
Others,0.06,Bangladesh,Wind
Others,0.183,Barbados,Oil/Gas
Others,0.023950000000000003,Barbados,Utility-Scale Solar
Others,0.001,Barbados,Wind
Others,0.04,Belarus,Hydropower
Others,2.388,Belarus,Nuclear
Others,9.2302,Belarus,Oil/Gas
Others,0.2625325,Belarus,Utility-Scale Solar
Others,0.26539999999999997,Belgium,Bioenergy
Others,1.308,Belgium,Hydropower
Others,4.096,Belgium,Nuclear
Others,6.0116000000000005,Belgium,Oil/Gas
Others,0.881011,Belgium,Utility-Scale Solar
Others,3.95199,Belgium,Wind
Others,0.0275,Belize,Bioenergy
Others,0.004200000000000001,Belize,Utility-Scale Solar
Others,0.1274,Benin,Oil/Gas
Others,0.02465,Benin,Utility-Scale Solar
Others,0.114,Bermuda,Oil/Gas
Others,0.006,Bermuda,Utility-Scale Solar
Others,3.464,Bhutan,Hydropower
Others,0.015137999999999999,Bhutan,Utility-Scale Solar
Others,0.033,Bolivia,Bioenergy
Others,0.005,Bolivia,Geothermal
Others,0.825,Bolivia,Hydropower
Others,2.4316999999999998,Bolivia,Oil/Gas
Others,0.1659125,Bolivia,Utility-Scale Solar
Others,0.135,Bolivia,Wind
Others,0.0085,"Bonaire, Sint Eustatius, and Saba",Utility-Scale Solar
Others,0.011,"Bonaire, Sint Eustatius, and Saba",Wind
Others,1.99,Bosnia and Herzegovina,Coal
Others,2.15348,Bosnia and Herzegovina,Hydropower
Others,0.5072274999999999,Bosnia and Herzegovina,Utility-Scale Solar
Others,0.244,Bosnia and Herzegovina,Wind
Others,0.732,Botswana,Coal
Others,0.07,Botswana,Oil/Gas
Others,0.11880000000000002,Botswana,Utility-Scale Solar
Others,17.427,Brazil,Bioenergy
Others,2.8245,Brazil,Coal
Others,109.47242,Brazil,Hydropower
Others,1.99,Brazil,Nuclear
Others,23.226031600000002,Brazil,Oil/Gas
Others,23.358678500000003,Brazil,Utility-Scale Solar
Others,36.0448,Brazil,Wind
Others,0.0038,British Indian Ocean Territory,Utility-Scale Solar
Others,0.21978,Brunei,Coal
Others,0.212,Brunei,Oil/Gas
Others,0.0052,Brunei,Utility-Scale Solar
Others,3.7372959999999997,Bulgaria,Coal
Others,2.661,Bulgaria,Hydropower
Others,2.08,Bulgaria,Nuclear
Others,0.761,Bulgaria,Oil/Gas
Others,3.3668445,Bulgaria,Utility-Scale Solar
Others,0.608,Bulgaria,Wind
Others,0.2019,Burkina Faso,Oil/Gas
Others,0.196332,Burkina Faso,Utility-Scale Solar
Others,0.002,Burundi,Bioenergy
Others,0.035,Burundi,Hydropower
Others,0.03,Burundi,Oil/Gas
Others,0.014,Burundi,Utility-Scale Solar
Others,0.0129265,Cabo Verde,Utility-Scale Solar
Others,0.038700000000000005,Cabo Verde,Wind
Others,0.009,Cambodia,Bioenergy
Others,1.455,Cambodia,Coal
Others,1.298,Cambodia,Hydropower
Others,0.8005,Cambodia,Oil/Gas
Others,0.498905,Cambodia,Utility-Scale Solar
Others,1.405,Cameroon,Hydropower
Others,0.364,Cameroon,Oil/Gas
Others,0.071973,Cameroon,Utility-Scale Solar
Others,0.1,Cameroon,Wind
Others,2.1271999999999998,Canada,Bioenergy
Others,3.0808,Canada,Coal
Others,0.01,Canada,Geothermal
Others,80.89469,Canada,Hydropower
Others,14.629,Canada,Nuclear
Others,29.392277999999997,Canada,Oil/Gas
Others,3.977895,Canada,Utility-Scale Solar
Others,17.69885,Canada,Wind
Others,0.15369999999999998,Cayman Islands,Oil/Gas
Others,0.004900000000000001,Cayman Islands,Utility-Scale Solar
Others,0.05,Central African Republic,Oil/Gas
Others,0.043254999999999995,Central African Republic,Utility-Scale Solar
Others,0.089,Chad,Oil/Gas
Others,0.114675,Chad,Utility-Scale Solar
Others,0.937,Chile,Bioenergy
Others,3.1005,Chile,Coal
Others,0.081,Chile,Geothermal
Others,6.66047,Chile,Hydropower
Others,6.7604980999999995,Chile,Oil/Gas
Others,12.7062475,Chile,Utility-Scale Solar
Others,6.3038,Chile,Wind
Others,35.44346,China,Bioenergy
Others,1237.186255,China,Coal
Others,0.0144,China,Geothermal
Others,367.17053000000004,China,Hydropower
Others,60.898,China,Nuclear
Others,179.957484,China,Oil/Gas
Others,578.5048929,China,Utility-Scale Solar
Others,542.1033649999999,China,Wind
Others,0.2315,Colombia,Bioenergy
Others,1.612548,Colombia,Coal
Others,12.113760000000001,Colombia,Hydropower
Others,3.515986,Colombia,Oil/Gas
Others,2.5430655,Colombia,Utility-Scale Solar
Others,0.10990000000000001,Colombia,Wind
Others,0.0237505,Comoros,Utility-Scale Solar
Others,0.0010285000000000001,Cook Islands,Utility-Scale Solar
Others,0.0495,Costa Rica,Bioenergy
Others,0.234,Costa Rica,Geothermal
Others,1.8,Costa Rica,Hydropower
Others,0.5467000000000001,Costa Rica,Oil/Gas
Others,0.0218,Costa Rica,Utility-Scale Solar
Others,0.44239999999999996,Costa Rica,Wind
Others,0.217,Croatia,Coal
Others,0.0361,Croatia,Geothermal
Others,1.833,Croatia,Hydropower
Others,1.4208,Croatia,Oil/Gas
Others,0.2716,Croatia,Utility-Scale Solar
Others,1.095,Croatia,Wind
Others,0.06,Cuba,Bioenergy
Others,1.241514,Cuba,Oil/Gas
Others,0.8190105000000001,Cuba,Utility-Scale Solar
Others,0.0112,Cuba,Wind
Others,0.0695,Curaçao,Wind
Others,1.853,Cyprus,Oil/Gas
Others,0.3959,Cyprus,Utility-Scale Solar
Others,0.156,Cyprus,Wind
Others,0.060200000000000004,Czech Republic,Bioenergy
Others,6.597234,Czech Republic,Coal
Others,1.819,Czech Republic,Hydropower
Others,4.164,Czech Republic,Nuclear
Others,1.819,Czech Republic,Oil/Gas
Others,2.79911,Czech Republic,Utility-Scale Solar
Others,0.151,Czech Republic,Wind
Others,0.9660000000000001,Côte d'Ivoire,Hydropower
Others,1.2839800000000001,Côte d'Ivoire,Oil/Gas
Others,0.03306,Côte d'Ivoire,Utility-Scale Solar
Others,2.898,DR Congo,Hydropower
Others,0.03136,DR Congo,Utility-Scale Solar
Others,1.934,Denmark,Bioenergy
Others,0.411,Denmark,Coal
Others,1.2032,Denmark,Oil/Gas
Others,3.084445,Denmark,Utility-Scale Solar
Others,5.0033,Denmark,Wind
Others,0.108,Djibouti,Oil/Gas
Others,0.1547,Djibouti,Utility-Scale Solar
Others,0.059,Djibouti,Wind
Others,0.044,Dominican Republic,Bioenergy
Others,1.064,Dominican Republic,Coal
Others,0.484,Dominican Republic,Hydropower
Others,2.663916,Dominican Republic,Oil/Gas
Others,1.0853810000000002,Dominican Republic,Utility-Scale Solar
Others,0.6215,Dominican Republic,Wind
Others,17.82129,EU27,Bioenergy
Others,79.83631,EU27,Coal
Others,0.9437000000000001,EU27,Geothermal
Others,125.85638,EU27,Hydropower
Others,102.395,EU27,Nuclear
Others,196.4502218,EU27,Oil/Gas
Others,131.40807879,EU27,Utility-Scale Solar
Others,200.28475,EU27,Wind
Others,0.1415,Ecuador,Bioenergy
Others,5.286,Ecuador,Hydropower
Others,1.6018,Ecuador,Oil/Gas
Others,0.023494,Ecuador,Utility-Scale Solar
Others,0.066,Ecuador,Wind
Others,0.045,Egypt,Bioenergy
Others,2.874,Egypt,Hydropower
Others,54.45210000000001,Egypt,Oil/Gas
Others,3.3103075,Egypt,Utility-Scale Solar
Others,3.045,Egypt,Wind
Others,0.229,El Salvador,Bioenergy
Others,0.21869999999999998,El Salvador,Geothermal
Others,0.599,El Salvador,Hydropower
Others,0.9295,El Salvador,Oil/Gas
Others,0.7654,El Salvador,Utility-Scale Solar
Others,0.054,El Salvador,Wind
Others,0.12,Equatorial Guinea,Hydropower
Others,0.218,Equatorial Guinea,Oil/Gas
Others,0.004675,Equatorial Guinea,Utility-Scale Solar
Others,0.168,Eritrea,Oil/Gas
Others,0.0228,Eritrea,Utility-Scale Solar
Others,0.105,Estonia,Bioenergy
Others,0.4581,Estonia,Oil/Gas
Others,1.015388,Estonia,Utility-Scale Solar
Others,0.688,Estonia,Wind
Others,0.095,Eswatini,Bioenergy
Others,0.01405,Eswatini,Utility-Scale Solar
Others,0.268,Ethiopia,Bioenergy
Others,9.201,Ethiopia,Hydropower
Others,0.0015,Ethiopia,Utility-Scale Solar
Others,0.664,Ethiopia,Wind
Others,0.037,Faroe Islands,Wind
Others,0.048299999999999996,Fiji,Bioenergy
Others,0.12,Fiji,Hydropower
Others,0.128,Fiji,Oil/Gas
Others,0.01,Fiji,Wind
Others,3.7428000000000003,Finland,Bioenergy
Others,0.7952,Finland,Coal
Others,2.545,Finland,Hydropower
Others,4.622,Finland,Nuclear
Others,2.704016,Finland,Oil/Gas
Others,0.199744,Finland,Utility-Scale Solar
Others,8.558399999999999,Finland,Wind
Others,0.895839,France,Bioenergy
Others,1.907,France,Coal
Others,0.0017,France,Geothermal
Others,21.331,France,Hydropower
Others,65.69,France,Nuclear
Others,11.39042,France,Oil/Gas
Others,12.534275,France,Utility-Scale Solar
Others,25.79484,France,Wind
Others,0.0105,French Guiana,Bioenergy
Others,0.116,French Guiana,Hydropower
Others,0.1446,French Guiana,Oil/Gas
Others,0.037475,French Guiana,Utility-Scale Solar
Others,0.016876000000000002,French Polynesia,Utility-Scale Solar
Others,103.352116,G20,Bioenergy
Others,2030.7607891,G20,Coal
Others,10.409925,G20,Geothermal
Others,1001.1227,G20,Hydropower
Others,371.372,G20,Nuclear
Others,1544.9909622,G20,Oil/Gas
Others,1102.89844979,G20,Utility-Scale Solar
Others,1080.273471,G20,Wind
Others,26.178335999999998,G7,Bioenergy
Others,266.9142281,G7,Coal
Others,5.241899999999999,G7,Geothermal
Others,266.7803,G7,Hydropower
Others,202.581,G7,Nuclear
Others,796.807429,G7,Oil/Gas
Others,249.9231395,G7,Utility-Scale Solar
Others,298.718976,G7,Wind
Others,0.324,Gabon,Hydropower
Others,0.496,Gabon,Oil/Gas
Others,0.00957,Gabon,Utility-Scale Solar
Others,2.975,Georgia,Hydropower
Others,1.1682000000000001,Georgia,Oil/Gas
Others,0.0129,Georgia,Utility-Scale Solar
Others,0.0207,Georgia,Wind
Others,2.203331,Germany,Bioenergy
Others,27.857380000000003,Germany,Coal
Others,0.0445,Germany,Geothermal
Others,7.1536100000000005,Germany,Hydropower
Others,33.8723122,Germany,Oil/Gas
Others,33.21506,Germany,Utility-Scale Solar
Others,50.290279999999996,Germany,Wind
Others,1.584,Ghana,Hydropower
Others,3.5765,Ghana,Oil/Gas
Others,0.350988,Ghana,Utility-Scale Solar
Others,0.0864,Gibraltar,Oil/Gas
Others,1.655,Greece,Coal
Others,3.119,Greece,Hydropower
Others,7.9641,Greece,Oil/Gas
Others,5.208678,Greece,Utility-Scale Solar
Others,5.5283,Greece,Wind
Others,0.045,Greenland,Hydropower
Others,0.038,Guadeloupe,Bioenergy
Others,0.015,Guadeloupe,Geothermal
Others,0.2922,Guadeloupe,Oil/Gas
Others,0.0366,Guadeloupe,Utility-Scale Solar
Others,0.041,Guadeloupe,Wind
Others,0.198,Guam,Oil/Gas
Others,0.084564,Guam,Utility-Scale Solar
Others,0.888,Guatemala,Bioenergy
Others,0.439,Guatemala,Coal
Others,0.046,Guatemala,Geothermal
Others,0.952,Guatemala,Hydropower
Others,0.356,Guatemala,Oil/Gas
Others,0.322668,Guatemala,Utility-Scale Solar
Others,0.106,Guatemala,Wind
Others,0.815,Guinea,Hydropower
Others,0.389,Guinea,Oil/Gas
Others,0.00935,Guinea-Bissau,Utility-Scale Solar
Others,0.03,Guyana,Bioenergy
Others,0.072,Guyana,Oil/Gas
Others,0.0049475,Guyana,Utility-Scale Solar
Others,0.2309,Honduras,Bioenergy
Others,0.035,Honduras,Geothermal
Others,0.643,Honduras,Hydropower
Others,1.2203199999999998,Honduras,Oil/Gas
Others,0.626923,Honduras,Utility-Scale Solar
Others,0.235,Honduras,Wind
Others,1.968,Hong Kong,Coal
Others,3.22515,Hong Kong,Oil/Gas
Others,0.0009350000000000001,Hong Kong,Utility-Scale Solar
Others,0.209,Hungary,Bioenergy
Others,0.884,Hungary,Coal
Others,0.0034,Hungary,Geothermal
Others,2.027,Hungary,Nuclear
Others,3.024244,Hungary,Oil/Gas
Others,3.908129,Hungary,Utility-Scale Solar
Others,0.319,Hungary,Wind
Others,0.8393999999999999,Iceland,Geothermal
Others,1.928,Iceland,Hydropower
Others,2.7468000000000004,India,Bioenergy
Others,247.29854,India,Coal
Others,51.195,India,Hydropower
Others,8.24,India,Nuclear
Others,27.475968,India,Oil/Gas
Others,94.90597,India,Utility-Scale Solar
Others,38.937,India,Wind
Others,2.971,Indonesia,Bioenergy
Others,59.53521,Indonesia,Coal
Others,2.234765,Indonesia,Geothermal
Others,5.5771999999999995,Indonesia,Hydropower
Others,25.113056,Indonesia,Oil/Gas
Others,0.87966,Indonesia,Utility-Scale Solar
Others,0.157,Indonesia,Wind
Others,0.005,Iran,Geothermal
Others,12.206,Iran,Hydropower
Others,1.0,Iran,Nuclear
Others,77.897003,Iran,Oil/Gas
Others,0.7997,Iran,Utility-Scale Solar
Others,0.502,Iran,Wind
Others,0.1,Iraq,Bioenergy
Others,2.586,Iraq,Hydropower
Others,46.8906,Iraq,Oil/Gas
Others,0.73275,Iraq,Utility-Scale Solar
Others,0.12340000000000001,Ireland,Bioenergy
Others,0.46,Ireland,Hydropower
Others,6.360200000000001,Ireland,Oil/Gas
Others,0.841339,Ireland,Utility-Scale Solar
Others,4.3811,Ireland,Wind
Others,0.1739,Isle of Man,Oil/Gas
Others,4.325,Israel,Coal
Others,0.644,Israel,Hydropower
Others,13.523907999999999,Israel,Oil/Gas
Others,2.613081,Israel,Utility-Scale Solar
Others,0.331,Israel,Wind
Others,0.81098,Italy,Bioenergy
Others,1.23,Italy,Coal
Others,0.834,Italy,Geothermal
Others,17.404,Italy,Hydropower
Others,46.789526599999995,Italy,Oil/Gas
Others,4.796936,Italy,Utility-Scale Solar
Others,10.440299999999999,Italy,Wind
Others,0.627,Jamaica,Oil/Gas
Others,0.07028759999999999,Jamaica,Utility-Scale Solar
Others,0.0993,Jamaica,Wind
Others,4.49497,Japan,Bioenergy
Others,52.859228,Japan,Coal
Others,0.6182000000000001,Japan,Geothermal
Others,40.391,Japan,Hydropower
Others,13.253,Japan,Nuclear
Others,97.35713,Japan,Oil/Gas
Others,33.660385999999995,Japan,Utility-Scale Solar
Others,5.38204,Japan,Wind
Others,0.0037409999999999995,Jersey,Utility-Scale Solar
Others,0.013,Jordan,Bioenergy
Others,4.148029999999999,Jordan,Oil/Gas
Others,1.6975449999999999,Jordan,Utility-Scale Solar
Others,0.621,Jordan,Wind
Others,13.251,Kazakhstan,Coal
Others,2.498,Kazakhstan,Hydropower
Others,4.95985,Kazakhstan,Oil/Gas
Others,1.2133900000000002,Kazakhstan,Utility-Scale Solar
Others,1.4299000000000002,Kazakhstan,Wind
Others,0.0517,Kenya,Bioenergy
Others,0.8515,Kenya,Geothermal
Others,0.762,Kenya,Hydropower
Others,0.511445,Kenya,Oil/Gas
Others,0.2811,Kenya,Utility-Scale Solar
Others,0.6325,Kenya,Wind
Others,0.0041375000000000006,Kiribati,Utility-Scale Solar
Others,1.325,Kosovo,Coal
Others,0.035,Kosovo,Hydropower
Others,0.0169,Kosovo,Utility-Scale Solar
Others,0.135,Kosovo,Wind
Others,20.3355,Kuwait,Oil/Gas
Others,0.031299999999999994,Kuwait,Utility-Scale Solar
Others,0.01,Kuwait,Wind
Others,0.813,Kyrgyzstan,Coal
Others,3.179,Kyrgyzstan,Hydropower
Others,1.878,Laos,Coal
